dataset,backbone,regime,predictor,n_true_events,n_pred_events,event_recall,complete_miss_rate,boundary_mismatch_rate,fragmented_rate,exact_boundary_rate,mean_best_iou_matched,mean_boundary_l1_h_matched,mean_duration_abs_error_h_matched,false_event_rate,point_recall,point_precision,mae_on_true_event_hours,spike_thr_train
LAGO_DE,Linear,negative,base,47,66,0.7872340425531915,0.2127659574468085,0.5531914893617021,0.0425531914893617,0.19148936170212766,0.6343465615911437,2.918918918918919,2.864864864864865,0.4393939393939394,0.788659793814433,0.523972602739726,19.97145706060459,77.74559999999998
LAGO_DE,Linear,negative,bech,47,66,0.7872340425531915,0.2127659574468085,0.5531914893617021,0.0425531914893617,0.19148936170212766,0.6343465615911437,2.918918918918919,2.864864864864865,0.4393939393939394,0.788659793814433,0.523972602739726,19.97145706060459,77.74559999999998
LAGO_DE,Linear,spike,base,41,17,0.24390243902439024,0.7560975609756098,0.12195121951219512,0.04878048780487805,0.07317073170731707,0.6498626373626373,4.0,4.0,0.29411764705882354,0.3383838383838384,0.8170731707317073,21.915309849537607,77.74559999999998
LAGO_DE,Linear,spike,bech,41,17,0.24390243902439024,0.7560975609756098,0.12195121951219512,0.04878048780487805,0.07317073170731707,0.6498626373626373,4.0,4.0,0.29411764705882354,0.3383838383838384,0.8170731707317073,21.915309849537607,77.74559999999998
LAGO_DE,GBDT,negative,base,47,113,0.7659574468085106,0.23404255319148937,0.6808510638297872,0.02127659574468085,0.06382978723404255,0.48719878523800086,4.944444444444445,4.888888888888889,0.7168141592920354,0.7628865979381443,0.30265848670756645,26.562905878079345,77.74559999999998
LAGO_DE,GBDT,negative,bech,47,113,0.7659574468085106,0.23404255319148937,0.6808510638297872,0.02127659574468085,0.06382978723404255,0.4883561926454083,4.888888888888889,4.833333333333333,0.7168141592920354,0.7628865979381443,0.30515463917525776,24.966362610240516,77.74559999999998
LAGO_DE,GBDT,spike,base,41,22,0.41463414634146345,0.5853658536585366,0.24390243902439024,0.07317073170731707,0.0975609756097561,0.6314748976513682,3.2941176470588234,3.2941176470588234,0.045454545454545456,0.41919191919191917,0.9764705882352941,19.813568982533866,77.74559999999998
LAGO_DE,GBDT,spike,bech,41,22,0.41463414634146345,0.5853658536585366,0.24390243902439024,0.07317073170731707,0.0975609756097561,0.6314748976513682,3.2941176470588234,3.2941176470588234,0.045454545454545456,0.41919191919191917,0.9764705882352941,19.813568982533866,77.74559999999998
LAGO_BE,Linear,negative,base,2,0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,17.213790462773325,89.88789999999995
LAGO_BE,Linear,negative,bech,2,0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,17.213790462773325,89.88789999999995
LAGO_BE,Linear,spike,base,47,21,0.23404255319148937,0.7659574468085106,0.14893617021276595,0.02127659574468085,0.06382978723404255,0.5212121212121212,4.2727272727272725,4.2727272727272725,0.42857142857142855,0.1497005988023952,0.5208333333333334,61.52724613971541,89.88789999999995
LAGO_BE,Linear,spike,bech,47,21,0.23404255319148937,0.7659574468085106,0.14893617021276595,0.02127659574468085,0.06382978723404255,0.5212121212121212,4.2727272727272725,4.2727272727272725,0.42857142857142855,0.1497005988023952,0.5208333333333334,61.52724613971541,89.88789999999995
LAGO_BE,GBDT,negative,base,2,4,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,33.57261012208192,89.88789999999995
LAGO_BE,GBDT,negative,bech,2,4,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,33.57261012208192,89.88789999999995
LAGO_BE,GBDT,spike,base,47,42,0.12765957446808507,0.8723404255319149,0.0851063829787234,0.02127659574468085,0.02127659574468085,0.5069444444444443,2.6666666666666665,2.0,0.8571428571428571,0.0658682634730539,0.12643678160919541,67.81571767261883,89.88789999999995
LAGO_BE,GBDT,spike,bech,47,42,0.12765957446808507,0.8723404255319149,0.0851063829787234,0.02127659574468085,0.02127659574468085,0.5069444444444443,2.6666666666666665,2.0,0.8571428571428571,0.0658682634730539,0.12643678160919541,67.81571767261883,89.88789999999995
LAGO_FR,Linear,negative,base,1,3,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,7.02713953838275,91.40711999999999
LAGO_FR,Linear,negative,bech,1,3,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,7.02713953838275,91.40711999999999
LAGO_FR,Linear,spike,base,38,15,0.2894736842105263,0.7105263157894737,0.2894736842105263,0.0,0.0,0.47207792207792204,3.1818181818181817,3.1818181818181817,0.26666666666666666,0.18584070796460178,0.7,59.13647852184506,91.40711999999999
LAGO_FR,Linear,spike,bech,38,15,0.2894736842105263,0.7105263157894737,0.2894736842105263,0.0,0.0,0.47207792207792204,3.1818181818181817,3.1818181818181817,0.26666666666666666,0.18584070796460178,0.7,59.13647852184506,91.40711999999999
LAGO_FR,GBDT,negative,base,1,36,1.0,0.0,1.0,0.0,0.0,0.13333333333333333,13.0,13.0,0.9722222222222222,1.0,0.017857142857142856,18.989807741364007,91.40711999999999
LAGO_FR,GBDT,negative,bech,1,36,1.0,0.0,1.0,0.0,0.0,0.13333333333333333,13.0,13.0,0.9722222222222222,1.0,0.017857142857142856,18.989807741364007,91.40711999999999
LAGO_FR,GBDT,spike,base,38,18,0.3421052631578947,0.6578947368421053,0.23684210526315788,0.0,0.10526315789473684,0.5907016060862215,2.923076923076923,2.769230769230769,0.2777777777777778,0.19469026548672566,0.5641025641025641,73.50994701767257,91.40711999999999
LAGO_FR,GBDT,spike,bech,38,18,0.3421052631578947,0.6578947368421053,0.23684210526315788,0.0,0.10526315789473684,0.5907016060862215,2.923076923076923,2.769230769230769,0.2777777777777778,0.19469026548672566,0.5641025641025641,73.50994701767257,91.40711999999999
LAGO_PJM,Linear,negative,base,18,8,0.2777777777777778,0.7222222222222222,0.2777777777777778,0.0,0.0,0.4766666666666667,2.8,2.8,0.375,0.2,0.375,10.419424567413477,114.50219567999999
LAGO_PJM,Linear,negative,bech,18,8,0.2777777777777778,0.7222222222222222,0.2777777777777778,0.0,0.0,0.4766666666666667,2.8,2.8,0.375,0.2,0.375,10.419424567413477,114.50219567999999
LAGO_PJM,Linear,spike,base,6,0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,46.207941507587414,114.50219567999999
LAGO_PJM,Linear,spike,bech,6,0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,46.207941507587414,114.50219567999999
LAGO_PJM,GBDT,negative,base,18,0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,15.92384300673548,114.50219567999999
LAGO_PJM,GBDT,negative,bech,18,0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,15.92384300673548,114.50219567999999
