component,role,metric,cell,market,host,on_config,off_config,on_value,off_value,delta_on_minus_off,favours
shape_semantic_context,primary,shape_w1_negative,QINGHAI_DA::iTransformer,QINGHAI_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,5.038017012750027,5.808370476813336,-0.7703534640633096,ON
shape_semantic_context,primary,shape_w1_negative,SHAANXI_DA::LSTM,SHAANXI_DA,LSTM,FULL,NO_SHAPE_CONTEXT,2.707808943673205,2.2944705702947537,0.41333837337845125,OFF
shape_semantic_context,primary,shape_w1_negative,SHAANXI_DA::PatchTST,SHAANXI_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,3.7452479137044805,3.5831765224913803,0.1620713912131002,OFF
shape_semantic_context,primary,shape_w1_negative,SHAANXI_DA::TimeMixer,SHAANXI_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,3.426259466731998,3.2445263831797204,0.18173308355227746,OFF
shape_semantic_context,primary,shape_w1_negative,SHAANXI_DA::iTransformer,SHAANXI_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,3.771646715664235,3.3128283380776473,0.4588183775865877,OFF
shape_semantic_context,primary,shape_w1_negative,SHANDONG_DA::LSTM,SHANDONG_DA,LSTM,FULL,NO_SHAPE_CONTEXT,8.15962454225461,4.4819485800532215,3.6776759622013886,OFF
shape_semantic_context,primary,shape_w1_negative,SHANDONG_DA::PatchTST,SHANDONG_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,5.828051456443991,3.7207187506528694,2.107332705791122,OFF
shape_semantic_context,primary,shape_w1_negative,SHANDONG_DA::TimeMixer,SHANDONG_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,6.722536559198215,3.9274997160239984,2.7950368431742163,OFF
shape_semantic_context,primary,shape_w1_negative,SHANDONG_DA::iTransformer,SHANDONG_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,6.256220307210672,4.013497301972297,2.242723005238375,OFF
shape_semantic_context,secondary,tail_mae,GANSU_DA::LSTM,GANSU_DA,LSTM,FULL,NO_SHAPE_CONTEXT,57.11006005088055,50.71604854322273,6.394011507657815,OFF
shape_semantic_context,secondary,tail_mae,GANSU_DA::PatchTST,GANSU_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,17.45318676416114,11.750530276928552,5.702656487232586,OFF
shape_semantic_context,secondary,tail_mae,GANSU_DA::TimeMixer,GANSU_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,49.805999672096085,47.53312391916203,2.2728757529340555,OFF
shape_semantic_context,secondary,tail_mae,GANSU_DA::iTransformer,GANSU_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,48.317395592792536,39.977660947905555,8.339734644886981,OFF
shape_semantic_context,secondary,tail_mae,NINGXIA_DA::LSTM,NINGXIA_DA,LSTM,FULL,NO_SHAPE_CONTEXT,70.23184676397415,67.25269752711382,2.979149236860323,OFF
shape_semantic_context,secondary,tail_mae,NINGXIA_DA::PatchTST,NINGXIA_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,73.18104904417008,72.71381012339876,0.46723892077132234,OFF
shape_semantic_context,secondary,tail_mae,NINGXIA_DA::TimeMixer,NINGXIA_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,99.5849840678866,83.46905515947886,16.11592890840774,OFF
shape_semantic_context,secondary,tail_mae,NINGXIA_DA::iTransformer,NINGXIA_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,70.4630389743381,70.27099328113752,0.1920456932005834,OFF
shape_semantic_context,secondary,tail_mae,QINGHAI_DA::LSTM,QINGHAI_DA,LSTM,FULL,NO_SHAPE_CONTEXT,136.37490321461797,132.89613251136112,3.4787707032568562,OFF
shape_semantic_context,secondary,tail_mae,QINGHAI_DA::PatchTST,QINGHAI_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,122.24341776603946,114.4547704200061,7.788647346033358,OFF
shape_semantic_context,secondary,tail_mae,QINGHAI_DA::TimeMixer,QINGHAI_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,130.48988388601208,135.92939998288816,-5.439516096876076,ON
shape_semantic_context,secondary,tail_mae,QINGHAI_DA::iTransformer,QINGHAI_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,144.21316817691087,134.4440966442063,9.769071532704572,OFF
shape_semantic_context,secondary,tail_mae,SHAANXI_DA::LSTM,SHAANXI_DA,LSTM,FULL,NO_SHAPE_CONTEXT,164.92372136340956,151.89257579365486,13.031145569754699,OFF
shape_semantic_context,secondary,tail_mae,SHAANXI_DA::PatchTST,SHAANXI_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,138.30604723970825,141.2788639059782,-2.9728166662699493,ON
shape_semantic_context,secondary,tail_mae,SHAANXI_DA::TimeMixer,SHAANXI_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,137.2550188074055,133.1494268010385,4.105592006367004,OFF
shape_semantic_context,secondary,tail_mae,SHAANXI_DA::iTransformer,SHAANXI_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,158.20981284447825,154.78219152869605,3.427621315782204,OFF
shape_semantic_context,secondary,tail_mae,SHANDONG_DA::LSTM,SHANDONG_DA,LSTM,FULL,NO_SHAPE_CONTEXT,210.51857680738337,160.2403337792149,50.278243028168475,OFF
shape_semantic_context,secondary,tail_mae,SHANDONG_DA::PatchTST,SHANDONG_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,181.22323009572088,149.32079008704255,31.902440008678326,OFF
shape_semantic_context,secondary,tail_mae,SHANDONG_DA::TimeMixer,SHANDONG_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,184.61741574030623,144.7126217482103,39.90479399209593,OFF
shape_semantic_context,secondary,tail_mae,SHANDONG_DA::iTransformer,SHANDONG_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,204.07251966302837,162.7593374545597,41.313182208468675,OFF
shape_semantic_context,diagnostic,mass_positive_l1,GANSU_DA::LSTM,GANSU_DA,LSTM,FULL,NO_SHAPE_CONTEXT,234.93891270955405,237.2529717172895,-2.314059007735466,ON
shape_semantic_context,diagnostic,mass_positive_l1,GANSU_DA::PatchTST,GANSU_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,587.6264811924526,591.7129665556408,-4.086485363188217,ON
shape_semantic_context,diagnostic,mass_positive_l1,GANSU_DA::TimeMixer,GANSU_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,671.1096038818359,729.5211726597378,-58.411568777901834,ON
shape_semantic_context,diagnostic,mass_positive_l1,GANSU_DA::iTransformer,GANSU_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,556.5477643694196,613.063106355213,-56.515341985793384,ON
shape_semantic_context,diagnostic,mass_positive_l1,NINGXIA_DA::LSTM,NINGXIA_DA,LSTM,FULL,NO_SHAPE_CONTEXT,743.3251999148799,744.6495573861258,-1.3243574712458894,ON
shape_semantic_context,diagnostic,mass_positive_l1,NINGXIA_DA::PatchTST,NINGXIA_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,809.0820303311173,503.7156878880092,305.36634244310807,OFF
shape_semantic_context,diagnostic,mass_positive_l1,NINGXIA_DA::TimeMixer,NINGXIA_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,872.4261061164683,567.401785169329,305.02432094713936,OFF
shape_semantic_context,diagnostic,mass_positive_l1,NINGXIA_DA::iTransformer,NINGXIA_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,994.5700669328382,521.298773084368,473.27129384847024,OFF
shape_semantic_context,diagnostic,mass_positive_l1,QINGHAI_DA::LSTM,QINGHAI_DA,LSTM,FULL,NO_SHAPE_CONTEXT,1099.8947372436523,1139.990592956543,-40.095855712890625,ON
shape_semantic_context,diagnostic,mass_positive_l1,QINGHAI_DA::PatchTST,QINGHAI_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,522.9531758626302,516.1572774251302,6.7958984375,OFF
shape_semantic_context,diagnostic,mass_positive_l1,QINGHAI_DA::TimeMixer,QINGHAI_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,995.907595316569,995.2170537312826,0.6905415852863825,OFF
shape_semantic_context,diagnostic,mass_positive_l1,QINGHAI_DA::iTransformer,QINGHAI_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,775.0193456013998,773.3745091756185,1.64483642578125,OFF
shape_semantic_context,diagnostic,mass_positive_l1,SHAANXI_DA::LSTM,SHAANXI_DA,LSTM,FULL,NO_SHAPE_CONTEXT,469.69775505065917,425.55250053405763,44.14525451660154,OFF
shape_semantic_context,diagnostic,mass_positive_l1,SHAANXI_DA::PatchTST,SHAANXI_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,810.6743356704712,822.0739664077759,-11.39963073730462,ON
shape_semantic_context,diagnostic,mass_positive_l1,SHAANXI_DA::TimeMixer,SHAANXI_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,742.296290397644,726.4854276657104,15.81086273193364,OFF
shape_semantic_context,diagnostic,mass_positive_l1,SHAANXI_DA::iTransformer,SHAANXI_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,788.1845611572265,777.5328380584717,10.651723098754815,OFF
shape_semantic_context,diagnostic,mass_positive_l1,SHANDONG_DA::LSTM,SHANDONG_DA,LSTM,FULL,NO_SHAPE_CONTEXT,1022.5332775406721,527.4873945189686,495.0458830217035,OFF
shape_semantic_context,diagnostic,mass_positive_l1,SHANDONG_DA::PatchTST,SHANDONG_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,1230.2698148046507,568.9659599676365,661.3038548370141,OFF
shape_semantic_context,diagnostic,mass_positive_l1,SHANDONG_DA::TimeMixer,SHANDONG_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,1142.827958789001,553.2192516094301,589.608707179571,OFF
shape_semantic_context,diagnostic,mass_positive_l1,SHANDONG_DA::iTransformer,SHANDONG_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,1219.0905569255178,604.4800559718434,614.6105009536744,OFF
shape_semantic_context,diagnostic,mass_negative_l1,GANSU_DA::LSTM,GANSU_DA,LSTM,FULL,NO_SHAPE_CONTEXT,927.4769941057477,951.6600530715216,-24.183058965773853,ON
shape_semantic_context,diagnostic,mass_negative_l1,GANSU_DA::PatchTST,GANSU_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,708.4747416178385,716.29250226702,-7.817760649181537,ON
shape_semantic_context,diagnostic,mass_negative_l1,GANSU_DA::TimeMixer,GANSU_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,473.0742423647926,517.0521825154623,-43.97794015066967,ON
shape_semantic_context,diagnostic,mass_negative_l1,GANSU_DA::iTransformer,GANSU_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,485.6704839070638,455.0837235223679,30.58676038469588,OFF
shape_semantic_context,diagnostic,mass_negative_l1,NINGXIA_DA::LSTM,NINGXIA_DA,LSTM,FULL,NO_SHAPE_CONTEXT,1074.2917591751154,670.6776123046875,403.61414687042793,OFF
shape_semantic_context,diagnostic,mass_negative_l1,NINGXIA_DA::PatchTST,NINGXIA_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,1170.2793409567591,784.811761038644,385.4675799181151,OFF
shape_semantic_context,diagnostic,mass_negative_l1,NINGXIA_DA::TimeMixer,NINGXIA_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,1347.5632533856801,701.8236574445452,645.7395959411349,OFF
