evidence_origin,physical_market_group,backbone,method,host_cache,host_array_sha256,host_checkpoint_sha256,host_recipe_id,source_commit,source_path,source_sha256,split_hash,role_vocabulary,role_relabelling_for_reused_modules,fit_partition,eval_partition,threshold_source,protected_final_read,retrained
CHINA5_PANEL_NEW_RUN,SHAANXI,PatchTST,Host,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHAANXI/PatchTST/host_predictions.npz,d4449b216ec9a684a57c11ec41e9aeec2287d0b7210f1bd2714b5faed841cfb2,579D3F4CB07B74A6A3968E6578602A01C23C38FB4159F97A8B0BBFF52307A742,gansu_da_frozen_recipe_v1,8ff39ec6ef25f954ed38ddea9ba4ca238e84987e,data/CHINA/SHAANXI/陕西24h电价数据集(1).xlsx,5222F634483CD6EC6C1C1D2BD064E1C1EF1602F384312B9FE97C0DCAF5C468B5,175e9cf1b9d6faeaaf0f49c533a350c8c60879bf45862a2d01591de16621f2f8,HOST_TRAIN/HOST_VAL/POST_TRAIN/DEV_EVAL/PROTECTED_FINAL,S1|HOST_TRAIN+HOST_VAL ; DIAG_FIT|POST_TRAIN ; DIAG_EVAL|DEV_EVAL ; S4|PROTECTED_FINAL(sealed),none,DEV_EVAL,00_protocol/THRESHOLD_FREEZE.json (HOST_TRAIN only),False,False
CHINA5_PANEL_NEW_RUN,SHAANXI,PatchTST,MatchedDirectResidual,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHAANXI/PatchTST/host_predictions.npz,d4449b216ec9a684a57c11ec41e9aeec2287d0b7210f1bd2714b5faed841cfb2,579D3F4CB07B74A6A3968E6578602A01C23C38FB4159F97A8B0BBFF52307A742,gansu_da_frozen_recipe_v1,8ff39ec6ef25f954ed38ddea9ba4ca238e84987e,data/CHINA/SHAANXI/陕西24h电价数据集(1).xlsx,5222F634483CD6EC6C1C1D2BD064E1C1EF1602F384312B9FE97C0DCAF5C468B5,175e9cf1b9d6faeaaf0f49c533a350c8c60879bf45862a2d01591de16621f2f8,HOST_TRAIN/HOST_VAL/POST_TRAIN/DEV_EVAL/PROTECTED_FINAL,S1|HOST_TRAIN+HOST_VAL ; DIAG_FIT|POST_TRAIN ; DIAG_EVAL|DEV_EVAL ; S4|PROTECTED_FINAL(sealed),POST_TRAIN,DEV_EVAL,00_protocol/THRESHOLD_FREEZE.json (HOST_TRAIN only),False,False
CHINA5_PANEL_NEW_RUN,SHAANXI,PatchTST,delta_Adapter_AdaY,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHAANXI/PatchTST/host_predictions.npz,d4449b216ec9a684a57c11ec41e9aeec2287d0b7210f1bd2714b5faed841cfb2,579D3F4CB07B74A6A3968E6578602A01C23C38FB4159F97A8B0BBFF52307A742,gansu_da_frozen_recipe_v1,8ff39ec6ef25f954ed38ddea9ba4ca238e84987e,data/CHINA/SHAANXI/陕西24h电价数据集(1).xlsx,5222F634483CD6EC6C1C1D2BD064E1C1EF1602F384312B9FE97C0DCAF5C468B5,175e9cf1b9d6faeaaf0f49c533a350c8c60879bf45862a2d01591de16621f2f8,HOST_TRAIN/HOST_VAL/POST_TRAIN/DEV_EVAL/PROTECTED_FINAL,S1|HOST_TRAIN+HOST_VAL ; DIAG_FIT|POST_TRAIN ; DIAG_EVAL|DEV_EVAL ; S4|PROTECTED_FINAL(sealed),POST_TRAIN,DEV_EVAL,00_protocol/THRESHOLD_FREEZE.json (HOST_TRAIN only),False,False
CHINA5_PANEL_NEW_RUN,SHAANXI,PatchTST,PIR_paper_protocol,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHAANXI/PatchTST/host_predictions.npz,d4449b216ec9a684a57c11ec41e9aeec2287d0b7210f1bd2714b5faed841cfb2,579D3F4CB07B74A6A3968E6578602A01C23C38FB4159F97A8B0BBFF52307A742,gansu_da_frozen_recipe_v1,8ff39ec6ef25f954ed38ddea9ba4ca238e84987e,data/CHINA/SHAANXI/陕西24h电价数据集(1).xlsx,5222F634483CD6EC6C1C1D2BD064E1C1EF1602F384312B9FE97C0DCAF5C468B5,175e9cf1b9d6faeaaf0f49c533a350c8c60879bf45862a2d01591de16621f2f8,HOST_TRAIN/HOST_VAL/POST_TRAIN/DEV_EVAL/PROTECTED_FINAL,S1|HOST_TRAIN+HOST_VAL ; DIAG_FIT|POST_TRAIN ; DIAG_EVAL|DEV_EVAL ; S4|PROTECTED_FINAL(sealed),POST_TRAIN,DEV_EVAL,00_protocol/THRESHOLD_FREEZE.json (HOST_TRAIN only),False,False
CHINA5_PANEL_NEW_RUN,SHAANXI,PatchTST,COSA_online,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHAANXI/PatchTST/host_predictions.npz,d4449b216ec9a684a57c11ec41e9aeec2287d0b7210f1bd2714b5faed841cfb2,579D3F4CB07B74A6A3968E6578602A01C23C38FB4159F97A8B0BBFF52307A742,gansu_da_frozen_recipe_v1,8ff39ec6ef25f954ed38ddea9ba4ca238e84987e,data/CHINA/SHAANXI/陕西24h电价数据集(1).xlsx,5222F634483CD6EC6C1C1D2BD064E1C1EF1602F384312B9FE97C0DCAF5C468B5,175e9cf1b9d6faeaaf0f49c533a350c8c60879bf45862a2d01591de16621f2f8,HOST_TRAIN/HOST_VAL/POST_TRAIN/DEV_EVAL/PROTECTED_FINAL,S1|HOST_TRAIN+HOST_VAL ; DIAG_FIT|POST_TRAIN ; DIAG_EVAL|DEV_EVAL ; S4|PROTECTED_FINAL(sealed),POST_TRAIN,DEV_EVAL,00_protocol/THRESHOLD_FREEZE.json (HOST_TRAIN only),False,False
CHINA5_PANEL_NEW_RUN,SHAANXI,TimeMixer,Host,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHAANXI/TimeMixer/host_predictions.npz,678aba21ca03593033c9e35d300b3ce562985d725d73ae2972723761c124fcd6,83A4A110AFAD25F6C7D40306C276CAE858610A8860E47DB43663F533279942C7,gansu_da_frozen_recipe_v1,8ff39ec6ef25f954ed38ddea9ba4ca238e84987e,data/CHINA/SHAANXI/陕西24h电价数据集(1).xlsx,5222F634483CD6EC6C1C1D2BD064E1C1EF1602F384312B9FE97C0DCAF5C468B5,175e9cf1b9d6faeaaf0f49c533a350c8c60879bf45862a2d01591de16621f2f8,HOST_TRAIN/HOST_VAL/POST_TRAIN/DEV_EVAL/PROTECTED_FINAL,S1|HOST_TRAIN+HOST_VAL ; DIAG_FIT|POST_TRAIN ; DIAG_EVAL|DEV_EVAL ; S4|PROTECTED_FINAL(sealed),none,DEV_EVAL,00_protocol/THRESHOLD_FREEZE.json (HOST_TRAIN only),False,False
CHINA5_PANEL_NEW_RUN,SHAANXI,TimeMixer,MatchedDirectResidual,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHAANXI/TimeMixer/host_predictions.npz,678aba21ca03593033c9e35d300b3ce562985d725d73ae2972723761c124fcd6,83A4A110AFAD25F6C7D40306C276CAE858610A8860E47DB43663F533279942C7,gansu_da_frozen_recipe_v1,8ff39ec6ef25f954ed38ddea9ba4ca238e84987e,data/CHINA/SHAANXI/陕西24h电价数据集(1).xlsx,5222F634483CD6EC6C1C1D2BD064E1C1EF1602F384312B9FE97C0DCAF5C468B5,175e9cf1b9d6faeaaf0f49c533a350c8c60879bf45862a2d01591de16621f2f8,HOST_TRAIN/HOST_VAL/POST_TRAIN/DEV_EVAL/PROTECTED_FINAL,S1|HOST_TRAIN+HOST_VAL ; DIAG_FIT|POST_TRAIN ; DIAG_EVAL|DEV_EVAL ; S4|PROTECTED_FINAL(sealed),POST_TRAIN,DEV_EVAL,00_protocol/THRESHOLD_FREEZE.json (HOST_TRAIN only),False,False
CHINA5_PANEL_NEW_RUN,SHAANXI,TimeMixer,delta_Adapter_AdaY,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHAANXI/TimeMixer/host_predictions.npz,678aba21ca03593033c9e35d300b3ce562985d725d73ae2972723761c124fcd6,83A4A110AFAD25F6C7D40306C276CAE858610A8860E47DB43663F533279942C7,gansu_da_frozen_recipe_v1,8ff39ec6ef25f954ed38ddea9ba4ca238e84987e,data/CHINA/SHAANXI/陕西24h电价数据集(1).xlsx,5222F634483CD6EC6C1C1D2BD064E1C1EF1602F384312B9FE97C0DCAF5C468B5,175e9cf1b9d6faeaaf0f49c533a350c8c60879bf45862a2d01591de16621f2f8,HOST_TRAIN/HOST_VAL/POST_TRAIN/DEV_EVAL/PROTECTED_FINAL,S1|HOST_TRAIN+HOST_VAL ; DIAG_FIT|POST_TRAIN ; DIAG_EVAL|DEV_EVAL ; S4|PROTECTED_FINAL(sealed),POST_TRAIN,DEV_EVAL,00_protocol/THRESHOLD_FREEZE.json (HOST_TRAIN only),False,False
CHINA5_PANEL_NEW_RUN,SHAANXI,TimeMixer,PIR_paper_protocol,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHAANXI/TimeMixer/host_predictions.npz,678aba21ca03593033c9e35d300b3ce562985d725d73ae2972723761c124fcd6,83A4A110AFAD25F6C7D40306C276CAE858610A8860E47DB43663F533279942C7,gansu_da_frozen_recipe_v1,8ff39ec6ef25f954ed38ddea9ba4ca238e84987e,data/CHINA/SHAANXI/陕西24h电价数据集(1).xlsx,5222F634483CD6EC6C1C1D2BD064E1C1EF1602F384312B9FE97C0DCAF5C468B5,175e9cf1b9d6faeaaf0f49c533a350c8c60879bf45862a2d01591de16621f2f8,HOST_TRAIN/HOST_VAL/POST_TRAIN/DEV_EVAL/PROTECTED_FINAL,S1|HOST_TRAIN+HOST_VAL ; DIAG_FIT|POST_TRAIN ; DIAG_EVAL|DEV_EVAL ; S4|PROTECTED_FINAL(sealed),POST_TRAIN,DEV_EVAL,00_protocol/THRESHOLD_FREEZE.json (HOST_TRAIN only),False,False
CHINA5_PANEL_NEW_RUN,SHAANXI,TimeMixer,COSA_online,experiments/evidence/china5_posthoc_baseline_panel_20260912/02_hosts/SHAANXI/TimeMixer/host_predictions.npz,678aba21ca03593033c9e35d300b3ce562985d725d73ae2972723761c124fcd6,83A4A110AFAD25F6C7D40306C276CAE858610A8860E47DB43663F533279942C7,gansu_da_frozen_recipe_v1,8ff39ec6ef25f954ed38ddea9ba4ca238e84987e,data/CHINA/SHAANXI/陕西24h电价数据集(1).xlsx,5222F634483CD6EC6C1C1D2BD064E1C1EF1602F384312B9FE97C0DCAF5C468B5,175e9cf1b9d6faeaaf0f49c533a350c8c60879bf45862a2d01591de16621f2f8,HOST_TRAIN/HOST_VAL/POST_TRAIN/DEV_EVAL/PROTECTED_FINAL,S1|HOST_TRAIN+HOST_VAL ; DIAG_FIT|POST_TRAIN ; DIAG_EVAL|DEV_EVAL ; S4|PROTECTED_FINAL(sealed),POST_TRAIN,DEV_EVAL,00_protocol/THRESHOLD_FREEZE.json (HOST_TRAIN only),False,False
