physical_market_group,dataset_id,backbone,method,method_display,partition,fidelity_status,setting,table,n_days,n_hours,Overall_MAE,MSE,RMSE,Host_Overall_MAE,relative_gain_vs_Host_pct,Tail_MAE,Upper_tail_MAE,Lower_tail_MAE,Normal_region_MAE,Host_Normal_region_MAE,Normal_harm_vs_Host,n_upper_tail_hours,n_lower_tail_hours,n_normal_hours,Tail_MAE_Host,Extreme_day_MAE,n_extreme_days,Extreme_day_MAE_Host,extreme_day_subset_status,Upper_tail_day_MAE,n_upper_tail_days,upper_tail_day_subset_status,negative_price_subset_status,n_negative_hours,Negative_price_MAE,Negative_price_MAE_Host,n_negative_days
SHAANXI,SHAANXI_DA,PatchTST,Host,Host (frozen),DEV_EVAL,"frozen Host, no post-processing",STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,20,480,101.63885358969371,19263.773073198616,138.7939950905608,101.63885358969371,0.0,143.01088774831672,429.3126242501395,78.3621085382277,93.85599567866561,93.85599567866561,0.0,14,62,404,143.01088774831672,139.31784216562906,2,139.31784216562906,OK,113.68021807670593,10,OK,NOT_APPLICABLE_N0,0,,,0
SHAANXI,SHAANXI_DA,PatchTST,MatchedDirectResidual,MatchedDirectResidual,DEV_EVAL,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,20,480,132.33284427512748,28888.89211976087,169.96732662415113,101.63885358969371,-30.199072108135404,160.29712894088343,300.14853858947754,128.71777837507187,127.07223626869813,93.85599567866561,33.21624059003253,14,62,404,143.01088774831672,123.75167763233185,2,139.31784216562906,OK,125.7488588983193,10,OK,NOT_APPLICABLE_N0,0,,,0
SHAANXI,SHAANXI_DA,PatchTST,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,20,480,99.99750287582476,18706.264478332196,136.77084659507008,101.63885358969371,1.6148851112537344,141.11246327036307,425.82662887232647,76.8221678118552,92.26300537586212,93.85599567866561,-1.5929903028034857,14,62,404,143.01088774831672,138.18053332467875,2,139.31784216562906,OK,112.3353990505139,10,OK,NOT_APPLICABLE_N0,0,,,0
SHAANXI,SHAANXI_DA,PatchTST,PIR_paper_protocol,PIR,DEV_EVAL,PAPER_FAITHFUL_EXACT_ACCEPTED,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,20,480,107.82356026172639,20768.156318440168,144.11161063023397,101.63885358969371,-6.084982714385722,156.70051333778784,420.3139899117606,97.17488959527785,98.62888592068512,93.85599567866561,4.772890242019514,14,62,404,143.01088774831672,142.71270163853964,2,139.31784216562906,OK,106.85832578341166,10,OK,NOT_APPLICABLE_N0,0,,,0
SHAANXI,SHAANXI_DA,PatchTST,COSA_online,COSA_online,DEV_EVAL,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,ONLINE_TTA_scored_on_adapted_days,supplementary,20,480,101.40782681380709,19201.365566343637,138.56899208099782,101.63885358969371,0.22730163488389174,142.25792337091346,429.0776500020708,77.49217864774889,93.72315518425243,93.85599567866561,-0.13284049441317336,14,62,404,143.01088774831672,138.83313247561455,2,139.31784216562906,OK,113.48523701230685,10,OK,NOT_APPLICABLE_N0,0,,,0
SHAANXI,SHAANXI_DA,TimeMixer,Host,Host (frozen),DEV_EVAL,"frozen Host, no post-processing",STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,20,480,99.74069322745005,18070.611137450574,134.42697325109486,99.74069322745005,0.0,140.63074182209215,397.98812321254184,82.51778473392609,92.04850586806194,92.04850586806194,0.0,14,62,404,140.63074182209215,123.67640686035156,2,123.67640686035156,OK,96.46707221666972,10,OK,NOT_APPLICABLE_N0,0,,,0
SHAANXI,SHAANXI_DA,TimeMixer,MatchedDirectResidual,MatchedDirectResidual,DEV_EVAL,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,20,480,127.91083670289566,27958.23533234431,167.20716292176095,99.74069322745005,-28.243380473811253,156.5577811567407,278.4932643345424,129.02396237465643,122.52180754821194,92.04850586806194,30.47330168015,14,62,404,140.63074182209215,129.87683453162512,2,123.67640686035156,OK,122.14783599637448,10,OK,NOT_APPLICABLE_N0,0,,,0
SHAANXI,SHAANXI_DA,TimeMixer,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,20,480,99.66677856228004,18062.462611490882,134.39666145961692,99.74069322745005,0.07410682919703816,140.66000850459463,397.0086015973772,82.7748423223534,91.95518085035947,92.04850586806194,-0.09332501770246893,14,62,404,140.63074182209215,123.48757162193458,2,123.67640686035156,OK,96.25640462202331,10,OK,NOT_APPLICABLE_N0,0,,,0
SHAANXI,SHAANXI_DA,TimeMixer,PIR_paper_protocol,PIR,DEV_EVAL,PAPER_FAITHFUL_EXACT_ACCEPTED,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,20,480,108.97536199092865,22065.132398799768,148.54336874731152,99.74069322745005,-9.258677140352061,170.16591584055047,467.55820029122486,103.0128193516885,97.46426770238592,92.04850586806194,5.4157618343239875,14,62,404,140.63074182209215,138.8868327140808,2,123.67640686035156,OK,112.01031629244487,10,OK,NOT_APPLICABLE_N0,0,,,0
SHAANXI,SHAANXI_DA,TimeMixer,COSA_online,COSA_online,DEV_EVAL,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,ONLINE_TTA_scored_on_adapted_days,supplementary,20,480,99.47235090956092,18004.395332708504,134.1804580880111,99.74069322745005,0.26903995671777065,140.00529264933184,398.1550827026367,81.71340457277913,91.8473420674258,92.04850586806194,-0.20116380063613803,14,62,404,140.63074182209215,123.35570771495502,2,123.67640686035156,OK,96.21965216249228,10,OK,NOT_APPLICABLE_N0,0,,,0
