market,track,host,seed,S1_pooled_OOF_alpha,HRSI_pooled_OOF_alpha,HRSI_OOF_utility,S1_OOF_utility,S1_alpha_refit_on_HRSI_rowset,alpha_rowset_sensitivity_pct,S1_frozen_Overall_MAE,S1_aligned_rowset_Overall_MAE,S1_aligned_rowset_relative_gain_pct,HRSI_minus_S1_aligned_overall_gain_pp
GANSU_DA,A_DA,PatchTST,7,1.3974456891689175,2.0252842286521546,0.0686867935091675,0.03368276734922216,1.512338190482493,8.221607623399224,70.72848838803822,70.75630495105165,1.8002248097772588,-1.2158203612399618
GANSU_DA,A_DA,TimeMixer,7,1.6546379500381447,2.443662364946953,0.09432854303936122,0.04544869275996987,1.6150983508212693,-2.3896224074858146,71.52687873925352,71.56164884960795,5.656153413411788,-1.3997948833621852
LAGO_DE,A_DA,PatchTST,7,2.4004894299838386,2.363801052212647,0.08176039804391957,0.08258462596917228,2.4010813358290073,0.024657715121563603,4.256537275988756,4.256510240274108,10.512141987511512,-1.3681816021145394
LAGO_DE,A_DA,TimeMixer,7,2.260619251975067,2.366919568282619,0.07113151024170143,0.0712962409713433,2.3682369071607807,4.760538736971726,4.330099683287419,4.329130945204457,8.019606675085587,-1.0104977080464081
LAGO_PJM,A_DA,PatchTST,7,1.302846012362227,1.6475487528962802,0.03546915368189528,0.034351932787109546,1.646702547398303,26.392722683521136,3.0616532662791767,3.1006326792637036,-2.6831137285230477,0.08346924138496892
LAGO_PJM,A_DA,TimeMixer,7,2.7183292878009966,3.045187779998797,0.13925320811658698,0.13303178487555378,3.0337643976585658,11.604006596005213,3.112615767119781,3.1395736456645986,2.532693443860588,-0.34827163543624806
GANSU_DA,A_DA,PatchTST,17,1.8119296414135204,1.788726529082508,0.04350602620087303,0.057195249142046135,1.944272836519983,7.303991947679559,70.4341541722147,70.54139230778559,2.098493257640152,0.2994230477037547
GANSU_DA,A_DA,TimeMixer,17,2.026945814895266,1.912939291735568,0.052898524875715905,0.050766437371425374,1.8624303820690866,-8.116419867626306,69.92446715649139,70.13915265521292,7.531512141046038,0.4230306368006733
LAGO_DE,A_DA,PatchTST,17,2.4153807927298243,2.4470607399905187,0.08415001561488457,0.08845413465084966,2.4821824067544207,2.7656762952519087,4.195557335041293,4.192851532546568,11.850487504569106,-0.6578939981234697
LAGO_DE,A_DA,TimeMixer,17,2.2292709596930154,2.355391263359893,0.0796968605487782,0.08580262444345747,2.449161313955224,9.8637787078377,4.3082407367489,4.306632477566751,8.497628229230637,-0.6035243073687893
LAGO_PJM,A_DA,PatchTST,17,1.0216443728868245,1.0779469391998302,0.016216084953492436,0.016011593877982115,1.0637622170695638,4.122554315424684,3.013094761807138,3.015094781350022,0.14962997514426374,0.02207589835867632
LAGO_PJM,A_DA,TimeMixer,17,2.3746229009693502,2.426878829886528,0.10155704356790028,0.09762303346199643,2.428528328447468,2.270062646835959,3.061235350998428,3.0632515134686593,4.902095628782137,-0.12768526245259082
GANSU_DA,A_DA,PatchTST,37,1.7094198107261478,1.3928269599859417,0.026483295844220375,0.02128553613900062,1.3004904778234925,-23.9221126569807,69.44439125496409,69.56807629338346,3.4493186557365254,0.3315556899632095
GANSU_DA,A_DA,TimeMixer,37,2.113629164219349,1.9130655139999768,0.04828260470504354,0.03692721424674292,1.7150987918739984,-18.855264636384053,70.74957722012466,71.07896475675754,6.2925036755664125,0.14425303187860816
LAGO_DE,A_DA,PatchTST,37,2.3992451330087,2.404555551943221,0.08498951032602738,0.09084345039798004,2.47747285487057,3.260513933554209,4.245660116226809,4.243400777418252,10.78775221383374,-0.662638550471879
LAGO_DE,A_DA,TimeMixer,37,2.1910360099251998,2.251157560599504,0.07350696157886646,0.07949817036842358,2.3019912697988376,5.064054601157641,4.260820702493413,4.254406746578659,9.607260471537186,-0.7847688800344077
LAGO_PJM,A_DA,PatchTST,37,1.1385257750844227,1.2023691404806471,0.02001305240451691,0.02021257197648822,1.2179761047287072,6.9783514245334715,3.045757513709513,3.051651290988492,-1.0610056031456043,0.07670002337111115
LAGO_PJM,A_DA,TimeMixer,37,2.4309686171566685,2.527462600349187,0.09712908640462248,0.09040979677094253,2.5056935665396445,3.0738755266358186,3.01652506447999,3.0176536032262242,6.317671753921244,-0.1062504801487183
