market,track,host,seed,method,Overall_MAE,Tail_MAE,Normal_MAE,MSE,relative_gain_pct,shape_cosine,wrong_hemisphere_rate,alpha,oof_calibrated_utility,parameter_count,incremental_parameter_count,training_seconds,inference_seconds,inference_seconds_per_day,inference_overhead_seconds_per_day
GANSU_DA,A_DA,PatchTST,7,S1_DailyPatch_GRU32,70.72848838803822,86.6992812555651,69.0473522967196,8068.206285541901,1.838830277323554,0.20563863217830658,0.38095238095238093,1.3974456891689175,0.03368276734922216,18712.0,5.0,10.119593199924566,0.0003467000206001103,1.6509524790481444e-05,0.0
GANSU_DA,A_DA,PatchTST,7,HRSI_HostRelativeStateInteraction,71.63234520754867,81.70000980292352,70.57259103961447,8344.775477524518,0.5844044485372971,0.17583656311035156,0.47619047619047616,2.0252842286521546,0.0686867935091675,18717.0,5.0,3.8961033999803476,0.0005043500277679414,2.4016667988949587e-05,7.507143198468146e-06
GANSU_DA,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,71.52687873925352,132.96684023076742,65.05951437172574,7885.206771276226,5.701992854087211,0.3133784830570221,0.23809523809523808,1.6546379500381447,0.04544869275996987,18712.0,5.0,10.18445540004177,0.0003383000148460269,1.610952451647747e-05,0.0
GANSU_DA,A_DA,TimeMixer,7,HRSI_HostRelativeStateInteraction,72.6234205870228,125.86789512428292,67.01873905678488,8150.245023317172,4.256358530049603,0.2648564875125885,0.2857142857142857,2.443662364946953,0.09432854303936122,18717.0,5.0,3.8961033999803476,0.00048550000065006316,2.3119047650003006e-05,7.009523133525536e-06
LAGO_DE,A_DA,PatchTST,7,S1_DailyPatch_GRU32,4.256537275988756,6.607942724671064,3.8933457900934303,34.558557831727356,10.511573595082703,0.4506481885910034,0.10091743119266056,2.4004894299838386,0.08258462596917228,14872.0,5.0,16.01021179999225,0.0006006999756209552,5.511008950650965e-06,0.0
LAGO_DE,A_DA,PatchTST,7,HRSI_HostRelativeStateInteraction,4.321588108146892,6.794508025851701,3.9396278384219654,35.26717603467243,9.143960385396973,0.42284196615219116,0.10091743119266056,2.363801052212647,0.08176039804391957,14877.0,5.0,3.8961033999803476,0.0008396999619435519,7.703669375628916e-06,2.192660424977951e-06
LAGO_DE,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,4.330099683287419,6.630413492558692,3.974799668616217,35.680270155004656,7.999024042906632,0.3820890784263611,0.2018348623853211,2.260619251975067,0.0712962409713433,14872.0,5.0,16.056601000076625,0.0007096999906934798,6.511009088931007e-06,0.0
LAGO_DE,A_DA,TimeMixer,7,HRSI_HostRelativeStateInteraction,4.376690829869323,6.665894385285922,4.0231068738252755,36.13176852831354,7.009108967039179,0.35784777998924255,0.22018348623853212,2.366919568282619,0.07113151024170143,14877.0,5.0,3.8961033999803476,0.0009481500019319355,8.698623870935188e-06,2.1876147820041815e-06
LAGO_PJM,A_DA,PatchTST,7,S1_DailyPatch_GRU32,3.0616532662791767,10.475163830478426,2.827788579711377,19.174824486506587,-1.392239281082305,0.07424937933683395,0.44954128440366975,1.302846012362227,0.034351932787109546,14104.0,5.0,16.447380400029942,0.000652700022328645,5.988073599345367e-06,0.0
LAGO_PJM,A_DA,PatchTST,7,HRSI_HostRelativeStateInteraction,3.098112231176827,10.367098054119625,2.868806684711755,19.3693136346355,-2.599644487138079,0.08674987405538559,0.44036697247706424,1.6475487528962802,0.03546915368189528,14109.0,5.0,3.8961033999803476,0.0008547500183340162,7.841743287468038e-06,1.8536696881226716e-06
LAGO_PJM,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,3.112615767119781,8.12538783564643,2.95448415612525,18.883762001117976,3.36959428097241,0.3933037519454956,0.22935779816513763,2.7183292878009966,0.13303178487555378,14104.0,5.0,16.70576199993957,0.0006647999980486929,6.0990825509054395e-06,0.0
LAGO_PJM,A_DA,TimeMixer,7,HRSI_HostRelativeStateInteraction,3.1507920171040347,8.078228663751094,2.9953523752539697,19.151022818070704,2.18442180842434,0.3907081186771393,0.22935779816513763,3.045187779998797,0.13925320811658698,14109.0,5.0,3.8961033999803476,0.0008687999797984958,7.97064201649996e-06,1.8715594655945214e-06
GANSU_DA,A_DA,PatchTST,7,Host,72.05342864990234,102.734130859375,68.82388305664062,8323.4677734375,0.0,,,,,,,,,,
GANSU_DA,A_DA,TimeMixer,7,Host,75.8519515991211,157.5843505859375,67.24855041503906,8859.599609375,0.0,,,,,,,,,,
LAGO_DE,A_DA,PatchTST,7,Host,4.7565226554870605,7.4154953956604,4.3458251953125,40.92784118652344,0.0,,,,,,,,,,
LAGO_DE,A_DA,TimeMixer,7,Host,4.70658016204834,7.1415534019470215,4.330480575561523,40.77216339111328,0.0,,,,,,,,,,
