market,host,method,tertile,frozen_threshold_low,frozen_threshold_high,n_days,shape_cosine,wrong_hemisphere_rate,relative_gain_pct,Tail_MAE,Normal_MAE,HRSI_minus_S1_shape_cosine,HRSI_minus_S1_wrong_hemisphere_rate,HRSI_minus_S1_relative_gain_pct,HRSI_minus_S1_Tail_MAE,HRSI_minus_S1_Normal_MAE
GANSU_DA,PatchTST,HRSI_HostRelativeStateInteraction,HIGH,14.738275837523265,19.15910205588972,8.0,0.2611176371574402,0.25,4.966762962464912,97.78792712809712,67.23758946953097,-0.01087886095046997,0.0,-0.39307621320839115,4.702297006941322,1.2696980997358764
GANSU_DA,PatchTST,HRSI_HostRelativeStateInteraction,LOW,14.738275837523265,19.15910205588972,6.0,0.3167121112346649,0.0,5.533491519312762,65.44404645286129,74.74624865108271,-0.01746395230293274,0.0,-0.12339440557764725,0.44772898155824237,-0.05421779252206704
GANSU_DA,PatchTST,HRSI_HostRelativeStateInteraction,MID,14.738275837523265,19.15910205588972,7.0,0.15545512735843658,0.4,-1.1813984653827894,60.49623981619258,67.81325909333346,0.039657317101955414,-0.028571428571428525,0.8750921207549895,-9.452469719218108,2.125424869918632
GANSU_DA,PatchTST,S1_DailyPatch_GRU32,HIGH,14.738275837523265,19.15910205588972,8.0,0.27199649810791016,0.25,5.3598391756733035,93.0856301211558,65.9678913697951,,,,,
GANSU_DA,PatchTST,S1_DailyPatch_GRU32,LOW,14.738275837523265,19.15910205588972,6.0,0.33417606353759766,0.0,5.6568859248904095,64.99631747130304,74.80046644360478,,,,,
GANSU_DA,PatchTST,S1_DailyPatch_GRU32,MID,14.738275837523265,19.15910205588972,7.0,0.11579781025648117,0.42857142857142855,-2.056490586137779,69.94870953541069,65.68783422341482,,,,,
GANSU_DA,TimeMixer,HRSI_HostRelativeStateInteraction,HIGH,15.197971762922895,18.80906967368669,11.0,0.2753549814224243,0.2727272727272727,4.697586075994449,137.83397150331174,63.879371489921795,-0.02405199408531189,0.0,-0.2582108501312108,2.3482558706639907,-0.30156565944092506
GANSU_DA,TimeMixer,HRSI_HostRelativeStateInteraction,LOW,15.197971762922895,18.80906967368669,6.0,0.47953614592552185,0.0,13.78775381685133,111.9835448179892,68.44629123223125,-0.024142473936080933,0.0,1.2972236854655819,-8.402306919785488,-0.07186554213917873
GANSU_DA,TimeMixer,HRSI_HostRelativeStateInteraction,MID,15.197971762922895,18.80906967368669,4.0,0.28921008110046387,0.0,-0.6237987121205687,146.8684250934346,65.37738509035619,0.003681272268295288,0.0,-2.3629535118127767,16.416914004052643,3.366979254071765
GANSU_DA,TimeMixer,S1_DailyPatch_GRU32,HIGH,15.197971762922895,18.80906967368669,11.0,0.2994069755077362,0.2727272727272727,4.95579692612566,135.48571563264775,64.18093714936272,,,,,
