market,host,hour,fit_availability_rate,eval_availability_rate,fit_mean_bias,eval_mean_bias,fit_mean_bhat,eval_mean_bhat
LAGO_DE,PatchTST,0,1.0,1.0,0.13911831378936768,-0.06371316313743591,0.053475089371204376,-0.0372188538312912
LAGO_DE,PatchTST,1,1.0,1.0,0.09786653518676758,-0.09329559653997421,0.031937725841999054,-0.041803643107414246
LAGO_DE,PatchTST,2,1.0,1.0,0.3120655417442322,0.23968295753002167,0.1187615692615509,0.10716112703084946
LAGO_DE,PatchTST,3,1.0,1.0,0.251388818025589,0.05435524135828018,0.09676278382539749,0.017230238765478134
LAGO_DE,PatchTST,4,1.0,1.0,0.3007267117500305,0.11134769022464752,0.11055935174226761,0.04480082914233208
LAGO_DE,PatchTST,5,1.0,1.0,0.2620692551136017,0.06306229531764984,0.09616036713123322,0.02807522751390934
LAGO_DE,PatchTST,6,1.0,1.0,0.3979937434196472,0.182470440864563,0.14378789067268372,0.09482203423976898
LAGO_DE,PatchTST,7,1.0,1.0,0.25446629524230957,0.1217646673321724,0.08501309156417847,0.07378573715686798
LAGO_DE,PatchTST,8,1.0,1.0,0.1391158252954483,0.178116112947464,0.03501489758491516,0.0891033262014389
LAGO_DE,PatchTST,9,1.0,1.0,-0.21369381248950958,-0.03135360777378082,-0.0933803915977478,-0.006414130795747042
LAGO_DE,PatchTST,10,1.0,1.0,-0.11356771737337112,-0.03299560025334358,-0.04751309007406235,-0.009978288784623146
LAGO_DE,PatchTST,11,1.0,1.0,-0.22313538193702698,-0.014823266305029392,-0.08494832366704941,-0.006420942489057779
LAGO_DE,PatchTST,12,1.0,1.0,-0.5295199751853943,-0.30789682269096375,-0.20891867578029633,-0.12813425064086914
LAGO_DE,PatchTST,13,1.0,1.0,-0.4912717044353485,-0.3334001302719116,-0.19166739284992218,-0.13460737466812134
LAGO_DE,PatchTST,14,1.0,1.0,-0.16722695529460907,-0.1785612404346466,-0.05899441987276077,-0.06410989165306091
LAGO_DE,PatchTST,15,1.0,1.0,-0.1262119859457016,-0.25837063789367676,-0.04777353256940842,-0.10288263857364655
LAGO_DE,PatchTST,16,1.0,1.0,0.0297516118735075,-0.047239623963832855,0.00575770391151309,-0.01119870226830244
LAGO_DE,PatchTST,17,1.0,1.0,0.20257307589054108,-0.019959162920713425,0.07477635145187378,-0.005920052994042635
LAGO_DE,PatchTST,18,1.0,1.0,0.21788275241851807,0.09199565649032593,0.07559292763471603,0.0471472293138504
LAGO_DE,PatchTST,19,1.0,1.0,0.09720341861248016,0.16300855576992035,0.02728426083922386,0.06902404874563217
LAGO_DE,PatchTST,20,1.0,1.0,0.18218104541301727,0.1835932582616806,0.06403439491987228,0.08222057670354843
