market,host,method,Overall_MAE,Tail_MAE,Normal_MAE,MSE,relative_gain_pct,shape_cosine,wrong_hemisphere_rate,alpha,oof_calibrated_utility,parameter_count,incremental_parameter_count,training_seconds,inference_seconds,inference_seconds_per_day,inference_overhead_seconds_per_day
GANSU_DA,PatchTST,HRSI_HostRelativeStateInteraction,70.325647735747,81.70000980292352,69.29362101738036,8004.697026529597,2.3979163053439065,0.22748397290706635,0.23809523809523808,1.788726529082508,0.04350602620087303,18717.0,5.0,3.9979216000065207,0.0005043500277679414,2.4016667988949587e-05,7.507143198468146e-06
GANSU_DA,PatchTST,Host,72.05342864990234,102.734130859375,68.82388305664062,8323.4677734375,0.0,,,,,,,,,,
GANSU_DA,PatchTST,S1_DailyPatch_GRU32,70.4341541722147,79.07448175643505,69.0473522967196,8005.2214164361085,2.2473246700798524,0.22724208235740662,0.2857142857142857,1.7094198107261478,0.03368276734922216,18712.0,5.0,10.119593199924566,0.000354000017978251,1.6857143713250045e-05,0.0
GANSU_DA,TimeMixer,HRSI_HostRelativeStateInteraction,70.96954601683672,127.29460957462207,64.30312233316054,7827.605484717169,6.436756707445021,0.3209477365016937,0.19047619047619047,1.9130655139999768,0.052898524875715905,18717.0,5.0,3.9979216000065207,0.0004910499847028404,2.3383332604897166e-05,7.009523133525536e-06
GANSU_DA,TimeMixer,Host,75.8519515991211,157.5843505859375,67.24855041503906,8859.599609375,0.0,,,,,,,,,,
GANSU_DA,TimeMixer,S1_DailyPatch_GRU32,70.74957722012466,129.26719515101644,64.58982796424131,7730.546412053176,6.726754251443086,0.3314637839794159,0.19047619047619047,2.026945814895266,0.04544869275996987,18712.0,5.0,10.374290300009307,0.0003396999672986567,1.6176188918983653e-05,0.0
LAGO_DE,PatchTST,HRSI_HostRelativeStateInteraction,4.274919330195438,6.7201803412479695,3.904793200358454,34.69116625289732,10.12511366336186,0.4290541112422943,0.13761467889908258,2.404555551943221,0.08415001561488457,14877.0,5.0,3.9979216000065207,0.0010058499756269157,9.227981427769868e-06,2.192660424977951e-06
LAGO_DE,PatchTST,Host,4.7565226554870605,7.4154953956604,4.3458251953125,40.92784118652344,0.0,,,,,,,,,,
LAGO_DE,PatchTST,S1_DailyPatch_GRU32,4.245660116226809,6.581716850214815,3.8896108638617375,34.225960616837355,10.740252412567147,0.4506481885910034,0.10091743119266056,2.4004894299838386,0.08845413465084966,14872.0,5.0,16.015533499943558,0.0007702999864704907,7.066972352940282e-06,0.0
LAGO_DE,TimeMixer,HRSI_HostRelativeStateInteraction,4.33503783289051,6.57462122937886,3.9891180673252307,35.38880237021679,7.894103921861848,0.42017221450805664,0.1743119266055046,2.355391263359893,0.07350696157886646,14877.0,5.0,3.9979216000065207,0.0009481500019319355,8.698623870935188e-06,2.1876147820041815e-06
LAGO_DE,TimeMixer,Host,4.70658016204834,7.1415534019470215,4.330480575561523,40.77216339111328,0.0,,,,,,,,,,
LAGO_DE,TimeMixer,S1_DailyPatch_GRU32,4.3082407367489,6.558008405311133,3.960747937103365,35.0767234561306,8.463457788554477,0.4388386011123657,0.14678899082568808,2.2292709596930154,0.07949817036842358,14872.0,5.0,16.056601000076625,0.0007096999906934798,6.511009088931007e-06,0.0
LAGO_PJM,PatchTST,HRSI_HostRelativeStateInteraction,3.0493352470906268,10.628763659437084,2.8102365590039877,18.845423116997463,-0.9843055797744932,0.13079765439033508,0.42201834862385323,1.2023691404806471,0.02001305240451691,14109.0,5.0,3.9979216000065207,0.0008611000084783882,7.900000077783378e-06,1.8536696881226716e-06
LAGO_PJM,PatchTST,Host,3.019613027572632,10.558648109436035,2.7817885875701904,19.001419067382812,0.0,,,,,,,,,,
LAGO_PJM,PatchTST,S1_DailyPatch_GRU32,3.045757513709513,10.661645669876595,2.8055086759755357,18.867664704885065,-0.8658224049953201,0.1238112598657608,0.43119266055045874,1.1385257750844227,0.02021257197648822,14104.0,5.0,16.447380400029942,0.000652700022328645,5.988073599345367e-06,0.0
LAGO_PJM,TimeMixer,HRSI_HostRelativeStateInteraction,3.0673644545060217,8.190438434841397,2.905753287933928,18.02110238193639,4.774410366329546,0.4213830828666687,0.1559633027522936,2.527462600349187,0.10155704356790028,14109.0,5.0,3.9979216000065207,0.0008579499553889036,7.871100508155079e-06,1.8715594655945214e-06
LAGO_PJM,TimeMixer,Host,3.2211556434631348,9.623579978942871,3.019186496734619,20.96799087524414,0.0,,,,,,,,,,
LAGO_PJM,TimeMixer,S1_DailyPatch_GRU32,3.061235350998428,8.174372969414806,2.899937634329142,18.006846171814047,4.9646869063667145,0.4221581518650055,0.1559633027522936,2.4309686171566685,0.09762303346199643,14104.0,5.0,16.562660299998242,0.000635799951851368,5.833027081205211e-06,0.0
