Timestamp,Centre-North,Centre-South,North,SACOAC,SACODC,Sardinia,Sicily,South
2023-01-01 00:00:00,195.9,195.9,195.9,195.9,195.9,195.9,195.9,195.9
2023-01-01 01:00:00,191.09,191.09,191.09,191.09,191.09,191.09,191.09,191.09
2023-01-01 02:00:00,187.95,187.95,187.95,187.95,187.95,187.95,187.95,187.95
2023-01-01 03:00:00,187.82,187.82,187.82,187.82,187.82,187.82,187.82,187.82
2023-01-01 04:00:00,187.74,187.74,187.74,187.74,187.74,187.74,187.74,187.74
2023-01-01 05:00:00,187.74,187.74,187.74,187.74,187.74,187.74,187.74,187.74
2023-01-01 06:00:00,187.22,187.22,187.22,187.22,187.22,187.22,187.22,187.22
2023-01-01 07:00:00,187.82,187.82,187.82,187.82,187.82,187.82,187.82,187.82
2023-01-01 08:00:00,186.47,186.47,186.47,186.47,186.47,186.47,186.47,186.47
2023-01-01 09:00:00,186.47,186.47,186.47,186.47,186.47,186.47,186.47,186.47
2023-01-01 10:00:00,177.25,177.25,177.25,177.25,177.25,177.25,177.25,177.25
2023-01-01 11:00:00,168.5,168.5,168.5,168.5,168.5,168.5,168.5,168.5
2023-01-01 12:00:00,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0
2023-01-01 13:00:00,165.89,165.89,165.89,165.89,165.89,165.89,165.89,165.89
2023-01-01 14:00:00,179.73,179.73,179.73,179.73,179.73,179.73,179.73,179.73
2023-01-01 15:00:00,188.06,188.06,188.06,188.06,188.06,188.06,188.06,188.06
2023-01-01 16:00:00,193.67,193.67,193.67,193.67,193.67,193.67,193.67,193.67
2023-01-01 17:00:00,213.36,213.36,213.36,213.36,213.36,213.36,213.36,213.36
2023-01-01 18:00:00,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99
2023-01-01 19:00:00,243.42,243.42,243.42,243.42,243.42,243.42,243.42,243.42
2023-01-01 20:00:00,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0
2023-01-01 21:00:00,203.25,203.25,203.25,203.25,203.25,203.25,203.25,203.25
2023-01-01 22:00:00,190.85,190.85,190.85,190.85,190.85,190.85,190.85,190.85
2023-01-01 23:00:00,187.28,187.28,187.28,187.28,187.28,187.28,187.28,187.28
2023-01-02 00:00:00,187.27,187.27,187.27,187.27,187.27,187.27,187.27,187.27
2023-01-02 01:00:00,187.2,187.2,187.2,187.2,187.2,187.2,187.2,187.2
2023-01-02 02:00:00,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
2023-01-02 03:00:00,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
2023-01-02 04:00:00,185.89,185.89,185.89,185.89,185.89,185.89,185.89,185.89
2023-01-02 05:00:00,185.89,185.89,185.89,185.89,185.89,185.89,185.89,185.89
