Timestamp,Centre-North,Centre-South,North,SACOAC,SACODC,Sardinia,Sicily,South
2018-01-01 00:00:00,45.73,45.73,45.73,45.73,45.73,45.73,46.99,45.73
2018-01-01 01:00:00,44.16,44.16,44.16,44.16,44.16,44.16,44.16,44.16
2018-01-01 02:00:00,42.24,42.24,42.24,42.24,42.24,42.24,42.24,42.24
2018-01-01 03:00:00,39.29,39.29,39.29,39.29,39.29,39.29,39.29,39.29
2018-01-01 04:00:00,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
2018-01-01 05:00:00,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99
2018-01-01 06:00:00,42.25,42.25,42.25,42.25,42.25,42.25,42.25,42.25
2018-01-01 07:00:00,44.97,44.97,44.97,44.97,44.97,44.97,44.97,44.97
2018-01-01 08:00:00,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
2018-01-01 09:00:00,44.94,44.94,44.94,44.94,44.94,44.94,44.94,44.94
2018-01-01 10:00:00,45.04,45.0,45.04,45.0,45.04,45.0,45.0,45.0
2018-01-01 11:00:00,46.67,44.16,46.67,44.16,46.67,44.16,44.16,44.16
2018-01-01 12:00:00,46.99,46.99,46.99,39.3,46.99,39.3,46.99,46.99
2018-01-01 13:00:00,44.16,44.16,44.16,39.29,44.16,39.29,44.16,44.16
2018-01-01 14:00:00,45.26,45.01,45.26,39.29,45.26,39.29,45.01,45.01
2018-01-01 15:00:00,47.84,47.84,47.84,39.3,47.84,39.3,47.84,47.84
2018-01-01 16:00:00,49.7,49.7,50.1,49.7,49.7,49.7,49.7,49.7
2018-01-01 17:00:00,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3
2018-01-01 18:00:00,51.91,51.91,51.91,51.91,51.91,51.91,51.91,51.91
2018-01-01 19:00:00,51.38,51.38,51.38,51.38,51.38,51.38,51.38,51.38
2018-01-01 20:00:00,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2
2018-01-01 21:00:00,45.73,45.73,45.73,45.73,45.73,45.73,45.73,45.73
2018-01-01 22:00:00,44.84,44.84,44.84,44.84,44.84,44.84,44.84,44.84
2018-01-01 23:00:00,38.11,38.11,38.11,38.11,38.11,38.11,38.11,38.11
2018-01-02 00:00:00,19.19,19.19,19.19,19.19,19.19,19.19,19.19,19.19
2018-01-02 01:00:00,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99
