Timestamp,Centre-North,Centre-South,North,SACOAC,SACODC,Sardinia,Sicily,South
2020-01-01 00:00:00,41.88,41.88,41.88,41.88,41.88,41.88,41.88,41.88
2020-01-01 01:00:00,38.6,38.7,38.6,38.7,38.7,38.7,38.7,38.7
2020-01-01 02:00:00,36.55,36.55,36.55,36.55,36.55,36.55,36.55,36.55
2020-01-01 03:00:00,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32
2020-01-01 04:00:00,30.85,30.85,30.85,30.85,30.85,30.85,30.85,30.85
2020-01-01 05:00:00,30.14,30.14,30.14,30.14,30.14,30.14,30.14,30.14
2020-01-01 06:00:00,30.17,30.17,30.17,30.17,30.17,30.17,30.17,30.17
2020-01-01 07:00:00,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
2020-01-01 08:00:00,30.65,30.65,30.65,30.65,30.65,30.65,30.65,30.65
2020-01-01 09:00:00,30.65,30.65,30.65,30.65,30.65,30.65,30.65,30.65
2020-01-01 10:00:00,30.27,30.27,30.27,30.27,30.27,30.27,30.27,30.27
2020-01-01 11:00:00,30.34,30.34,30.34,30.34,30.34,30.34,30.34,30.34
2020-01-01 12:00:00,30.99,30.99,30.99,30.99,30.99,30.99,30.99,30.99
2020-01-01 13:00:00,30.04,30.04,30.04,30.04,30.04,30.04,30.04,30.04
2020-01-01 14:00:00,30.75,30.75,30.75,30.75,30.75,30.75,30.75,30.75
2020-01-01 15:00:00,32.11,32.11,32.11,32.11,32.11,32.11,32.11,32.11
2020-01-01 16:00:00,35.98,35.98,35.98,35.98,35.98,35.98,35.98,35.98
2020-01-01 17:00:00,42.7,42.7,42.7,42.7,42.7,42.7,44.01,42.7
2020-01-01 18:00:00,44.45,44.45,44.45,44.45,44.45,44.45,61.5,44.45
2020-01-01 19:00:00,47.38,47.38,47.38,47.38,47.38,47.38,65.01,47.38
2020-01-01 20:00:00,47.38,47.38,47.38,47.38,47.38,47.38,69.01,47.38
2020-01-01 21:00:00,42.7,42.7,42.08,42.7,42.7,42.7,55.03,42.7
2020-01-01 22:00:00,40.66,40.66,40.66,40.66,40.66,40.66,40.66,40.66
2020-01-01 23:00:00,36.69,36.69,36.69,36.69,36.69,36.69,36.69,36.69
2020-01-02 00:00:00,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4
2020-01-02 01:00:00,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98
2020-01-02 02:00:00,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5
2020-01-02 03:00:00,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.79
2020-01-02 04:00:00,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95
2020-01-02 05:00:00,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
2020-01-02 06:00:00,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
2020-01-02 07:00:00,48.21,48.21,48.21,48.21,48.21,48.21,52.81,48.21
2020-01-02 08:00:00,48.21,48.21,48.21,48.21,48.21,48.21,55.94,48.21
2020-01-02 09:00:00,48.21,48.21,48.21,48.21,48.21,48.21,54.94,48.21
2020-01-02 10:00:00,45.57,45.57,45.57,45.57,45.57,45.57,45.57,45.57
2020-01-02 11:00:00,45.71,45.71,45.71,45.71,45.71,45.71,45.71,45.71
2020-01-02 12:00:00,45.16,45.16,45.16,45.16,45.16,45.16,45.16,45.16
2020-01-02 13:00:00,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9
2020-01-02 14:00:00,47.08,47.08,47.08,47.08,47.08,47.08,47.08,47.08
2020-01-02 15:00:00,48.46,52.94,48.46,52.94,52.94,52.94,52.94,52.94
