Timestamp,Centre-North,Centre-South,North,SACOAC,SACODC,Sardinia,Sicily,South
2015-01-05 00:00:00,47.72,47.72,47.72,47.72,47.72,47.72,47.72,47.72
2015-01-05 01:00:00,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1
2015-01-05 02:00:00,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21
2015-01-05 03:00:00,32.43,32.43,32.43,32.43,32.43,32.43,32.43,32.43
2015-01-05 04:00:00,33.15,33.15,33.15,33.15,33.15,33.15,33.15,33.15
2015-01-05 05:00:00,38.85,38.85,38.85,38.85,38.85,38.85,38.85,38.85
2015-01-05 06:00:00,48.89,48.89,48.89,48.89,48.89,48.89,48.89,48.89
2015-01-05 07:00:00,60.03,60.03,60.03,60.03,60.03,60.03,65.3,60.03
2015-01-05 08:00:00,63.98,63.98,63.98,63.98,63.98,63.98,65.3,63.98
2015-01-05 09:00:00,64.5,64.5,64.5,64.5,64.5,64.5,65.3,64.5
2015-01-05 10:00:00,55.49,55.49,55.49,55.49,55.49,55.49,65.3,55.49
2015-01-05 11:00:00,53.5,53.5,53.5,53.5,53.5,53.5,65.3,53.5
2015-01-05 12:00:00,51.0,51.0,51.0,51.0,51.0,51.0,65.3,51.0
2015-01-05 13:00:00,50.39,50.39,50.39,50.39,50.39,50.39,65.3,50.39
2015-01-05 14:00:00,54.45,54.45,54.45,54.45,54.45,54.45,65.3,54.45
2015-01-05 15:00:00,64.0,64.0,64.0,64.0,64.0,64.0,65.48,64.0
2015-01-05 16:00:00,64.25,64.25,64.25,64.25,64.25,64.25,65.48,64.25
2015-01-05 17:00:00,68.64,68.64,68.64,68.64,68.64,68.64,67.36,68.64
2015-01-05 18:00:00,67.0,67.0,67.0,67.0,67.0,67.0,67.36,67.0
2015-01-05 19:00:00,65.26,65.26,61.5,65.26,65.26,65.26,67.36,65.26
2015-01-05 20:00:00,64.0,64.0,55.95,64.0,64.0,64.0,67.36,64.0
2015-01-05 21:00:00,58.0,58.0,50.26,58.0,58.0,58.0,67.36,58.0
2015-01-05 22:00:00,52.1,52.1,50.53,52.1,52.1,52.1,65.48,52.1
2015-01-05 23:00:00,51.0,51.0,51.0,51.0,51.0,51.0,65.3,51.0
2015-01-06 00:00:00,49.78,49.78,49.78,49.78,49.78,49.78,65.3,49.78
2015-01-06 01:00:00,45.21,45.21,45.21,45.21,45.21,45.21,45.21,45.21
2015-01-06 02:00:00,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8
2015-01-06 03:00:00,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
2015-01-06 04:00:00,33.43,33.43,33.43,33.43,33.43,33.43,33.43,33.43
2015-01-06 05:00:00,37.58,37.58,37.58,37.58,37.58,37.58,37.58,37.58
2015-01-06 06:00:00,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5
2015-01-06 07:00:00,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
2015-01-06 08:00:00,52.0,52.0,52.0,52.0,52.0,52.0,64.99,52.0
2015-01-06 09:00:00,51.04,51.04,51.04,51.04,51.04,51.04,65.15,51.04
2015-01-06 10:00:00,50.28,50.28,50.28,50.28,50.28,50.28,54.99,50.28
2015-01-06 11:00:00,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1
2015-01-06 12:00:00,47.97,47.97,47.97,47.97,47.97,47.97,47.97,47.97
2015-01-06 13:00:00,45.11,45.11,45.11,45.11,45.11,45.11,45.11,45.11
2015-01-06 14:00:00,45.44,45.44,45.44,45.44,45.44,45.44,64.99,45.44
2015-01-06 15:00:00,52.49,52.49,52.49,52.49,52.49,52.49,65.3,52.49
2015-01-06 16:00:00,57.89,57.89,57.89,57.89,57.89,57.89,65.3,57.89
2015-01-06 17:00:00,64.0,64.0,63.98,64.0,64.0,64.0,67.36,64.0
2015-01-06 18:00:00,65.85,65.85,61.1,65.85,65.85,65.85,67.36,65.85
2015-01-06 19:00:00,67.1,67.1,59.17,67.1,67.1,67.1,67.36,67.1
2015-01-06 20:00:00,67.0,67.0,55.0,67.0,67.0,67.0,67.36,67.0
2015-01-06 21:00:00,65.0,65.0,50.0,65.0,65.0,65.0,67.36,65.0
2015-01-06 22:00:00,60.68,60.68,50.27,60.68,60.68,60.68,67.36,60.68
