dataset,backbone,method,mae,tail_rmse,neg_miss,mae_neg,mae_normal,gain_vs_base,gain_vs_ref,n_touched,touch_rate,worst_harm,harm_rate,dm_p_vs_base,dm_p_vs_ref,dm_p_bech_beats
NEM_SA1,Linear,base,83.87087241639173,1597.154953188413,0.6371681415929203,81.00061276760263,59.68306518359107,0.0,0.0,0,0.0,,,,,6.999290036446837e-10
NEM_SA1,Linear,M0 retrain-on-S1+S2,82.9899119842454,1596.0211673346457,0.6456329357445171,81.42939465669943,58.19401468777988,1.0503770936978631,1.0503770936978631,8728,1.0,92.96504879925652,0.4649404216315307,0.007883610560571741,0.007883610560571741,0.014912169031686573
NEM_SA1,Linear,M1 delta-global-L2,94.78942158594514,1647.8849455049112,0.6317814544055406,75.82783061282082,76.77976877785274,-13.018284959939773,-13.018284959939773,8728,1.0,1295.3840442127184,0.5160403299725023,0.9999999590916401,0.9999999590916401,4.8428150378754253e-11
NEM_SA1,Linear,M2 delta-global-L1,75.33660355674472,1610.0672671382347,0.5421315890727203,57.87446949982938,56.58906813218699,10.1754859747698,10.1754859747698,8728,1.0,333.5083826610844,0.40799725022914757,7.97387045281539e-09,7.97387045281539e-09,0.9999987683428357
NEM_SA1,Linear,M3 delta-global-L1+shrink,75.83746339758456,1605.3670231328317,0.577914582531743,62.94284908920892,55.32911022461122,9.578306255029638,9.578306255029638,8728,1.0,250.13128699581375,0.38817598533455544,5.388023360808347e-12,5.388023360808347e-12,0.9999999911490882
NEM_SA1,Linear,M4 quantile-postproc,72.65270779272592,1604.5990909847537,0.5571373605232782,56.84385435686936,53.10219728134876,13.375519176635313,13.375519176635313,8728,1.0,569.7304505442573,0.40444546287809346,1.6194410257241998e-09,1.6194410257241998e-09,0.999999866672336
NEM_SA1,Linear,M5 EVT-tail-rescale,82.67565715306262,1597.0936933589896,0.6660253943824548,78.43152650979569,59.06529887324289,1.4250659721235053,1.4250659721235053,1186,0.13588450962419799,41.094708269992125,0.3600337268128162,6.956213383091381e-12,6.956213383091381e-12,0.01812748535254516
NEM_SA1,Linear,M6 selective-no-cert,83.5364829063803,1597.3603493014073,0.42631781454405543,69.86133668997336,63.966123242554325,0.39869563816064546,0.39869563816064546,2006,0.22983501374885426,225.85433633323024,0.4661016949152542,0.2593470896837331,0.2593470896837331,4.01482180834023e-10
NEM_SA1,Linear,M7 BECH v1,81.91247424510588,1597.0005975357767,0.4890342439399769,70.95002600765852,61.168516935830596,2.3350158581432625,2.3350158581432625,2006,0.22983501374885426,124.21988498327664,0.3793619142572283,6.999290036446837e-10,6.999290036446837e-10,
NEM_SA1,Linear,M8 delta-global-L1 -> BECH,75.33660355674472,1610.0672671382347,0.5421315890727203,57.87446949982938,56.58906813218699,10.1754859747698,0.0,0,0.0,,,7.97387045281539e-09,,0.9999987683428357
NEM_SA1,Linear,M9 retrain-on-S1+S2 -> BECH,80.99931918256982,1595.8566122330215,0.5225086571758368,71.51411627748188,59.57111443872105,3.4237789009342614,2.398596111360456,2089,0.23934463794683777,89.16219965963332,0.38439444710387743,2.1277046791112753e-10,9.822631596989595e-11,0.9916327443707664
NEM_SA1,GBDT,base,113.60462953845368,1744.3506273205096,0.6814159292035398,101.50571066172263,95.43029713559199,0.0,0.0,0,0.0,,,,,1.2454481890245006e-12
NEM_SA1,GBDT,M0 retrain-on-S1+S2,95.52594443361004,1607.7198721075542,0.6244709503655252,77.23125817927527,78.66596953419487,15.913686949460317,15.913686949460317,8728,1.0,1140.908319780112,0.490032080659945,0.0013714769432323637,0.0013714769432323637,0.9939165248048341
NEM_SA1,GBDT,M1 delta-global-L2,127.52772137945199,1832.4953092928727,0.6263947672181608,102.77399484150853,114.18511148254832,-12.255743359724198,-12.255743359724198,8728,1.0,2440.490992891403,0.4934692942254812,0.9989682732542857,0.9989682732542857,4.324338138950168e-05
NEM_SA1,GBDT,M2 delta-global-L1,79.94245498641817,1615.8603199227948,0.5317429780684879,63.309603085026495,61.49524956864023,29.630988357425437,29.630988357425437,8728,1.0,948.9156474239287,0.39424839596700273,5.691785931460913e-10,5.691785931460913e-10,0.999999994411905
NEM_SA1,GBDT,M3 delta-global-L1+shrink,79.94245498641817,1615.8603199227948,0.5317429780684879,63.309603085026495,61.49524956864023,29.630988357425437,29.630988357425437,8728,1.0,948.9156474239287,0.39424839596700273,5.691785931460913e-10,5.691785931460913e-10,0.999999994411905
NEM_SA1,GBDT,M4 quantile-postproc,71.90774653902987,1606.194666050021,0.5063485956136976,51.19816021611795,54.36757396595187,36.70350686308075,36.70350686308075,8728,1.0,2754.3926272734243,0.40730980751604035,1.5402971964562084e-07,1.5402971964562084e-07,0.9999993247625811
NEM_SA1,GBDT,M5 EVT-tail-rescale,87.72772846667588,1618.0327243530678,0.6814159292035398,77.58438873978912,66.00110538170728,22.778033938325375,22.778033938325375,1377,0.15776810265811184,2917.8107101938804,0.3355119825708061,0.0003361354303617059,0.0003361354303617059,0.9987410948277238
NEM_SA1,GBDT,M6 selective-no-cert,111.586471090998,1732.6802654647831,0.3889957676029242,84.06530828368024,99.9898757553911,1.776475532427625,1.776475532427625,2252,0.25802016498625113,1615.5318451821502,0.5501776198934281,0.011942687418527997,0.011942687418527997,0.0002969529891863054
NEM_SA1,GBDT,M7 BECH v1,110.02677803215323,1735.683741453976,0.48980377068103115,85.98745752960211,96.92823263137856,3.1493888240614276,3.1493888240614276,2251,0.25790559120073325,93.35345802567201,0.4411372723234118,1.2454481890245006e-12,1.2454481890245006e-12,
NEM_SA1,GBDT,M8 delta-global-L1 -> BECH,79.8603393882548,1615.4080331067848,0.47441323585994616,60.86421741600631,62.422997579994885,29.703270269260354,0.1027183843394858,2189,0.2508020164986251,50.85646543620612,0.5541343079031521,7.131760737522086e-10,0.2539557999522317,0.999999993359266
NEM_SA1,GBDT,M9 retrain-on-S1+S2 -> BECH,93.99047634926497,1606.7515976709242,0.4605617545209696,67.95003227807467,80.42976365677738,17.265276308611682,1.6073833066494418,2119,0.24278185151237397,221.74040499033634,0.4818310523831996,0.0007326121522026607,9.691367095387982e-06,0.9967243344829511
NEM_VIC1,Linear,base,64.28494676789816,1406.977482433111,0.6199709161415414,49.91216370329489,54.41685158575957,0.0,0.0,0,0.0,,,,,5.581677955390774e-07
NEM_VIC1,Linear,M0 retrain-on-S1+S2,63.34247828842572,1383.969715886503,0.6175472612699952,51.89818100235424,52.39463342557629,1.4660795829469118,1.4660795829469118,8728,1.0,679.7450065576404,0.5426214482126489,0.24632654955731226,0.24632654955731226,0.5494827569007665
NEM_VIC1,Linear,M1 delta-global-L2,83.64624175607783,1631.89911481234,0.5831313620940378,51.9034823601977,78.89377807386002,-30.11792956457432,-30.11792956457432,8728,1.0,2687.9096949251943,0.4688359303391384,0.9966726712912082,0.9966726712912082,0.0023357926689292485
NEM_VIC1,Linear,M2 delta-global-L1,60.845983425686235,1404.4309135305807,0.5511391177896268,41.65470203221567,52.29201902995841,5.349562401643359,5.349562401643359,8728,1.0,185.09254460300872,0.44179651695692024,3.878121956901737e-06,3.878121956901737e-06,0.9998808826820191
NEM_VIC1,Linear,M3 delta-global-L1+shrink,61.62635435098594,1404.6607341752592,0.58167716917111,44.53520885454668,52.489846533755674,4.135637580149381,4.135637580149381,8728,1.0,111.0555267618056,0.42277726856095327,8.067371659592482e-09,8.067371659592482e-09,0.9999919324351706
NEM_VIC1,Linear,M4 quantile-postproc,56.73940950640864,1388.2917724900806,0.5157537566650509,39.030028573580736,47.286238366215905,11.737642544424599,11.737642544424599,8728,1.0,973.424104501205,0.43274518790100824,0.0012003520947425628,0.0012003520947425628,0.9970366552454013
NEM_VIC1,Linear,M5 EVT-tail-rescale,63.8701100676656,1406.9391018055214,0.7033446437227339,49.84654304157488,53.89116240106855,0.6453092381492317,0.6453092381492317,1081,0.12385426214482126,24.265503404324093,0.40980573543015725,5.666960756744999e-05,5.666960756744999e-05,0.043908700136739975
NEM_VIC1,Linear,M6 selective-no-cert,66.34479084632856,1407.6955384994021,0.39214735821619,44.113937639778726,58.93269766201513,-3.2042401557358398,-3.2042401557358398,2032,0.23281393217231897,465.33266605674606,0.5969488188976378,0.9999985489199008,0.9999985489199008,0.0
NEM_VIC1,Linear,M7 BECH v1,63.514052247995664,1406.8796706811872,0.5254483761512361,45.2836682093942,54.8422239589433,1.19918357043341,1.19918357043341,2027,0.2322410632447296,52.975984596633765,0.4306857424765664,5.581677955390774e-07,5.581677955390774e-07,
NEM_VIC1,Linear,M8 delta-global-L1 -> BECH,60.845983425686235,1404.4309135305807,0.5511391177896268,41.65470203221567,52.29201902995841,5.349562401643359,0.0,0,0.0,,,3.878121956901737e-06,,0.9998808826820191
NEM_VIC1,Linear,M9 retrain-on-S1+S2 -> BECH,62.49077704985217,1383.6362767208175,0.5428986912263694,47.1513423370743,52.750452393329326,2.790963994298496,1.3445972775100188,1918,0.2197525206232814,53.40992884984141,0.4118873826903024,0.09892293872095415,1.2125292307985092e-06,0.7702742014158577
NEM_VIC1,GBDT,base,65.26392716762268,1372.0026320961742,0.637905962190984,45.20734731303524,56.957302401497834,0.0,0.0,0,0.0,,,,,0.12155653838258407
NEM_VIC1,GBDT,M0 retrain-on-S1+S2,66.23798804948808,1400.0393856564958,0.6151236063984489,51.88392419739652,56.295720737904354,-1.4924950491619022,-1.4924950491619022,8728,1.0,2959.177932957349,0.48762603116406966,0.7377242984308969,0.7377242984308969,0.21532310822354106
NEM_VIC1,GBDT,M1 delta-global-L2,71.56182617143766,1434.0641570565733,0.5777993213766359,53.95700451760657,62.35817645041038,-9.649892792445,-9.649892792445,8728,1.0,2280.1850763245884,0.5258936755270394,0.999271306564748,0.999271306564748,0.00042917562834365874
NEM_VIC1,GBDT,M2 delta-global-L1,59.09647087388226,1379.6305905654685,0.5288414929714008,39.16811779578514,50.48087306421908,9.450023253887311,9.450023253887311,8728,1.0,529.994376899951,0.4640238313473877,2.3725377218397625e-10,2.3725377218397625e-10,0.9999999997513198
NEM_VIC1,GBDT,M3 delta-global-L1+shrink,59.26286075888612,1376.6328203585745,0.5424139602520601,39.73020957771343,50.560491516778264,9.195074015885579,9.195074015885579,8728,1.0,450.4952203649591,0.4541704857928506,2.2031265700661606e-12,2.2031265700661606e-12,0.99999999999767
NEM_VIC1,GBDT,M4 quantile-postproc,56.897887964447435,1388.5431581112375,0.5075133301017936,37.07651000373631,48.105421521378666,12.818779939012964,12.818779939012964,8728,1.0,1020.9071656671931,0.45130614115490375,7.578558891552234e-10,7.578558891552234e-10,0.9999999987885013
NEM_VIC1,GBDT,M5 EVT-tail-rescale,62.81112544224084,1402.7809041249761,0.637905962190984,44.78151125223809,53.25578012860492,3.7582809245942475,3.7582809245942475,1174,0.1345096241979835,1113.7714926534045,0.596252129471891,0.0014360370896506769,0.0014360370896506769,0.9961245412326087
NEM_VIC1,GBDT,M6 selective-no-cert,68.3142244493634,1372.822823435288,0.41299079011148815,42.03525591351812,61.95986940485178,-4.673787518036392,-4.673787518036392,1924,0.22043996333638863,161.52470750939457,0.6860706860706861,0.9999999999999912,0.9999999999999912,0.0
NEM_VIC1,GBDT,M7 BECH v1,65.03108923351974,1372.033445608002,0.4963645176926806,39.853284871878294,58.31676263185323,0.35676359699429266,0.35676359699429266,1920,0.21998166819431714,64.60988300375783,0.528125,0.12155653838258407,0.12155653838258407,
NEM_VIC1,GBDT,M8 delta-global-L1 -> BECH,59.09647087388226,1379.6305905654685,0.5288414929714008,39.16811779578514,50.48087306421908,9.450023253887311,0.0,0,0.0,,,2.3725377218397625e-10,,0.9999999997513198
NEM_VIC1,GBDT,M9 retrain-on-S1+S2 -> BECH,65.7457459477753,1397.6974442548874,0.46728065923412504,46.0102758284213,57.47536591459315,-0.7382620094483857,0.7431416868293305,2087,0.23911549037580201,78.60719984921877,0.5218016291327264,0.626346301733176,0.011546100503096124,0.31449590582527764
NEM_NSW1,Linear,base,62.51199632159607,1561.0420603969703,0.5574977000919963,42.07239409961411,44.595415014931575,0.0,0.0,0,0.0,,,,,
NEM_NSW1,Linear,M0 retrain-on-S1+S2,62.45245153126595,1549.5168459036554,0.5326586936522539,44.93414555639461,44.01077872849121,0.09525338148503676,0.09525338148503676,8728,1.0,228.32663799560737,0.581576535288726,0.4752075893858503,0.4752075893858503,0.5247924106141497
NEM_NSW1,Linear,M1 delta-global-L2,94.02499109458897,2307.3653253653856,0.7276908923643054,49.51214518953164,77.83024810578553,-50.411115669499225,-50.411115669499225,8728,1.0,11335.805393531844,0.49140696608615947,0.9962306108308863,0.9962306108308863,0.003769389169113735
NEM_NSW1,Linear,M2 delta-global-L1,53.93297667075615,1560.4132618476701,0.7203311867525299,40.340770087082944,34.146267473595756,13.723797279972842,13.723797279972842,8728,1.0,796.4032114682009,0.4022685609532539,5.866418462119327e-13,5.866418462119327e-13,0.9999999999994134
NEM_NSW1,Linear,M3 delta-global-L1+shrink,54.06860611269431,1557.296657271528,0.6982520699172033,40.25608626036309,34.46587331450291,13.506831817471193,13.506831817471193,8728,1.0,676.9427297479707,0.3901237396883593,1.099120794378905e-14,1.099120794378905e-14,0.999999999999989
NEM_NSW1,Linear,M4 quantile-postproc,51.06885965113016,1543.067650131037,0.7801287948482061,41.761314851157984,30.69758051211174,18.305505093128247,18.305505093128247,8728,1.0,1036.8743392952417,0.39333180568285975,5.260676338991743e-10,5.260676338991743e-10,0.9999999994739324
NEM_NSW1,Linear,M5 EVT-tail-rescale,60.3107399801742,1539.5708010861974,0.7479300827966882,41.785181798165425,41.978456934792995,3.5213342573438258,3.5213342573438258,704,0.08065994500458296,452.8611874839793,0.41761363636363635,0.002107580838778822,0.002107580838778822,0.9978924191612212
NEM_NSW1,Linear,M6 selective-no-cert,64.68366235081773,1573.7602429329977,0.47930082796688134,42.13063732456261,47.07948618496113,-3.4739988434370432,-3.4739988434370432,644,0.07378551787351054,1411.6004258227483,0.717391304347826,0.9999378701479504,0.9999378701479504,6.21298520495639e-05
NEM_NSW1,Linear,M7 BECH v1,62.51199632159607,1561.0420603969703,0.5574977000919963,42.07239409961411,44.595415014931575,0.0,0.0,0,0.0,,,,,
NEM_NSW1,Linear,M8 delta-global-L1 -> BECH,53.93297667075615,1560.4132618476701,0.7203311867525299,40.340770087082944,34.146267473595756,13.723797279972842,0.0,0,0.0,,,5.866418462119327e-13,,0.9999999999994134
NEM_NSW1,Linear,M9 retrain-on-S1+S2 -> BECH,62.45245153126595,1549.5168459036554,0.5326586936522539,44.93414555639461,44.01077872849121,0.09525338148503676,0.0,0,0.0,,,0.4752075893858503,,0.5247924106141497
NEM_NSW1,GBDT,base,69.64677784033334,1581.8724576360726,0.9724011039558418,65.54987628533033,49.06724722718726,0.0,0.0,0,0.0,,,,,5.959832627411288e-11
NEM_NSW1,GBDT,M0 retrain-on-S1+S2,88.94293770844405,1758.555755165437,0.8518859245630175,50.976525198996846,73.54729679575613,-27.705746721474387,-27.705746721474387,8728,1.0,2840.288707652899,0.47296058661778184,0.9992801251626551,0.9992801251626551,0.00046772225594082784
