group,check,ok,detail
artifacts,hash::GANSU_DA::LSTM::NO_TCN::s37,True,"{""on_disk"": ""7C86909183AA5DC7B3AD217AC200AD031F4361793AAC2F7DF2424E498873A1B3"", ""indexed"": ""7C86909183AA5DC7B3AD217AC200AD031F4361793AAC2F7DF2424E498873A1B3""}"
artifacts,identity::GANSU_DA::LSTM::TIED_AMPLITUDE::s7,True,"{""config"": ""TIED_AMPLITUDE"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::LSTM::TIED_AMPLITUDE::s7,True,"{""on_disk"": ""F94DC427B39EC362B5939F214CF1E8FE40711E8E064B7A162400E394E01F6FB9"", ""indexed"": ""F94DC427B39EC362B5939F214CF1E8FE40711E8E064B7A162400E394E01F6FB9""}"
artifacts,identity::GANSU_DA::LSTM::TIED_AMPLITUDE::s17,True,"{""config"": ""TIED_AMPLITUDE"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::LSTM::TIED_AMPLITUDE::s17,True,"{""on_disk"": ""FD6887139A56DB46504A1A2021EC860CA771F8923540EBA006EAB8EA3C5CAAAA"", ""indexed"": ""FD6887139A56DB46504A1A2021EC860CA771F8923540EBA006EAB8EA3C5CAAAA""}"
artifacts,identity::GANSU_DA::LSTM::TIED_AMPLITUDE::s37,True,"{""config"": ""TIED_AMPLITUDE"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::LSTM::TIED_AMPLITUDE::s37,True,"{""on_disk"": ""A804E8F88CDC58B2A453A02208ACB7FDEFC74FDABE373254F8E1882A933C2D73"", ""indexed"": ""A804E8F88CDC58B2A453A02208ACB7FDEFC74FDABE373254F8E1882A933C2D73""}"
artifacts,identity::GANSU_DA::PatchTST::FULL::s7,True,"{""config"": ""FULL"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::FULL::s7,True,"{""on_disk"": ""3F3EC7BDA5FAD36D29FD766F0C7E55267C190677FD2E3FB82CFC993D90D64E3B"", ""indexed"": ""3F3EC7BDA5FAD36D29FD766F0C7E55267C190677FD2E3FB82CFC993D90D64E3B""}"
artifacts,identity::GANSU_DA::PatchTST::FULL::s17,True,"{""config"": ""FULL"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::FULL::s17,True,"{""on_disk"": ""16C4BB0D76DF3EC78608EE538DA80E5B36EF6153BD7C6B29360E1C21E31FAC76"", ""indexed"": ""16C4BB0D76DF3EC78608EE538DA80E5B36EF6153BD7C6B29360E1C21E31FAC76""}"
artifacts,identity::GANSU_DA::PatchTST::FULL::s37,True,"{""config"": ""FULL"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::FULL::s37,True,"{""on_disk"": ""724501D38B48D22CCEDA61F7F8B872EED098FFC4246ECEDD12269D21F200ABF1"", ""indexed"": ""724501D38B48D22CCEDA61F7F8B872EED098FFC4246ECEDD12269D21F200ABF1""}"
artifacts,identity::GANSU_DA::PatchTST::NO_RARE_MASS::s7,True,"{""config"": ""NO_RARE_MASS"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::NO_RARE_MASS::s7,True,"{""on_disk"": ""E2825D7AE2358B642AB07E81040795820DB67E6B9B74E1D4662498527D757CB5"", ""indexed"": ""E2825D7AE2358B642AB07E81040795820DB67E6B9B74E1D4662498527D757CB5""}"
artifacts,identity::GANSU_DA::PatchTST::NO_RARE_MASS::s17,True,"{""config"": ""NO_RARE_MASS"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::NO_RARE_MASS::s17,True,"{""on_disk"": ""6DABC94716EA8D3E8D33904CBAE7701F174CA427828AE344B1658C6D498AE09E"", ""indexed"": ""6DABC94716EA8D3E8D33904CBAE7701F174CA427828AE344B1658C6D498AE09E""}"
artifacts,identity::GANSU_DA::PatchTST::NO_RARE_MASS::s37,True,"{""config"": ""NO_RARE_MASS"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::NO_RARE_MASS::s37,True,"{""on_disk"": ""C2219329D6928233B2F6D98EEF4546835F03370FEDD44F426AF82725F103F208"", ""indexed"": ""C2219329D6928233B2F6D98EEF4546835F03370FEDD44F426AF82725F103F208""}"
artifacts,identity::GANSU_DA::PatchTST::NO_SHAPE_CONTEXT::s7,True,"{""config"": ""NO_SHAPE_CONTEXT"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::NO_SHAPE_CONTEXT::s7,True,"{""on_disk"": ""07487949F53478422F961F56DAF462F4DF6DB7CDC5888401C5C672235F3FDBE2"", ""indexed"": ""07487949F53478422F961F56DAF462F4DF6DB7CDC5888401C5C672235F3FDBE2""}"
artifacts,identity::GANSU_DA::PatchTST::NO_SHAPE_CONTEXT::s17,True,"{""config"": ""NO_SHAPE_CONTEXT"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::NO_SHAPE_CONTEXT::s17,True,"{""on_disk"": ""9557D663F0C6157EB2C91B527F2E26CA34C11B4039FD389AADCC0D626C6EBF63"", ""indexed"": ""9557D663F0C6157EB2C91B527F2E26CA34C11B4039FD389AADCC0D626C6EBF63""}"
artifacts,identity::GANSU_DA::PatchTST::NO_SHAPE_CONTEXT::s37,True,"{""config"": ""NO_SHAPE_CONTEXT"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::NO_SHAPE_CONTEXT::s37,True,"{""on_disk"": ""1AFFB6A874C9725C4FBAC7089FFE6ACC5173C38A7386DAB20506174309B2CFE1"", ""indexed"": ""1AFFB6A874C9725C4FBAC7089FFE6ACC5173C38A7386DAB20506174309B2CFE1""}"
artifacts,identity::GANSU_DA::PatchTST::NO_TCN::s7,True,"{""config"": ""NO_TCN"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
