省份,行数,日期起,日期止,RT_负价%,RT_深负(<-50)%,RT_<=0%,RT_>500%,RT_>1000%,RT_min,RT_max,RT_mean,RT_负价_09-16占比%,RT_>500_09-16占比%,RT_疑似floor(min过整),DA_负价%,DA_深负(<-50)%,DA_<=0%,DA_>500%,DA_>1000%,DA_min,DA_max,DA_mean
宁夏,4224,2025-10-01 01:00:00,2026-04-14 00:00:00,0.0,0.0,0.0,0.26,0.0,40.0,556.77,215.55,,0.0,是,0.0,0.0,0.0,0.0,0.0,40.0,496.0,203.82
甘肃,14112,2024-07-05 01:00:00,2026-04-10 00:00:00,0.0,0.0,0.0,9.779,0.0,40.0,650.0,242.79,,6.38,是,0.0,0.0,0.0,8.433,0.0,40.0,650.0,240.79
陕西,10752,2025-01-01 01:00:00,2026-03-30 00:00:00,0.0,0.0,4.594,7.626,0.0,0.0,1000.0,239.35,,13.29,是,0.0,0.0,4.381,7.106,0.0,0.0,1000.0,234.53
青海,4440,2025-09-01 01:00:00,2026-04-13 00:00:00,0.0,0.0,0.0,16.059,0.0,80.0,650.0,261.05,,5.47,是,0.0,0.0,0.0,21.239,0.0,80.0,650.0,278.86
山东(ref phase0),39768,,,13.395,11.147,,,,,,,77.08,,否(节点价含负),,,,,,,,
