market,host,method,seed,Overall_MAE,Tail_MAE,Normal_MAE,MSE,RMSE,relative_gain_vs_host_pct,Normal_harm_vs_host_pct,Tail_harm_vs_host_pct,parameter_count,training_seconds,inference_seconds,inference_seconds_per_day,backbone_parameter_count,fidelity,source,n_seeds
GANSU_DA,PatchTST,Host,-1.0,72.05342864990234,102.734130859375,68.82388305664062,8323.4677734375,91.23304101824895,0.0,0.0,0.0,6582296.0,210.46707479999168,0.8880989000026602,0.0422904238096504,,FROZEN_HOST,frozen Host cache,1
GANSU_DA,PatchTST,MatchedDirectResidual,17.0,92.71002307979572,130.43340532379736,88.97016237159669,14989.883778890662,122.43318087385732,-28.668440651535025,29.2722225189209,26.962100982666016,15000.0,0.4156747999950312,4.169996827840805e-05,1.9857127751622883e-06,,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,3
GANSU_DA,PatchTST,PIR_paper_protocol,2021.0,80.13679504394531,153.1646270751953,72.44966125488281,9738.19140625,98.6822750358442,-11.218572863921478,5.268192291259766,49.08835983276367,215050.0,18.75906189996749,0.0092775000375695,0.0004417857160747,24552.0,PAPER_FAITHFUL_EXACT_ACCEPTED,official PIR @ fc372bb :: models/PIR.py + exp/exp_long_term_forecasting_pir.py,1
GANSU_DA,PatchTST,S1_DailyPatch_GRU32,17.0,70.4341541722147,79.07448175643505,69.0473522967196,8005.2214164361085,89.4719029440869,2.2473246700798524,0.3247022628784179,-23.02998352050781,18712.0,12.514072299993131,0.0003126999945379,1.489047593037997e-05,,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),3
GANSU_DA,PatchTST,delta_Adapter_AdaY,17.0,71.57988912337962,105.60544094727508,67.99775318903394,8192.224196506451,90.51090650582644,0.6572060974691314,-1.200348138809204,2.794885635375977,289816.0,0.086094599973876,0.0002982000005431,1.420000002586416e-05,,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,3
GANSU_DA,TimeMixer,Host,-1.0,75.8519515991211,157.5843505859375,67.24855041503906,8859.599609375,94.12544613108084,0.0,0.0,0.0,178463.0,1.5263875999953598,0.0760044999769888,0.0036192619036661,,FROZEN_HOST,frozen Host cache,1
GANSU_DA,TimeMixer,MatchedDirectResidual,17.0,101.85729472763836,146.3390435103665,97.50758514475388,17991.14091576815,134.13105872902125,-34.28434282871975,44.99581909179688,-7.136053085327148,15000.0,0.4073213000083342,0.0002067000023089,9.842857252806423e-06,,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,3
GANSU_DA,TimeMixer,PIR_paper_protocol,2021.0,81.94119262695312,162.94798278808594,73.41415405273438,9999.48828125,99.99744137351716,-8.027797438902796,9.168386459350586,3.4036636352539062,368897.0,31.51886650000233,0.0157734000240452,0.0007511142868592,178399.0,PAPER_FAITHFUL_EXACT_ACCEPTED,official PIR @ fc372bb :: models/PIR.py + exp/exp_long_term_forecasting_pir.py,1
GANSU_DA,TimeMixer,S1_DailyPatch_GRU32,17.0,70.74957722012466,129.26719515101644,64.58982796424131,7730.546412053176,87.92352593051064,6.726754251443086,-3.95357608795166,-17.969518661499023,18712.0,11.643819300050382,0.0003140000044368,1.495238116365813e-05,,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),3
GANSU_DA,TimeMixer,delta_Adapter_AdaY,17.0,75.86973489263619,157.38746051104917,67.27563845068603,8866.051742041329,94.15971400785652,-0.0234447408935231,0.0402808189392089,-0.1249372959136962,1144.0,0.0131522999727167,9.809999028220771e-05,4.671428108676559e-06,,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,3
