n_days,n_blocks,block_days,observed_mean_diff,ci95_low,ci95_high,frac_replicates_negative,excludes_zero,market,host,HCH_method,HCH_seed,baseline,baseline_seed,HCH_day_MAE_mean,baseline_day_MAE_mean
21,3,7,-1.145734951164925,-4.273073602144673,3.725183843220068,0.754,False,GANSU_DA,PatchTST,S1_DailyPatch_GRU32,17,delta_Adapter_AdaY,17,70.43415417221469,71.57988912337962
21,3,7,-5.945267736144774,-6.888476812693731,-4.739677835413703,1.0,True,GANSU_DA,TimeMixer,S1_DailyPatch_GRU32,17,delta_Adapter_AdaY,17,69.9244671564914,75.86973489263616
109,16,7,-0.5213159340797675,-0.6913057116635791,-0.3594640146336908,1.0,True,LAGO_DE,PatchTST,S1_DailyPatch_GRU32,17,delta_Adapter_AdaY,17,4.195557335041293,4.716873269121061
109,16,7,-0.4086715170175007,-0.49317766941864893,-0.3179012651753995,1.0,True,LAGO_DE,TimeMixer,S1_DailyPatch_GRU32,17,delta_Adapter_AdaY,17,4.308240736748901,4.7169122537664
109,16,7,0.08290060848444375,-0.011204237862192639,0.16906428053311653,0.04,False,LAGO_PJM,PatchTST,S1_DailyPatch_GRU32,17,delta_Adapter_AdaY,17,3.013094761807137,2.930194153322694
109,16,7,-0.16370796039100471,-0.5383341338097756,0.1736417577722788,0.815,False,LAGO_PJM,TimeMixer,S1_DailyPatch_GRU32,17,PIR_paper_protocol,2021,3.061235350998429,3.2249436378479004
