dataset,tier,backbone,neg_pct_test,currency,mae_base,mae_bech,mae_gain,tail_base,tail_bech,tail_gain,rmae_base,rmae_bech,neg_n,neg_miss_base,neg_miss_bech,mae_neg_base,mae_neg_bech,mae_norm_base,mae_norm_bech,spike_n,fire,lam_neg,lam_pos,n_fired,harm_rate,gain_on_fired,worst_harm,dm_p,dm_stat,seconds
NEM_SA1,L1,Linear,29.777726856095327,AUD,83.87087241639173,81.91247424510588,2.3350158581432625,1597.154953188413,1597.0005975357767,0.009664413107075142,0.716296995393771,0.6995713469599227,2599,0.6371681415929203,0.4890342439399769,81.00061276760263,70.95002600765852,59.68306518359107,61.168516935830596,51,0.22983501374885426,0.55,0.0,2006,0.3793619142572283,8.52088695861565,124.21988498327664,6.999290036446837e-10,6.055495816453259,1.7
NEM_SA1,L1,MLP,29.777726856095327,AUD,85.74964963530515,84.50126894032452,1.455843493576955,1556.6737515056943,1556.3842890753285,0.018594932309086546,0.7323426431633645,0.7216808804421811,2599,0.5378991919969219,0.3636013851481339,64.58625895393803,55.21129235399008,70.05635168940532,72.2627528703526,51,0.240948670944088,0.75,0.0,2103,0.48074179743223966,5.181106374603396,140.26694415168777,0.00042462790747377355,3.336221137309943,12.5
NEM_SA1,L1,LSTM,29.777726856095327,AUD,73.34770675084759,72.5658003003091,1.0660271263756318,1592.3064207004313,1592.2772551388641,0.0018316550877416915,0.6264241738635756,0.6197463222440154,2599,0.672951135051943,0.5540592535590612,62.85081750474653,57.73523010545214,52.02278559376118,53.08743385806956,51,0.23602199816681943,0.3,0.0,2060,0.4330097087378641,3.312854126359135,45.72723984188991,3.646547912516951e-07,4.953391695686049,974.1
NEM_SA1,L1,Transformer,29.777726856095327,AUD,76.20762447453502,75.33137341566204,1.1498207232083224,1599.5156699382924,1599.4711220603356,0.0027850854351755524,0.6508492264894779,0.6433656272064607,2599,0.672951135051943,0.4998076183147364,67.18545552361383,60.359729420287636,54.14835158006105,55.80878970126893,51,0.24163611365719523,0.4,0.0,2109,0.44618302513039354,3.6263249131547397,74.74430312921817,7.238823531796612e-05,3.7998623692171942,59.3
NEM_SA1,L1,GBDT,29.777726856095327,AUD,113.60462953845368,110.02677803215323,3.1493888240614276,1744.3506273205096,1735.683741453976,0.4968545733174555,0.9702373715301064,0.9396808241842698,2599,0.6814159292035398,0.48980377068103115,101.50571066172263,85.98745752960211,95.43029713559199,96.92823263137856,51,0.25790559120073325,0.55,0.0,2251,0.4411372723234118,13.872717879604762,93.35345802567201,1.2454481890245006e-12,7.003804326504256,33.6
NEM_VIC1,L2,Linear,23.636571952337306,AUD,64.28494676789816,63.514052247995664,1.19918357043341,1406.977482433111,1406.8796706811872,0.006951905993161504,0.7329676419002562,0.7241780143619951,2063,0.6199709161415414,0.5254483761512361,49.91216370329489,45.2836682093942,54.41685158575957,54.8422239589433,35,0.2322410632447296,0.3,0.0,2027,0.4306857424765664,3.31937216068524,52.975984596633765,5.581677955390774e-07,4.869937488944426,8.3
NEM_VIC1,L2,MLP,23.636571952337306,AUD,71.82178783414689,70.6695059670982,1.6043625504137697,1413.2139312769925,1413.2347415985737,-0.0014725528188334336,0.8189016109155962,0.8057634601453313,2063,0.5690741638390693,0.433349491032477,50.05700261675122,42.41511092240536,64.20226637937496,65.06321757542844,35,0.21035747021081577,0.5,0.0,1836,0.42429193899782136,5.4777321000005115,137.3669848402944,2.972619228702733e-05,4.01497385610376,101.3
NEM_VIC1,L2,LSTM,23.636571952337306,AUD,56.71055390936754,56.66067525277099,0.0879530407625033,1382.66869926988,1382.8371286405518,-0.012181469846002426,0.6466055127942286,0.6460368035839882,2063,0.6107610276296656,0.4924866698982065,40.08593370310043,36.13906225847,47.02423233139481,48.18668404715621,35,0.22307516040329972,0.3,0.0,1947,0.49922958397534667,0.22359574461972226,38.81887309022627,0.3534542026827968,0.37601142092791506,611.7
NEM_VIC1,L2,Transformer,23.636571952337306,AUD,57.429574060901736,57.566711238231036,-0.23879191091313376,1389.848364994962,1389.9053949876218,-0.0041033248011965945,0.6548036763060006,0.6563672945173812,2063,0.5744062045564712,0.4595249636451769,39.23927596925312,35.82769376317476,48.10366938654875,49.345754963452194,35,0.21826306141154903,0.35,0.0,1905,0.5559055118110237,-0.6283114350289446,46.7031178847659,0.8256142793587564,-0.9369749543299819,43.2
NEM_VIC1,L2,GBDT,23.636571952337306,AUD,65.26392716762268,65.03108923351974,0.35676359699429266,1372.0026320961742,1372.033445608002,-0.0022458784777034816,0.7441298344683456,0.7414750501045886,2063,0.637905962190984,0.4963645176926806,45.20734731303524,39.853284871878294,56.957302401497834,58.31676263185323,35,0.21998166819431714,0.4,0.0,1920,0.528125,1.0584424421096315,64.60988300375783,0.12155653838258407,1.1672409528353984,5.0
NEM_NSW1,L2,Linear,12.45417048579285,AUD,62.51199632159607,62.51199632159607,0.0,1561.0420603969703,1561.0420603969703,0.0,0.743073664429633,0.743073664429633,1087,0.5574977000919963,0.5574977000919963,42.07239409961411,42.07239409961411,44.595415014931575,44.595415014931575,61,0.0,0.0,0.0,0,,,,,,9.5
NEM_NSW1,L2,MLP,12.45417048579285,AUD,64.67665621582728,64.23900451208979,0.6766764538306285,1538.2098319608542,1538.5024853129119,-0.019025580644259528,0.7688047537324801,0.7636024329880419,1087,0.8960441582336707,0.8242870285188593,52.345903400094144,48.146875189348165,46.1442421132661,46.235863060335454,61,0.06290100824931255,0.25,0.0,549,0.2659380692167577,6.957785191658715,21.407479360957993,2.80129919261185e-10,6.2012232112099115,28.7
NEM_NSW1,L2,LSTM,12.45417048579285,AUD,52.18782931641136,52.13583357734898,0.09963192518916734,1545.3276489141456,1545.3822911170528,-0.0035359622890061234,0.620351354150833,0.6197332861537554,1087,0.8040478380864765,0.7792088316467342,37.620004468209096,36.79136027236267,32.59227843933312,32.65013699830675,61,0.06095325389550871,0.1,0.0,532,0.40225563909774437,0.8530428769480952,5.224745348252,0.0014891453059143744,2.9699697641630984,1664.0
NEM_NSW1,L2,Transformer,12.45417048579285,AUD,55.54845474405993,55.467190547535814,0.14629425228576132,1545.0863322967725,1545.1253146865665,-0.002522991044523261,0.6602987626202618,0.6593327834826344,1087,0.8353265869365225,0.8012879484820608,44.26357989429349,43.267190767532085,35.52039999655692,35.56884451676842,61,0.0596929422548121,0.1,0.0,521,0.3646833013435701,1.3613702634596776,7.688665079222176,7.550071611017728e-06,4.327222461459538,27.1
