Timestamp,TH_NP15_GEN-APND,TH_SP15_GEN-APND,TH_ZP26_GEN-APND
2021-01-01 00:00:00,34.02723,33.48613,33.9093
2021-01-01 01:00:00,32.25537,31.58175,31.99377
2021-01-01 02:00:00,33.48902,32.63983,33.1474
2021-01-01 03:00:00,32.7913,31.97649,32.45014
2021-01-01 04:00:00,34.10638,33.15344,33.70388
2021-01-01 05:00:00,36.87143,35.68658,36.344
2021-01-01 06:00:00,40.34799,38.81746,39.76331
2021-01-01 07:00:00,38.24962,36.67315,37.35591
2021-01-01 08:00:00,29.23187,27.23,27.85306
2021-01-01 09:00:00,22.11242,19.9824,20.84175
2021-01-01 10:00:00,16.62852,15.0,15.72579
2021-01-01 11:00:00,14.51898,13.08674,13.74523
2021-01-01 12:00:00,12.72896,11.40016,12.145
2021-01-01 13:00:00,12.13177,10.95848,11.52757
2021-01-01 14:00:00,17.74426,16.28209,16.97431
2021-01-01 15:00:00,29.81768,28.38079,28.78538
2021-01-01 16:00:00,40.32769,39.58959,40.14136
2021-01-01 17:00:00,56.73188,54.88555,57.93826
2021-01-01 18:00:00,48.50396,47.31359,49.20554
2021-01-01 19:00:00,46.23478,45.17259,46.64707
2021-01-01 20:00:00,44.60672,43.92,44.71284
2021-01-01 21:00:00,41.64138,41.17138,41.47047
2021-01-01 22:00:00,37.6238,37.02,37.4815
2021-01-01 23:00:00,35.41539,35.03088,35.39
2021-01-02 00:00:00,33.22975,32.89599,33.16522
2021-01-02 01:00:00,31.74394,31.52367,31.65
2021-01-02 02:00:00,32.23449,32.0536,32.16871
2021-01-02 03:00:00,31.99189,31.71489,31.88109
2021-01-02 04:00:00,32.41414,32.03838,32.28229
2021-01-02 05:00:00,35.0872,34.48961,34.85954
2021-01-02 06:00:00,38.85432,38.0,38.63247
2021-01-02 07:00:00,34.95353,34.04771,34.46714
2021-01-02 08:00:00,27.62319,26.19143,26.58914
2021-01-02 09:00:00,21.10356,19.17955,20.56356
2021-01-02 10:00:00,17.89928,16.13225,17.30922
2021-01-02 11:00:00,15.40534,13.91606,14.91382
2021-01-02 12:00:00,12.74646,11.48648,12.30971
2021-01-02 13:00:00,13.60941,12.25024,13.15321
2021-01-02 14:00:00,16.50165,14.87708,15.98499
2021-01-02 15:00:00,29.18758,27.38465,28.25634
2021-01-02 16:00:00,40.62842,40.0,40.28527
2021-01-02 17:00:00,53.55663,53.40765,53.58422
2021-01-02 18:00:00,47.62137,47.06358,47.67
2021-01-02 19:00:00,44.25179,44.19705,44.22442
2021-01-02 20:00:00,43.25408,43.33437,43.28531
2021-01-02 21:00:00,40.0,39.93016,39.93837
2021-01-02 22:00:00,37.07482,36.70658,36.93056
2021-01-02 23:00:00,34.45026,34.34075,34.47146
2021-01-03 00:00:00,30.95006,30.12589,30.43808
2021-01-03 01:00:00,31.0,30.06136,30.45116
2021-01-03 02:00:00,30.80432,29.94882,30.29288
2021-01-03 03:00:00,30.7526,29.73739,30.15088
2021-01-03 04:00:00,31.18072,30.12126,30.56505
2021-01-03 05:00:00,33.72122,32.96,33.18769
2021-01-03 06:00:00,37.31307,36.39283,36.61444
2021-01-03 07:00:00,33.63591,32.51044,32.80697
2021-01-03 08:00:00,27.15885,25.64988,26.04189
2021-01-03 09:00:00,21.17001,19.0,20.48828
2021-01-03 10:00:00,16.86935,15.17598,16.38935
2021-01-03 11:00:00,15.58765,14.06919,15.1611
2021-01-03 12:00:00,15.36597,13.88363,14.95714
2021-01-03 13:00:00,14.62128,13.27085,14.25991
2021-01-03 14:00:00,18.51305,16.87,18.0578
2021-01-03 15:00:00,30.91481,29.42201,29.856
2021-01-03 16:00:00,40.73536,39.94468,40.39228
2021-01-03 17:00:00,59.00353,58.85148,59.17383
2021-01-03 18:00:00,51.42155,51.33268,51.72317
2021-01-03 19:00:00,45.60318,45.42,45.63606
2021-01-03 20:00:00,42.73591,42.71388,42.85489
2021-01-03 21:00:00,38.88063,38.7887,38.93659
2021-01-03 22:00:00,36.92743,36.52408,36.84073
2021-01-03 23:00:00,33.84049,33.76765,33.88211
2021-01-04 00:00:00,30.40472,30.18442,30.33335
2021-01-04 01:00:00,30.13916,30.01298,30.10838
2021-01-04 02:00:00,29.65389,29.56,29.64783
2021-01-04 03:00:00,29.76789,29.69187,29.78917
2021-01-04 04:00:00,31.20148,30.8555,31.09038
2021-01-04 05:00:00,36.80767,36.66051,36.85672
2021-01-04 06:00:00,47.29505,47.4847,47.93335
