Timestamp,NSW1,QLD1,SA1,TAS1,VIC1
2019-01-01 00:00:00,70.11,67.25,82.54,80.45,78.04
2019-01-01 00:30:00,66.95,63.78,75.67,75.27,71.49
2019-01-01 01:00:00,69.33,65.3,77.81,76.45,72.62
2019-01-01 01:30:00,72.8,67.87,78.27,77.77,74.28
2019-01-01 02:00:00,70.31,65.39,76.71,74.79,71.19
2019-01-01 02:30:00,66.98,62.35,74.69,71.28,67.65
2019-01-01 03:00:00,63.87,58.65,71.85,69.02,64.71
2019-01-01 03:30:00,62.2,57.68,67.46,67.34,62.24
2019-01-01 04:00:00,50.22,47.09,51.15,66.69,49.17
2019-01-01 04:30:00,53.75,50.93,52.9,81.8,51.9
2019-01-01 05:00:00,50.29,47.49,49.34,80.36,48.59
2019-01-01 05:30:00,47.59,45.13,46.53,83.17,46.2
2019-01-01 06:00:00,48.63,45.53,48.6,80.36,47.52
2019-01-01 06:30:00,53.17,50.04,55.03,80.85,52.75
2019-01-01 07:00:00,45.82,41.89,46.01,80.85,44.74
2019-01-01 07:30:00,48.96,44.01,47.36,82.86,46.66
2019-01-01 08:00:00,52.18,46.28,50.29,83.44,49.56
2019-01-01 08:30:00,48.21,41.7,46.67,83.45,45.41
2019-01-01 09:00:00,53.69,46.43,52.02,83.45,50.72
2019-01-01 09:30:00,61.01,52.49,59.95,83.44,57.91
2019-01-01 10:00:00,59.08,50.99,57.87,83.44,55.54
2019-01-01 10:30:00,66.33,56.81,64.9,83.45,61.83
2019-01-01 11:00:00,68.42,58.47,68.02,82.89,64.33
2019-01-01 11:30:00,77.27,63.37,75.78,80.36,72.38
2019-01-01 12:00:00,89.49,65.46,84.37,87.37,82.58
2019-01-01 12:30:00,91.87,64.92,87.28,90.04,85.38
2019-01-01 13:00:00,91.87,66.79,86.66,89.85,85.41
2019-01-01 13:30:00,96.62,65.71,93.48,95.7,91.38
2019-01-01 14:00:00,95.5,79.39,92.8,91.6,90.41
2019-01-01 14:30:00,95.8,81.31,92.39,87.37,90.13
2019-01-01 15:00:00,92.96,80.21,89.7,85.85,88.23
2019-01-01 15:30:00,91.35,81.98,90.25,87.49,88.63
2019-01-01 16:00:00,107.51,99.22,109.81,103.52,107.13
2019-01-01 16:30:00,101.87,95.73,101.2,101.34,100.48
