cell,selected,delta_crps,cand_crps,host_crps,a1_net,a2_net,release_rate,identity_rate,harmful_rate,q,coverage,mae,host_mae,degradation_frac
shandong_DA:Linear,C0,-0.04672,0.20566,0.25238,-0.0031843500796426764,-0.0031843500796426764,0.19578313253012047,0.8042168674698795,0.49230769230769234,0.055582905822383566,0.7530120481927711,108.759962,106.93008,0.017113
shandong_DA:MLP,C3,-0.175431,0.176721,0.352152,0.014100497567515925,0.0018100238537780997,0.29819277108433734,0.7018072289156626,0.46464646464646464,0.0,0.8433734939759037,156.323859,159.081383,-0.017334
shandong_RT:Linear,C0,-0.085258,0.252411,0.337669,0.007159325136128575,0.007159325136128575,0.23795180722891565,0.7620481927710844,0.4177215189873418,0.11871994296280819,0.7620481927710844,177.742291,173.986643,0.021586
shandong_RT:MLP,C0,-0.142236,0.226267,0.368504,0.04013047203818836,0.04013047203818836,0.25301204819277107,0.7469879518072289,0.2857142857142857,0.12877119200585438,0.7951807228915663,263.781696,275.330217,-0.041944
