market,host,method,seed,alpha,flags,Overall_MAE,Host_MAE,gain_pct,correction_ratio,checkpoint_role,selected_checkpoint,MSE,RMSE,Host_Overall_MAE,relative_gain_vs_Host_pct,Tail_MAE,Upper_tail_MAE,Lower_tail_MAE,Normal_region_MAE,Host_Normal_region_MAE,Normal_harm_vs_Host,Tail_MAE_Host,Extreme_day_MAE,Extreme_day_MAE_Host,extreme_day_subset_status,Upper_tail_day_MAE,upper_tail_day_subset_status,Negative_price_MAE,Negative_price_MAE_Host,negative_price_subset_status,n_days,n_hours,n_upper_tail_hours,n_lower_tail_hours,n_normal_hours,n_extreme_days,n_upper_tail_days,n_negative_hours,n_negative_days
NORD_DK1,PatchTST,HCH_S1_B2,7,1.1335150003433228,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",20.453457361514463,21.127682219484214,3.1911917784714325,0.182090639506695,inner,25,770.9074307118836,27.765219803053668,21.127682219484214,3.1911917784714325,26.82181916768539,,26.82181916768539,19.31868387167697,20.17127811327559,-0.8525942415986201,26.49503300427943,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,26.207580571662824,25.910450792311618,OK,289,6936,0,1049,5887,0,0,371,74
NORD_DK1,PatchTST,HCH_S1_B2,17,1.047425627708435,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",20.512096613962708,21.127682219484214,2.913644758220593,0.17171323873061828,inner,25,775.7967342187176,27.853127907269545,21.127682219484214,2.913644758220593,26.680208493057847,,26.680208493057847,19.413005504540116,20.17127811327559,-0.7582726087354743,26.49503300427943,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,26.123773268506813,25.910450792311618,OK,289,6936,0,1049,5887,0,0,371,74
NORD_DK1,PatchTST,HCH_S1_B2,37,1.2384296655654907,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",20.231262923051542,21.127682219484214,4.242866241172365,0.19983576767372072,inner,50,755.233385398359,27.481509882070874,21.127682219484214,4.242866241172365,26.85621906400572,,26.85621906400572,19.050767086146337,20.17127811327559,-1.120511027129254,26.49503300427943,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,26.05549876235747,25.910450792311618,OK,289,6936,0,1049,5887,0,0,371,74
NORD_DK1,TimeMixer,HCH_S1_B2,7,1.1990848779678345,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",19.57747266950132,20.087321650618453,2.538163076118397,0.19492259015085237,inner,25,699.08987350085,26.44030774217369,20.087321650618453,2.538163076118397,30.15435484121487,,30.15435484121487,17.692786174150967,17.88092301538648,-0.18813684123551155,32.4696560315628,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,28.31228038158037,31.037029683112976,OK,289,6936,0,1049,5887,0,0,371,74
NORD_DK1,TimeMixer,HCH_S1_B2,17,0.736108124256134,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",19.653081523614098,20.087321650618453,2.161762202831979,0.12095656276701926,inner,50,701.90512968584,26.493492213859614,20.087321650618453,2.161762202831979,31.169805911782458,,31.169805911782458,17.600925266914828,17.88092301538648,-0.2799977484716507,32.4696560315628,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,29.297488043044577,31.037029683112976,OK,289,6936,0,1049,5887,0,0,371,74
NORD_DK1,TimeMixer,HCH_S1_B2,37,1.256314992904663,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",19.416188091408372,20.087321650618453,3.341080363441172,0.20816692447951265,inner,50,685.8488479555059,26.188716042515445,20.087321650618453,3.341080363441172,30.31147819131904,,30.31147819131904,17.474764732344966,17.88092301538648,-0.40615828304151336,32.4696560315628,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,28.25000620860797,31.037029683112976,OK,289,6936,0,1049,5887,0,0,371,74
NORD_DK1,iTransformer,HCH_S1_B2,7,1.056516408920288,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",20.36342652261471,20.78248446382504,2.016399636625551,0.17035464230152483,inner,25,749.3297007916194,27.37388720645315,20.78248446382504,2.016399636625551,27.196364776647737,,27.196364776647737,19.14587051302058,19.742774624157907,-0.5969041111373272,26.617347977762496,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,25.157751479966823,24.26656322570322,OK,289,6936,0,1049,5887,0,0,371,74
NORD_DK1,iTransformer,HCH_S1_B2,17,1.003083348274231,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",20.410760464070734,20.78248446382504,1.788640816266917,0.16269060766938886,inner,25,753.0982313097091,27.44263528361861,20.78248446382504,1.788640816266917,27.179120864603735,,27.179120864603735,19.204711532499626,19.742774624157907,-0.5380630916582803,26.617347977762496,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,25.33949287252305,24.26656322570322,OK,289,6936,0,1049,5887,0,0,371,74
NORD_DK1,iTransformer,HCH_S1_B2,37,1.1471365690231323,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",20.42517428735036,20.78248446382504,1.7192851850635613,0.18299512151560698,inner,25,752.2422825494779,27.427035613596264,20.78248446382504,1.7192851850635613,27.714311969680473,,27.714311969680473,19.126328452669828,19.742774624157907,-0.6164461714880787,26.617347977762496,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,25.706600439290433,24.26656322570322,OK,289,6936,0,1049,5887,0,0,371,74
NORD_DK1,LSTM,HCH_S1_B2,7,3.2460319995880127,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",22.856233776840536,30.84995237551871,25.91160758167546,0.5512000549020303,inner,100,916.8441104875301,30.27943378743285,30.84995237551871,25.91160758167546,41.50866889536161,,41.50866889536161,19.53257071597276,25.16239061253533,-5.629819896562569,62.76861405205177,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,43.25853544965165,71.29413241800172,OK,289,6936,0,1049,5887,0,0,371,74
