market,host,method,seed,setting,in_external_ranking,fidelity,Overall_MAE,MSE,RMSE,Host_Overall_MAE,relative_gain_vs_Host_pct,Tail_MAE,Upper_tail_MAE,Lower_tail_MAE,Normal_region_MAE,Host_Normal_region_MAE,Normal_harm_vs_Host,Tail_MAE_Host,Extreme_day_MAE,Extreme_day_MAE_Host,extreme_day_subset_status,Upper_tail_day_MAE,upper_tail_day_subset_status,Negative_price_MAE,Negative_price_MAE_Host,negative_price_subset_status,n_days,n_hours,n_upper_tail_hours,n_lower_tail_hours,n_normal_hours,n_extreme_days,n_upper_tail_days,n_negative_hours,n_negative_days,in_best_static,chronology_audit_passed,chronology_max_abs_diff_over_all_cuts,chronology_cuts_tested,chronology_liveness,n_days_adapted,thread_pin_before,thread_pin_after,eval_span_relabel
NORD_DK1,LSTM,COSA,2021,ONLINE_TTA,False,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,22.209581833865844,847.9916218641082,29.12029570358289,30.84995237551871,28.00772732637837,36.60571522745273,,36.60571522745273,19.64434590217353,25.16239061253533,-5.518044710361799,62.76861405205177,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,38.16785022730354,71.29413241800172,OK,289,6936,0,1049,5887,0,0,371,74,False,True,0.0,33.0,32/32,288.0,,,
NEM_SA1,PatchTST,delta-Adapter,7,OFFLINE_STATIC_POSTHOC,True,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,131.3537151340374,184744.55977630595,429.8192175511769,130.4882124215485,-0.6632803809840356,282.1446317339207,1289.7024059160713,113.53292258507103,112.65197959736496,111.6231115439336,1.0288680534313528,282.59633348371597,292.6248236030761,291.61807271770726,OK,225.87750912009417,OK,110.88436985755324,110.44821734059285,OK,108,2592,41,245,2306,13,18,973,100,,,,,,,,,
NEM_SA1,PatchTST,MatchedDirectResidual,7,INTERNAL_CONTROL_ONLY,False,FROZEN_INTERNAL_CONTROL,240.49270977287816,322712.23070581973,568.0776625654452,130.4882124215485,-84.30224869351018,379.9623513150874,1282.6165277385714,228.90593811768798,223.19508727458165,111.6231115439336,111.57197573064805,282.59633348371597,330.68936232683063,291.61807271770726,OK,277.9909985744041,OK,246.23032732413446,110.44821734059285,OK,108,2592,41,245,2306,13,18,973,100,,,,,,,,,
NEM_SA1,PatchTST,COSA,2021,ONLINE_TTA,False,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,128.8857968735951,184173.8417691058,429.1547993080187,130.4882124215485,1.2280155565138082,281.0839206038655,1288.2594790749433,112.53617408421574,110.00953347946789,111.6231115439336,-1.6135780644657132,282.59633348371597,290.62241406938756,291.61807271770726,OK,222.8946167476846,OK,108.69872497698103,110.44821734059285,OK,108,2592,41,245,2306,13,18,973,100,False,True,0.0,28.0,27/27,107.0,,,
NEM_SA1,TimeMixer,delta-Adapter,7,OFFLINE_STATIC_POSTHOC,True,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,93.76263940045274,152274.62187446398,390.22380997891963,92.55825551183098,-1.301217143691538,248.32482155535058,1252.0537020155607,80.3538660497644,74.59317535175335,72.7869646991484,1.8062106526049462,251.97292898751638,248.08442042827002,247.7355914605865,OK,186.94357203852712,OK,75.29648280755318,78.09311997543404,OK,108,2592,41,245,2306,13,18,973,100,,,,,,,,,
NEM_SA1,TimeMixer,MatchedDirectResidual,7,INTERNAL_CONTROL_ONLY,False,FROZEN_INTERNAL_CONTROL,213.89185585791225,277816.2850104956,527.0828065973084,92.55825551183098,-131.08890144388275,359.58618121108935,1318.4973565009798,199.11533146869957,195.82222140387552,72.7869646991484,123.03525670472712,251.97292898751638,323.28617469795205,247.7355914605865,OK,277.81857571798423,OK,196.92033444322,78.09311997543404,OK,108,2592,41,245,2306,13,18,973,100,,,,,,,,,
NEM_SA1,TimeMixer,COSA,2021,ONLINE_TTA,False,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,90.27637695384347,151585.09367465967,389.3393040455326,92.55825551183098,2.4653430916228074,251.66357864950086,1256.0001229542058,83.59093245973392,70.26044474007155,72.7869646991484,-2.5265199590768503,251.97292898751638,246.9341016890278,247.7355914605865,OK,185.34346430082547,OK,74.95777861670402,78.09311997543404,OK,108,2592,41,245,2306,13,18,973,100,False,True,0.0,28.0,27/27,107.0,,,
NEM_SA1,iTransformer,delta-Adapter,7,OFFLINE_STATIC_POSTHOC,True,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,120.4098570831701,173328.16497736835,416.3269928522151,120.34247025071387,-0.05599588600419509,279.8897459309047,1268.2576605091335,114.4894010423032,100.63047798063234,100.55260452389106,0.07787345674127266,279.90691209006144,267.64071528174264,267.8794160532013,OK,205.45476005641217,OK,105.87689427761374,105.05491168751647,OK,108,2592,41,245,2306,13,18,973,100,,,,,,,,,
NEM_SA1,iTransformer,MatchedDirectResidual,7,INTERNAL_CONTROL_ONLY,False,FROZEN_INTERNAL_CONTROL,230.38952655801054,324466.9384131963,569.6199947449144,120.34247025071387,-91.44490392961987,372.85734094993944,1298.6622158998762,217.92672922362348,212.72005781729425,100.55260452389106,112.16745329340318,279.90691209006144,340.13827060440656,267.8794160532013,OK,279.61393450563247,OK,222.18949905541086,105.05491168751647,OK,108,2592,41,245,2306,13,18,973,100,,,,,,,,,
NEM_SA1,iTransformer,COSA,2021,ONLINE_TTA,False,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,118.68504942716785,172838.9830847735,415.7390805358254,120.34247025071387,1.3772534501685512,278.59683238543,1270.0822081333254,112.67478991333319,98.85210496660282,100.55260452389106,-1.7004995572882393,279.90691209006144,266.9674768527098,267.8794160532013,OK,204.7809766565786,OK,103.3674350202233,105.05491168751647,OK,108,2592,41,245,2306,13,18,973,100,False,True,0.0,28.0,27/27,107.0,,,
NEM_SA1,LSTM,delta-Adapter,7,OFFLINE_STATIC_POSTHOC,True,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,78.74311749613682,142848.657148288,377.95324730485913,78.52947758674031,-0.27205059292611217,260.29290418618484,1272.0875728883973,90.97216370948807,56.22653510526355,56.015879085166894,0.21065602009665696,260.055205365161,241.45673268757224,241.56403774796172,OK,177.8369191417696,OK,75.60005997849197,75.03589646025672,OK,108,2592,41,245,2306,13,18,973,100,,,,,,,,,
NEM_SA1,LSTM,MatchedDirectResidual,7,INTERNAL_CONTROL_ONLY,False,FROZEN_INTERNAL_CONTROL,225.0321258616983,290608.1059381012,539.0807972262611,78.52947758674031,-186.5575230818738,354.5181805647722,1258.000475099793,203.32318433646262,208.97271057762234,56.015879085166894,152.95683149245545,260.055205365161,347.9519991313221,241.56403774796172,OK,264.55098738149815,OK,225.57803329752866,75.03589646025672,OK,108,2592,41,245,2306,13,18,973,100,,,,,,,,,
NEM_SA1,LSTM,COSA,2021,ONLINE_TTA,False,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,75.8718253385028,142497.56722294714,377.4884994578605,78.52947758674031,3.3842734345227012,254.99770092453574,1276.303574503922,84.08528942757724,53.65586678793671,56.015879085166894,-2.3600122972301847,260.055205365161,239.58250261689776,241.56403774796172,OK,176.4107950788845,OK,68.95319568570837,75.03589646025672,OK,108,2592,41,245,2306,13,18,973,100,False,True,0.0,28.0,27/27,107.0,,,
NORD_DK1,PatchTST,PIR,2021,OFFLINE_STATIC_POSTHOC,True,PAPER_FAITHFUL_EXACT_ACCEPTED,21.04064924666049,798.5047081920362,28.257825609767576,21.127682219484214,0.41193810054309493,28.38571404501462,,28.38571404501462,19.731837802211114,20.17127811327559,-0.4394403110644767,26.49503300427943,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,27.085637883993613,25.910450792311618,OK,289,6936,0,1049,5887,0,0,371,74,,,,,,,1.0,1.0,PROTECTED_FINAL->DIAG_EVAL; DEV_EVAL->S4
NORD_DK1,TimeMixer,PIR,2021,OFFLINE_STATIC_POSTHOC,True,PAPER_FAITHFUL_EXACT_ACCEPTED,20.375893100875675,753.1394169293743,27.443385668123646,20.087321650618453,-1.4365850026020675,27.990828573211914,,27.990828573211914,19.018993608692778,17.88092301538648,1.1380705933062991,32.4696560315628,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,26.038145276469322,31.037029683112976,OK,289,6936,0,1049,5887,0,0,371,74,,,,,,,1.0,1.0,PROTECTED_FINAL->DIAG_EVAL; DEV_EVAL->S4
NEM_SA1,PatchTST,PIR,2021,OFFLINE_STATIC_POSTHOC,True,PAPER_FAITHFUL_EXACT_ACCEPTED,125.9672551170995,187284.67904957192,432.7639992531402,130.4882124215485,3.4646480479354156,290.3842104131525,1301.142939497785,121.23683126021405,105.57555988090212,111.6231115439336,-6.047551663031484,282.59633348371597,335.3941168740141,291.61807271770726,OK,250.22350801699537,OK,109.29313013912251,110.44821734059285,OK,108,2592,41,245,2306,13,18,973,100,,,,,,,1.0,1.0,PROTECTED_FINAL->DIAG_EVAL; DEV_EVAL->S4
NEM_SA1,TimeMixer,PIR,2021,OFFLINE_STATIC_POSTHOC,True,PAPER_FAITHFUL_EXACT_ACCEPTED,145.70226671670244,210267.09896995587,458.54890575592464,92.55825551183098,-57.41682458360344,292.5035050665582,1309.4858145364901,122.31462878791653,127.49534817027629,72.7869646991484,54.70838347112789,251.97292898751638,374.5449759966921,247.7355914605865,OK,283.86318534043943,OK,116.58460276448508,78.09311997543404,OK,108,2592,41,245,2306,13,18,973,100,,,,,,,1.0,1.0,PROTECTED_FINAL->DIAG_EVAL; DEV_EVAL->S4
