cell,metric,b5_score,best_method,best_score,gap_to_best_pct,b5_rank,n_methods,strict_top1,tied_top1,top2
NEM_SA1:MLP,sMAPE,130.130574,B5_HCH-Universal,130.130574,0.0,1,7,True,True,True
NEM_SA1:PatchTST,MAE,62.253425,B3_DeltaAdapter,61.743148,0.826,4,7,False,False,False
NEM_SA1:PatchTST,sMAPE,89.539101,B0_Identity,89.490901,0.054,3,7,False,True,False
NORD_DK1:LSTM,MAE,37.478302,B4_PIR,35.070627,6.865,2,7,False,False,True
NORD_DK1:LSTM,sMAPE,71.242728,B4_PIR,62.641162,13.731,5,7,False,False,False
NORD_DK1:Linear,MAE,31.810107,B4_PIR,31.617207,0.61,2,7,False,False,True
NORD_DK1:Linear,sMAPE,63.817484,B1_ResidualL1,61.154091,4.355,7,7,False,False,False
NORD_DK1:MLP,MAE,46.513835,B5_HCH-Universal,46.513835,0.0,1,7,True,True,True
NORD_DK1:MLP,sMAPE,83.17459,B3_DeltaAdapter,80.140115,3.786,4,7,False,False,False
NORD_DK1:PatchTST,MAE,41.619606,B4_PIR,36.866492,12.893,4,7,False,False,False
NORD_DK1:PatchTST,sMAPE,73.171098,B4_PIR,63.441925,15.336,7,7,False,False,False
