variant,mae_base,mae_bech,mae_gain_pct,tail_base,tail_bech,tail_gain_pct,neg_miss_base,neg_miss_bech,mae_neg_base,mae_neg_bech,mae_normal_base,mae_normal_bech,tau_neg,tau_pos,lam_neg,lam_pos,fire_rate,n_fired,harm_rate,worst_harm,dm_p,dataset,backbone,tier,family
alpha=0.05,113.60462953845368,110.54013618017291,2.6975074613869325,1744.3506273205096,1737.792026843956,0.3759909489428931,0.6814159292035398,0.5371296652558677,101.50571066172263,89.32432920089992,95.43029713559199,96.23854201640866,0.5,0.5,0.4,0.0,0.25790559120073325,2251,0.4095957352287872,67.89342401867054,1.1102230246251565e-16,NEM_SA1,GBDT,L1,alpha
alpha=0.10,113.60462953845368,110.02677803215323,3.1493888240614276,1744.3506273205096,1735.683741453976,0.4968545733174555,0.6814159292035398,0.48980377068103115,101.50571066172263,85.98745752960211,95.43029713559199,96.92823263137856,0.5,0.5,0.55,0.0,0.25790559120073325,2251,0.4411372723234118,93.35345802567201,1.2454481890245006e-12,NEM_SA1,GBDT,L1,alpha
alpha=0.20,113.60462953845368,109.9187174121761,3.2445087328328928,1744.3506273205096,1733.7797177042469,0.6060083019261248,0.6814159292035398,0.4382454790303963,101.50571066172263,83.66640618941746,95.43029713559199,97.76555730100334,0.5,0.5,0.7,0.0,0.25790559120073325,2251,0.47490004442470013,118.81349203267345,5.351294074529278e-09,NEM_SA1,GBDT,L1,alpha
no-SCARR (lambda=1),113.60462953845368,111.586471090998,1.776475532427625,1744.3506273205096,1732.6802654647831,0.6690376162304748,0.6814159292035398,0.3889957676029242,101.50571066172263,84.06530828368024,95.43029713559199,99.9898757553911,0.5,0.5,1.0,1.0,0.25802016498625113,2252,0.5501776198934281,1615.5318451821502,0.011942687418527997,NEM_SA1,GBDT,L1,safety
A0 v0,83.87087241639173,83.82945977955374,0.049376661580899435,1597.154953188413,1597.1486757482323,0.00039303889507271886,0.6371681415929203,0.6356290881108119,81.00061276760263,80.84708164554391,59.68306518359107,59.6892477916708,0.94,1.01,0.05,0.0,0.06874427131072411,600,0.31833333333333336,6.535844445657148,6.229903354526556e-06,NEM_SA1,Linear,L1,ladder
A1 +L1 magnitude,83.87087241639173,83.72184670014066,0.17768470978960368,1597.154953188413,1597.136048602031,0.001183641345769912,0.6371681415929203,0.6337052712581762,81.00061276760263,80.45675560064845,59.68306518359107,59.70162199923347,0.94,1.01,0.15,0.0,0.06874427131072411,600,0.3,18.611037280595895,9.617246998772089e-10,NEM_SA1,Linear,L1,ladder
A2 +Bayes gate,83.87087241639173,83.02013994105965,1.0143360273021471,1597.154953188413,1597.0219238452112,0.00832914445378028,0.6371681415929203,0.6125432858791843,81.00061276760263,77.93637999644054,59.68306518359107,59.77170419766672,0.5,0.5,0.15,0.0,0.22983501374885426,2006,0.3165503489531406,33.87815044998453,0.0,NEM_SA1,Linear,L1,ladder
A3 +two-tier cert,83.87087241639173,82.0769141111518,2.1389527180944508,1597.154953188413,1597.050549436585,0.006536858031182824,0.6371681415929203,0.44824932666410156,81.00061276760263,69.46630215907605,59.68306518359107,62.03910420685966,0.5,0.5,0.7,0.0,0.22983501374885426,2006,0.4057826520438684,158.09803543326115,3.597342602357223e-06,NEM_SA1,Linear,L1,ladder
A4 +S2b reuse (=v1),83.87087241639173,81.91247424510588,2.3350158581432625,1597.154953188413,1597.0005975357767,0.009664413107075142,0.6371681415929203,0.4890342439399769,81.00061276760263,70.95002600765852,59.68306518359107,61.168516935830596,0.5,0.5,0.55,0.0,0.22983501374885426,2006,0.3793619142572283,124.21988498327664,6.999290036446837e-10,NEM_SA1,Linear,L1,ladder
rho=0.00,83.87087241639173,83.87087241639173,0.0,1597.154953188413,1597.154953188413,0.0,0.6371681415929203,0.6371681415929203,81.00061276760263,81.00061276760263,59.68306518359107,59.68306518359107,0.5,0.5,0.0,0.0,0.0,0,,,,NEM_SA1,Linear,L1,rho
rho=0.10,83.87087241639173,83.27266176056531,0.7132519772257744,1597.154953188413,1597.0529624298886,0.0063857773048742105,0.6371681415929203,0.6194690265486725,81.00061276760263,78.9396886351681,59.68306518359107,59.70530263277575,0.5,0.5,0.1,0.0,0.22983501374885426,2006,0.30957128614157525,22.58543363332302,0.0,NEM_SA1,Linear,L1,rho
rho=0.25,83.87087241639173,82.58316274559468,1.5353478909865095,1597.154953188413,1596.9922993504056,0.01018397355138682,0.6371681415929203,0.5852250865717584,81.00061276760263,75.98330367094891,59.68306518359107,59.979356123947476,0.5,0.5,0.25,0.0,0.22983501374885426,2006,0.3349950149551346,56.46358408330755,0.0,NEM_SA1,Linear,L1,rho
