Timestamp,SE1,SE2,SE3,SE4
2023-01-01 00:00:00,2.01,2.01,2.01,2.01
2023-01-01 01:00:00,1.38,1.38,1.38,1.38
2023-01-01 02:00:00,0.09,0.09,0.09,0.09
2023-01-01 03:00:00,0.08,0.08,0.08,0.08
2023-01-01 04:00:00,0.05,0.05,0.05,0.05
2023-01-01 05:00:00,0.08,0.08,0.08,0.08
2023-01-01 06:00:00,0.09,0.09,0.09,0.09
2023-01-01 07:00:00,0.53,0.53,0.53,0.53
2023-01-01 08:00:00,2.03,2.03,2.03,2.03
2023-01-01 09:00:00,3.1,3.1,3.1,3.1
2023-01-01 10:00:00,4.43,4.43,4.43,4.43
2023-01-01 11:00:00,6.06,6.06,6.06,6.06
2023-01-01 12:00:00,6.06,6.06,6.06,6.06
2023-01-01 13:00:00,5.68,5.68,5.68,5.68
2023-01-01 14:00:00,17.71,17.71,17.71,17.71
2023-01-01 15:00:00,24.11,24.11,24.11,24.11
2023-01-01 16:00:00,36.54,36.54,36.54,36.54
2023-01-01 17:00:00,46.03,46.03,46.03,46.03
2023-01-01 18:00:00,54.23,54.23,54.23,54.23
2023-01-01 19:00:00,53.63,53.63,53.63,53.63
2023-01-01 20:00:00,48.05,48.05,48.05,48.05
2023-01-01 21:00:00,44.68,44.68,44.68,44.68
2023-01-01 22:00:00,45.96,45.96,45.96,45.96
2023-01-01 23:00:00,35.0,35.0,35.0,35.0
2023-01-02 00:00:00,57.91,57.91,57.91,57.91
2023-01-02 01:00:00,51.67,51.67,51.67,51.67
2023-01-02 02:00:00,52.86,52.86,52.86,52.86
2023-01-02 03:00:00,44.16,44.16,44.16,44.16
2023-01-02 04:00:00,50.08,50.08,50.08,50.08
2023-01-02 05:00:00,70.73,70.73,70.73,70.73
2023-01-02 06:00:00,102.56,102.56,102.56,102.56
2023-01-02 07:00:00,112.43,112.43,138.19,138.19
2023-01-02 08:00:00,111.29,111.29,145.98,145.98
2023-01-02 09:00:00,114.94,114.94,147.05,147.05
2023-01-02 10:00:00,114.95,114.95,145.61,145.61
2023-01-02 11:00:00,117.56,117.56,143.35,143.35
2023-01-02 12:00:00,131.27,131.27,144.38,144.38
2023-01-02 13:00:00,143.76,143.76,143.76,143.76
2023-01-02 14:00:00,148.2,148.2,148.2,148.2
2023-01-02 15:00:00,155.34,155.34,155.34,155.34
2023-01-02 16:00:00,162.89,162.89,162.89,162.89
2023-01-02 17:00:00,170.0,170.0,170.0,170.0
2023-01-02 18:00:00,174.74,174.74,174.74,174.74
2023-01-02 19:00:00,164.46,164.46,164.46,164.46
2023-01-02 20:00:00,153.0,153.0,153.0,153.0
2023-01-02 21:00:00,141.67,141.67,141.67,141.67
2023-01-02 22:00:00,131.67,131.67,131.67,131.67
2023-01-02 23:00:00,118.06,118.06,118.06,118.06
2023-01-03 00:00:00,78.81,78.81,78.81,78.81
2023-01-03 01:00:00,73.93,73.93,73.93,73.93
2023-01-03 02:00:00,73.94,73.94,73.94,73.94
2023-01-03 03:00:00,71.44,71.44,71.44,71.44
2023-01-03 04:00:00,72.33,72.33,72.33,72.33
2023-01-03 05:00:00,77.14,77.14,77.14,77.14
2023-01-03 06:00:00,102.48,102.48,102.48,102.48
2023-01-03 07:00:00,102.09,102.09,154.96,154.96
2023-01-03 08:00:00,102.37,102.37,163.92,163.92
2023-01-03 09:00:00,99.65,99.65,167.07,167.07
2023-01-03 10:00:00,94.92,94.92,168.57,168.57
2023-01-03 11:00:00,107.95,107.95,169.49,169.49
2023-01-03 12:00:00,108.42,108.42,164.5,164.5
2023-01-03 13:00:00,109.05,109.05,160.91,160.91
2023-01-03 14:00:00,110.69,110.69,163.06,163.06
2023-01-03 15:00:00,118.83,118.83,167.73,167.73
2023-01-03 16:00:00,116.9,116.9,166.61,166.61
2023-01-03 17:00:00,115.49,115.49,170.72,170.72
2023-01-03 18:00:00,120.0,120.0,168.93,168.93
2023-01-03 19:00:00,120.92,120.92,160.99,160.99
2023-01-03 20:00:00,119.97,119.97,149.62,149.62
2023-01-03 21:00:00,119.72,119.72,131.05,131.05
2023-01-03 22:00:00,114.27,114.27,114.27,114.27
2023-01-03 23:00:00,93.66,93.66,93.66,93.66
2023-01-04 00:00:00,82.88,82.88,82.88,82.88
2023-01-04 01:00:00,78.84,78.84,78.84,78.84
2023-01-04 02:00:00,69.93,69.93,69.93,69.93
2023-01-04 03:00:00,69.26,69.26,69.26,69.26
2023-01-04 04:00:00,71.75,71.75,71.75,71.75
2023-01-04 05:00:00,81.73,81.73,81.73,81.73
