Timestamp,SE1,SE2,SE3,SE4
2018-01-05 13:00:00,32.84,32.84,32.84,37.52
2018-01-05 14:00:00,32.87,32.87,32.87,32.94
2018-01-05 15:00:00,33.5,33.5,33.5,37.51
2018-01-05 16:00:00,35.1,35.1,35.1,37.6
2018-01-05 17:00:00,37.3,37.3,37.3,37.56
2018-01-05 18:00:00,34.0,34.0,34.0,34.0
2018-01-05 19:00:00,32.25,32.25,32.25,32.25
2018-01-05 20:00:00,31.51,31.51,31.51,31.51
2018-01-05 21:00:00,31.25,31.25,31.25,31.25
2018-01-05 22:00:00,30.44,30.44,30.44,30.44
2018-01-05 23:00:00,29.64,29.64,29.64,29.64
2018-01-06 00:00:00,29.45,29.45,29.45,29.45
2018-01-06 01:00:00,28.55,28.55,28.55,28.55
2018-01-06 02:00:00,28.18,28.18,28.18,28.18
2018-01-06 03:00:00,28.0,28.0,28.0,28.0
2018-01-06 04:00:00,28.15,28.15,28.15,28.15
2018-01-06 05:00:00,28.7,28.7,28.7,28.7
2018-01-06 06:00:00,29.48,29.48,29.48,29.48
2018-01-06 07:00:00,30.35,30.35,30.35,30.35
2018-01-06 08:00:00,30.38,30.38,30.38,30.38
2018-01-06 09:00:00,30.9,30.9,30.9,30.9
2018-01-06 10:00:00,31.89,31.89,31.89,31.89
2018-01-06 11:00:00,32.86,32.86,32.86,32.86
2018-01-06 12:00:00,32.17,32.17,32.17,32.17
2018-01-06 13:00:00,31.79,31.79,31.79,31.79
2018-01-06 14:00:00,31.77,31.77,31.77,31.77
2018-01-06 15:00:00,33.05,33.05,33.05,33.05
2018-01-06 16:00:00,36.47,36.47,36.47,39.54
2018-01-06 17:00:00,36.53,36.53,36.53,41.39
2018-01-06 18:00:00,34.45,34.45,34.45,34.45
2018-01-06 19:00:00,31.93,31.93,31.93,31.93
2018-01-06 20:00:00,31.06,31.06,31.06,31.06
2018-01-06 21:00:00,30.72,30.72,30.72,30.72
2018-01-06 22:00:00,29.98,29.98,29.98,29.98
2018-01-06 23:00:00,29.03,29.03,29.03,29.03
2018-01-07 00:00:00,27.58,27.58,27.58,27.58
2018-01-07 01:00:00,25.9,25.9,25.9,25.9
2018-01-07 02:00:00,25.89,25.89,25.89,25.89
2018-01-07 03:00:00,26.16,26.16,26.16,26.16
2018-01-07 04:00:00,26.6,26.6,26.6,26.6
2018-01-07 05:00:00,27.14,27.14,27.14,27.14
2018-01-07 06:00:00,27.43,27.43,27.43,27.43
2018-01-07 07:00:00,27.69,27.69,27.69,27.69
2018-01-07 08:00:00,27.93,27.93,27.93,27.93
2018-01-07 09:00:00,28.33,28.33,28.33,28.33
2018-01-07 10:00:00,28.79,28.79,28.79,28.79
2018-01-07 11:00:00,28.95,28.95,28.95,28.95
2018-01-07 12:00:00,28.96,28.96,28.96,28.96
2018-01-07 13:00:00,28.27,28.27,28.27,28.27
2018-01-07 14:00:00,28.29,28.29,28.29,28.29
2018-01-07 15:00:00,28.62,28.62,28.62,28.62
2018-01-07 16:00:00,29.38,29.38,29.38,29.38
2018-01-07 17:00:00,30.88,30.88,30.88,30.88
2018-01-07 18:00:00,31.51,31.51,31.51,31.51
2018-01-07 19:00:00,31.12,31.12,31.12,31.12
2018-01-07 20:00:00,29.96,29.96,29.96,29.96
2018-01-07 21:00:00,28.94,28.94,28.94,28.94
2018-01-07 22:00:00,28.9,28.9,28.9,28.9
2018-01-07 23:00:00,27.57,27.57,27.57,27.57
2018-01-08 00:00:00,25.03,25.03,25.03,25.03
2018-01-08 01:00:00,23.96,23.96,23.96,23.96
2018-01-08 02:00:00,23.92,23.92,23.92,23.92
2018-01-08 03:00:00,25.48,25.48,25.48,25.48
2018-01-08 04:00:00,26.12,26.12,26.12,26.12
2018-01-08 05:00:00,27.96,27.96,27.96,27.96
2018-01-08 06:00:00,29.62,29.62,29.62,29.62
2018-01-08 07:00:00,32.73,32.73,32.73,41.9
2018-01-08 08:00:00,32.98,32.98,41.67,43.87
2018-01-08 09:00:00,33.34,33.34,42.57,42.57
2018-01-08 10:00:00,33.06,33.06,39.48,41.98
2018-01-08 11:00:00,33.15,33.15,35.87,41.54
2018-01-08 12:00:00,33.06,33.06,33.09,41.87
2018-01-08 13:00:00,32.9,32.9,32.91,41.87
2018-01-08 14:00:00,33.04,33.04,34.35,39.93
2018-01-08 15:00:00,33.2,33.2,38.01,40.97
2018-01-08 16:00:00,33.4,33.4,39.69,39.69
2018-01-08 17:00:00,32.9,32.9,40.26,40.26
2018-01-08 18:00:00,32.5,32.5,32.95,37.08
2018-01-08 19:00:00,31.16,31.16,31.16,31.16
2018-01-08 20:00:00,29.68,29.68,29.68,29.68
2018-01-08 21:00:00,28.92,28.92,28.92,28.92
2018-01-08 22:00:00,28.49,28.49,28.49,28.49
2018-01-08 23:00:00,28.09,28.09,28.09,28.09
2018-01-09 00:00:00,27.17,27.17,27.17,27.17
2018-01-09 01:00:00,25.29,25.29,25.29,25.29
2018-01-09 02:00:00,25.3,25.3,25.3,25.3
2018-01-09 03:00:00,26.58,26.58,26.58,26.58
2018-01-09 04:00:00,27.26,27.26,27.26,27.26
2018-01-09 05:00:00,28.25,28.25,28.25,28.25
2018-01-09 06:00:00,28.99,28.99,28.99,28.99
2018-01-09 07:00:00,31.54,31.54,31.54,31.54
2018-01-09 08:00:00,32.53,32.53,32.53,32.53
2018-01-09 09:00:00,32.26,32.26,32.26,32.26
2018-01-09 10:00:00,32.13,32.13,32.13,32.13
2018-01-09 11:00:00,32.32,32.32,32.32,32.32
2018-01-09 12:00:00,32.04,32.04,32.04,32.04
2018-01-09 13:00:00,31.8,31.8,31.8,31.8
2018-01-09 14:00:00,31.47,31.47,31.47,31.47
2018-01-09 15:00:00,31.4,31.4,31.4,31.4
2018-01-09 16:00:00,32.25,32.25,32.25,32.25
2018-01-09 17:00:00,32.87,32.87,32.87,32.87
2018-01-09 18:00:00,32.44,32.44,32.44,32.44
