Timestamp,SE1,SE2,SE3,SE4
2021-01-01 00:00:00,24.95,24.95,24.95,24.95
2021-01-01 01:00:00,24.35,24.35,24.35,24.35
2021-01-01 02:00:00,23.98,23.98,23.98,23.98
2021-01-01 03:00:00,23.72,23.72,23.72,23.72
2021-01-01 04:00:00,23.73,23.73,23.73,23.73
2021-01-01 05:00:00,24.06,24.06,24.06,24.06
2021-01-01 06:00:00,24.44,24.44,24.44,24.44
2021-01-01 07:00:00,24.93,24.93,24.93,24.93
2021-01-01 08:00:00,24.9,24.9,24.9,24.9
2021-01-01 09:00:00,25.07,25.07,25.07,25.07
2021-01-01 10:00:00,25.63,25.63,25.63,30.02
2021-01-01 11:00:00,25.92,25.92,25.92,37.14
2021-01-01 12:00:00,26.13,26.13,26.13,39.05
2021-01-01 13:00:00,26.57,26.57,26.57,40.59
2021-01-01 14:00:00,27.3,27.3,27.3,40.79
2021-01-01 15:00:00,28.61,28.61,28.61,45.47
2021-01-01 16:00:00,30.25,30.25,30.25,51.72
2021-01-01 17:00:00,30.19,30.19,30.19,55.39
2021-01-01 18:00:00,28.82,28.82,28.82,53.01
2021-01-01 19:00:00,28.25,28.25,28.25,55.74
2021-01-01 20:00:00,27.32,27.32,27.32,54.94
2021-01-01 21:00:00,26.98,26.98,26.98,50.82
2021-01-01 22:00:00,26.44,26.44,26.44,45.22
2021-01-01 23:00:00,25.64,25.64,25.64,25.64
2021-01-02 00:00:00,25.59,25.59,25.59,25.59
2021-01-02 01:00:00,24.91,24.91,24.91,24.91
2021-01-02 02:00:00,24.74,24.74,24.74,24.74
2021-01-02 03:00:00,24.66,24.66,24.66,24.66
2021-01-02 04:00:00,24.72,24.72,24.72,24.72
2021-01-02 05:00:00,24.92,24.92,24.92,24.92
2021-01-02 06:00:00,25.62,25.62,25.62,30.05
2021-01-02 07:00:00,26.19,26.19,26.19,26.19
2021-01-02 08:00:00,28.02,28.02,28.02,43.3
2021-01-02 09:00:00,27.65,27.65,27.65,47.85
2021-01-02 10:00:00,28.83,28.83,28.83,50.75
2021-01-02 11:00:00,29.76,29.76,29.76,50.9
2021-01-02 12:00:00,28.62,28.62,28.62,53.75
2021-01-02 13:00:00,28.72,28.72,28.72,50.75
2021-01-02 14:00:00,28.89,28.89,28.89,49.48
2021-01-02 15:00:00,39.74,39.74,39.74,52.16
2021-01-02 16:00:00,58.88,58.88,58.88,58.88
2021-01-02 17:00:00,60.51,60.51,60.51,60.51
2021-01-02 18:00:00,59.84,59.84,59.84,61.56
2021-01-02 19:00:00,29.94,29.94,29.94,56.17
2021-01-02 20:00:00,27.38,27.38,27.38,55.01
2021-01-02 21:00:00,26.96,26.96,26.96,52.6
2021-01-02 22:00:00,26.85,26.85,26.85,47.13
2021-01-02 23:00:00,25.94,25.94,25.94,39.56
2021-01-03 00:00:00,25.27,25.27,25.27,25.27
2021-01-03 01:00:00,24.59,24.59,24.59,24.59
2021-01-03 02:00:00,23.86,23.86,23.86,23.86
2021-01-03 03:00:00,23.57,23.57,23.57,23.57
2021-01-03 04:00:00,23.49,23.49,23.49,23.49
2021-01-03 05:00:00,23.85,23.85,23.85,23.85
