market,host,cell,n_post_train_days,n_entries,mass_positive_mean,mass_positive_median,mass_positive_q25,mass_positive_q75,mass_positive_iqr,mass_positive_std,mass_negative_mean,mass_negative_median,mass_negative_q25,mass_negative_q75,mass_negative_iqr,mass_negative_std,mass_positive_near_zero_fraction,mass_negative_near_zero_fraction,mass_positive_exact_zero_fraction,mass_negative_exact_zero_fraction,mass_asymmetry_median_ratio,mass_asymmetry_mean_ratio,n_days_defined_positive,n_days_defined_negative,n_days_defined_both,n_days_defined_neither,shape_positive_entropy_mean,shape_negative_entropy_mean,shape_positive_concentration_mean,shape_negative_concentration_mean,shape_positive_entropy_uniform_fraction,shape_negative_entropy_uniform_fraction,peak_positive_modal_hour,peak_positive_modal_fraction,peak_negative_modal_hour,peak_negative_modal_fraction,w1_adjacent_pair_mean,w1_random_pair_mean,w1_pair_ratio,reconstruction_max_abs_err,reconstruction_max_rel_err,knn_enabled,roles_used,dev_eval_rows_materialised,protected_final_read_count
GANSU_DA,PatchTST,GANSU_DA::PatchTST,62,1488,622.6750660557901,461.9162368774414,145.46212577819824,916.0186634063721,770.5565376281738,578.0833611092572,1007.0579083965671,924.0825996398926,427.8692569732666,1447.1227169036865,1019.2534599304199,743.2851084935786,0.03225806451612903,0.0,0.03225806451612903,0.0,0.4998646625934158,0.6183110830708936,60,62,60,0,1.868522064799393,2.2625748265371186,0.3165984825863749,0.2253875071471647,0.0,0.0,21,0.18333333333333332,8,0.2903225806451613,6.03428158953827,6.658026853034999,0.9063167996667961,2.842170943040401e-14,8.810458683474073e-17,False,POST_TRAIN,0,0
GANSU_DA,TimeMixer,GANSU_DA::TimeMixer,62,1488,861.7056612199352,575.9321823120117,152.4632797241211,1446.0603675842285,1293.5970878601074,805.3572519862807,894.0479805238786,835.2910327911377,276.4934034347534,1307.2584238052368,1030.7650203704834,729.8272453985096,0.08064516129032258,0.016129032258064516,0.08064516129032258,0.016129032258064516,0.68949882101275,0.9638248505578056,57,61,56,0,2.037950108141852,2.221121509024632,0.267465801778623,0.2342546759341171,0.0,0.0,23,0.21052631578947367,9,0.2459016393442623,6.013378230158987,5.98990123279701,1.0039194297951746,2.842170943040401e-14,8.562567698686919e-17,False,POST_TRAIN,0,0
GANSU_DA,iTransformer,GANSU_DA::iTransformer,62,1488,786.4825266561201,457.73857498168945,148.4383773803711,1392.4241523742676,1243.9857749938965,798.2575494062253,994.1166657478578,1028.145414352417,317.6112365722656,1400.5807905197144,1082.9695539474487,775.7597844039132,0.06451612903225806,0.016129032258064516,0.06451612903225806,0.016129032258064516,0.4452080110380092,0.7911370503626574,58,61,57,0,1.9600694229858342,2.162979644745714,0.29631792512374905,0.26091015479849367,0.0,0.0,23,0.1896551724137931,9,0.19672131147540983,6.143569642573198,6.366939501098162,0.9649172324495249,2.842170943040401e-14,6.734975446937761e-17,False,POST_TRAIN,0,0
GANSU_DA,LSTM,GANSU_DA::LSTM,62,1488,135.76211732433688,9.440074920654297,0.0,223.2894401550293,223.2894401550293,208.19943903172268,3261.5763419366654,3270.125835418701,2257.2802238464355,4063.7409172058105,1806.460693359375,1314.6531254017884,0.46774193548387094,0.0,0.46774193548387094,0.0,0.0028867619766826517,0.041624694040956825,33,62,33,0,1.2900225173016575,2.8942396338037777,0.4279485142510227,0.09940474525102692,0.0,0.03225806451612903,15,0.3333333333333333,9,0.3064516129032258,5.384546396138223,3.778086991635685,1.4252044508395603,5.684341886080802e-14,1.5849111784846647e-16,False,POST_TRAIN,0,0
SHANDONG_DA,PatchTST,SHANDONG_DA::PatchTST,248,5952,1077.6023994222764,846.6247406005859,478.3081798553467,1471.6542377471924,993.3460578918457,931.5107398732944,1079.5697146846403,770.0536003112793,347.62732696533203,1512.5927486419678,1164.9654216766357,1010.725871063157,0.024193548387096774,0.024193548387096774,0.024193548387096774,0.024193548387096774,1.0994361175096827,0.9981776857616476,242,242,236,0,2.1963473866093004,2.154469034051669,0.2166115275761528,0.21259798572036476,0.004132231404958678,0.0,0,0.10743801652892562,10,0.1652892561983471,5.012866684125924,5.55729043741452,0.9020343170075732,1.1368683772161603e-13,1.1775442514973764e-16,False,POST_TRAIN,0,0
SHANDONG_DA,TimeMixer,SHANDONG_DA::TimeMixer,248,5952,1071.6331157568961,848.5450973510742,470.27358627319336,1454.5912857055664,984.317699432373,910.0317574616616,1117.1081947203606,780.0998687744141,347.5294132232666,1597.0895729064941,1249.5601596832275,1051.2453591856151,0.04032258064516129,0.024193548387096774,0.04032258064516129,0.024193548387096774,1.0877390592107032,0.9592921445045455,238,242,232,0,2.261796724749047,2.1308130953438464,0.1877227002068086,0.2232391696039486,0.0,0.004132231404958678,10,0.10504201680672269,23,0.14049586776859505,4.977829557456758,5.830028613884291,0.8538259221579102,5.684341886080802e-14,6.021297890983586e-17,False,POST_TRAIN,0,0
SHANDONG_DA,iTransformer,SHANDONG_DA::iTransformer,248,5952,1009.1674717626264,787.7304267883301,393.44152069091797,1368.0997047424316,974.6581840515137,905.9643024542479,1169.0982194985113,821.7277679443359,418.14591217041016,1639.4111080169678,1221.2651958465576,1077.3340176005463,0.04838709677419355,0.024193548387096774,0.04838709677419355,0.024193548387096774,0.958627002174875,0.8632016155114086,236,242,230,0,2.192622132045274,2.2099293951672685,0.20764598872024295,0.2056451534556244,0.00423728813559322,0.008264462809917356,9,0.09745762711864407,5,0.1115702479338843,5.147644703498608,6.078438800878556,0.8468695453106456,1.1368683772161603e-13,1.184048338482747e-16,False,POST_TRAIN,0,0
SHANDONG_DA,LSTM,SHANDONG_DA::LSTM,248,5952,1249.622873503835,1052.4616775512695,737.9813385009766,1591.5686645507812,853.5873260498047,894.6314623825151,1051.3827914499468,753.0640869140625,356.43013763427734,1472.3685417175293,1115.938404083252,1021.3596323957901,0.024193548387096774,0.028225806451612902,0.024193548387096774,0.028225806451612902,1.3975725251539892,1.1885517659847735,242,241,235,0,2.3509973992319617,2.051981931023616,0.17015009945711168,0.23629779359251707,0.004132231404958678,0.0,12,0.15289256198347106,8,0.1991701244813278,4.516487776200378,5.436899954193829,0.830710113162285,1.1368683772161603e-13,1.214945218055371e-16,False,POST_TRAIN,0,0
SHAANXI_DA,PatchTST,SHAANXI_DA::PatchTST,61,1464,1269.0026694751177,887.1369323730469,560.1347198486328,1771.2054138183594,1211.0706939697266,968.990223246598,1136.346688755223,1083.4622955322266,663.087890625,1392.4133758544922,729.3254852294922,742.6163596852451,0.0,0.01639344262295082,0.0,0.01639344262295082,0.8187981584880725,1.1167390040668035,61,60,60,0,2.041126174907094,2.1819051652621995,0.26653985071178504,0.23015641201417708,0.0,0.0,0,0.2459016393442623,22,0.16666666666666666,5.133560969532435,6.311133077544352,0.8134135196416888,5.684341886080802e-14,8.397943916254867e-17,False,POST_TRAIN,0,0
SHAANXI_DA,TimeMixer,SHAANXI_DA::TimeMixer,61,1464,1021.9504038075931,716.5751495361328,320.4465026855469,1392.0368347167969,1071.59033203125,958.845895230756,1307.8355525282564,1242.6383895874023,641.45458984375,1868.6370391845703,1227.1824493408203,798.9473740338467,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.5766562143425006,0.7814058899316498,60,60,59,0,1.7858087776270197,2.369871751339451,0.3463507296463029,0.18390634055379215,0.0,0.0,0,0.21666666666666667,23,0.16666666666666666,5.021860434412235,6.897279329717387,0.7280929471386225,2.842170943040401e-14,4.015752227131781e-17,False,POST_TRAIN,0,0
