Timestamp,North Macedonia
2024-01-08 19:00:00,124.97
2024-01-08 20:00:00,114.47
2024-01-08 21:00:00,105.01
2024-01-08 22:00:00,103.0
2024-01-08 23:00:00,101.51
2024-01-09 00:00:00,99.93
2024-01-09 01:00:00,90.0
2024-01-09 02:00:00,87.89
2024-01-09 03:00:00,81.08
2024-01-09 04:00:00,80.86
2024-01-09 05:00:00,90.0
2024-01-09 06:00:00,105.0
2024-01-09 07:00:00,122.01
2024-01-09 08:00:00,129.41
2024-01-09 09:00:00,127.3
2024-01-09 10:00:00,112.83
2024-01-09 11:00:00,105.0
2024-01-09 12:00:00,105.0
2024-01-09 13:00:00,105.0
2024-01-09 14:00:00,105.0
2024-01-09 15:00:00,111.13
2024-01-09 16:00:00,123.8
2024-01-09 17:00:00,136.36
2024-01-09 18:00:00,141.53
2024-01-09 19:00:00,128.0
2024-01-09 20:00:00,117.48
2024-01-09 21:00:00,106.0
2024-01-09 22:00:00,105.0
2024-01-09 23:00:00,105.0
2024-01-10 00:00:00,101.46
2024-01-10 01:00:00,94.88
2024-01-10 02:00:00,89.99
2024-01-10 03:00:00,85.0
2024-01-10 04:00:00,85.06
2024-01-10 05:00:00,96.99
2024-01-10 06:00:00,110.0
2024-01-10 07:00:00,123.62
2024-01-10 08:00:00,136.0
2024-01-10 09:00:00,122.32
2024-01-10 10:00:00,111.99
2024-01-10 11:00:00,109.71
2024-01-10 12:00:00,105.1
2024-01-10 13:00:00,110.0
2024-01-10 14:00:00,111.77
2024-01-10 15:00:00,117.99
2024-01-10 16:00:00,129.49
2024-01-10 17:00:00,142.0
2024-01-10 18:00:00,145.99
2024-01-10 19:00:00,136.0
2024-01-10 20:00:00,120.34
2024-01-10 21:00:00,110.93
2024-01-10 22:00:00,110.0
2024-01-10 23:00:00,105.0
2024-01-11 00:00:00,100.31
2024-01-11 01:00:00,92.0
2024-01-11 02:00:00,90.99
2024-01-11 03:00:00,89.19
2024-01-11 04:00:00,86.0
2024-01-11 05:00:00,93.72
2024-01-11 06:00:00,108.83
2024-01-11 07:00:00,121.06
2024-01-11 08:00:00,130.15
2024-01-11 09:00:00,124.88
2024-01-11 10:00:00,115.0
2024-01-11 11:00:00,107.24
2024-01-11 12:00:00,103.0
2024-01-11 13:00:00,103.6
2024-01-11 14:00:00,107.79
2024-01-11 15:00:00,114.31
2024-01-11 16:00:00,128.3
2024-01-11 17:00:00,140.64
2024-01-11 18:00:00,139.25
2024-01-11 19:00:00,136.15
2024-01-11 20:00:00,120.1
2024-01-11 21:00:00,107.35
2024-01-11 22:00:00,108.1
2024-01-11 23:00:00,102.99
2024-01-12 00:00:00,94.2
2024-01-12 01:00:00,85.54
2024-01-12 02:00:00,84.53
2024-01-12 03:00:00,85.3
2024-01-12 04:00:00,84.49
2024-01-12 05:00:00,89.97
2024-01-12 06:00:00,103.49
2024-01-12 07:00:00,117.46
2024-01-12 08:00:00,124.93
2024-01-12 09:00:00,120.03
2024-01-12 10:00:00,115.0
2024-01-12 11:00:00,108.73
2024-01-12 12:00:00,103.49
2024-01-12 13:00:00,104.95
2024-01-12 14:00:00,109.0
2024-01-12 15:00:00,109.32
2024-01-12 16:00:00,117.01
2024-01-12 17:00:00,128.39
2024-01-12 18:00:00,124.94
2024-01-12 19:00:00,124.44
2024-01-12 20:00:00,115.0
2024-01-12 21:00:00,104.35
2024-01-12 22:00:00,102.97
2024-01-12 23:00:00,95.21
2024-01-13 00:00:00,95.16
2024-01-13 01:00:00,85.64
2024-01-13 02:00:00,84.48
2024-01-13 03:00:00,79.31
2024-01-13 04:00:00,77.17
2024-01-13 05:00:00,80.92
2024-01-13 06:00:00,84.48
2024-01-13 07:00:00,92.81
2024-01-13 08:00:00,98.99
2024-01-13 09:00:00,95.36
2024-01-13 10:00:00,93.74
2024-01-13 11:00:00,87.77
2024-01-13 12:00:00,86.87
2024-01-13 13:00:00,88.81
2024-01-13 14:00:00,105.0
2024-01-13 15:00:00,105.92
2024-01-13 16:00:00,115.0
2024-01-13 17:00:00,116.35
2024-01-13 18:00:00,115.0
2024-01-13 19:00:00,115.0
2024-01-13 20:00:00,102.91
2024-01-13 21:00:00,103.5
2024-01-13 22:00:00,111.63
2024-01-13 23:00:00,105.0
2024-01-14 00:00:00,104.87
2024-01-14 01:00:00,94.88
2024-01-14 02:00:00,94.81
2024-01-14 03:00:00,84.42
2024-01-14 04:00:00,81.2
2024-01-14 05:00:00,79.26
2024-01-14 06:00:00,94.88
2024-01-14 07:00:00,91.18
2024-01-14 08:00:00,91.37
2024-01-14 09:00:00,90.62
2024-01-14 10:00:00,89.48
2024-01-14 11:00:00,89.89
2024-01-14 12:00:00,89.86
2024-01-14 13:00:00,86.76
2024-01-14 14:00:00,89.35
2024-01-14 15:00:00,99.88
2024-01-14 16:00:00,109.25
2024-01-14 17:00:00,114.86
2024-01-14 18:00:00,114.86
2024-01-14 19:00:00,114.86
2024-01-14 20:00:00,114.86
2024-01-14 21:00:00,113.24
2024-01-14 22:00:00,106.99
2024-01-14 23:00:00,99.34
2024-01-15 00:00:00,97.57
2024-01-15 01:00:00,89.46
2024-01-15 02:00:00,84.42
2024-01-15 03:00:00,72.26
2024-01-15 04:00:00,76.83
2024-01-15 05:00:00,88.73
2024-01-15 06:00:00,100.09
2024-01-15 07:00:00,106.23
2024-01-15 08:00:00,109.24
2024-01-15 09:00:00,102.84
2024-01-15 10:00:00,100.0
2024-01-15 11:00:00,100.0
2024-01-15 12:00:00,97.72
2024-01-15 13:00:00,100.0
2024-01-15 14:00:00,100.0
2024-01-15 15:00:00,108.66
2024-01-15 16:00:00,114.82
2024-01-15 17:00:00,118.62
2024-01-15 18:00:00,116.81
2024-01-15 19:00:00,116.92
2024-01-15 20:00:00,110.13
2024-01-15 21:00:00,106.45
2024-01-15 22:00:00,102.84
2024-01-15 23:00:00,95.57
2024-01-16 00:00:00,89.53
2024-01-16 01:00:00,83.19
2024-01-16 02:00:00,84.21
2024-01-16 03:00:00,77.69
2024-01-16 04:00:00,82.97
2024-01-16 05:00:00,93.63
2024-01-16 06:00:00,110.82
2024-01-16 07:00:00,115.0
2024-01-16 08:00:00,122.44
2024-01-16 09:00:00,118.41
2024-01-16 10:00:00,102.84
2024-01-16 11:00:00,101.13
2024-01-16 12:00:00,97.8
2024-01-16 13:00:00,99.98
2024-01-16 14:00:00,102.84
2024-01-16 15:00:00,115.0
2024-01-16 16:00:00,122.15
2024-01-16 17:00:00,130.61
2024-01-16 18:00:00,129.26
2024-01-16 19:00:00,123.2
2024-01-16 20:00:00,115.48
2024-01-16 21:00:00,105.43
2024-01-16 22:00:00,105.0
2024-01-16 23:00:00,102.84
2024-01-17 00:00:00,111.84
2024-01-17 01:00:00,95.68
2024-01-17 02:00:00,91.43
2024-01-17 03:00:00,90.71
2024-01-17 04:00:00,95.57
2024-01-17 05:00:00,105.0
2024-01-17 06:00:00,130.0
2024-01-17 07:00:00,129.99
2024-01-17 08:00:00,131.9
