cell,market,host,config,seeds,n_seeds,n_failed_seeds,complete,switches,n_days,n_entries_evaluated,n_days_any_valid,overall_mae,host_mae,mae_gain_abs,mae_gain_pct,tail_mae,tail_mae_host,upper_tail_mae,lower_tail_mae,normal_mae,normal_mae_host,normal_relative_harm_pct,negative_price_mae,negative_price_mae_host,shape_w1_positive,shape_w1_negative,mass_positive_l1,mass_negative_l1,high_mass_positive_l1,high_mass_negative_l1,high_mass_positive_n_days,high_mass_negative_n_days,alpha,amplitude_scale,n_parameters,fit_seconds,inference_seconds,n_folds,final_epochs,branch_reconstruction_max_abs_err,alpha_consistency_max_abs_err
GANSU_DA::PatchTST,GANSU_DA,PatchTST,NO_TCN,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":false}",21.0,504.0,21.0,70.44736885546072,72.05343198019361,1.6060631247328843,2.2289890718520757,7.62575375649742,9.323661804199219,,7.62575375649742,70.71979249948832,72.42905934651692,-2.359918605115502,,,3.99885041118477,4.5201390216800394,546.5890499296643,685.4905188424246,1422.5979251861572,1376.1386617024739,4.0,3.0,0.8411324997658862,662.3440856933594,24612.0,13.81,0.033528,5.0,24.0,1.5160899181410059e-05,0.0
GANSU_DA::PatchTST,GANSU_DA,PatchTST,TIED_AMPLITUDE,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":false,""use_tcn"":true}",21.0,504.0,21.0,72.49386267914319,72.05343198019361,-0.44043069894958364,-0.6112556846295002,20.12508343876541,9.323661804199219,,20.12508343876541,72.8910546817756,72.42905934651692,0.6378590850509158,,,4.440163196610781,4.866444526457277,631.2245828537714,722.5553109305246,1336.7741718292236,2030.7497049967449,4.0,3.0,0.6329252338168202,662.3440856933594,47363.0,31.666,0.052788,5.0,23.0,1.3395653468251112e-05,0.0
GANSU_DA::TimeMixer,GANSU_DA,TimeMixer,FROZEN_SMALLEST,7|17|37,3,0,True,"{""rare_mass_sampling"":false,""shape_semantic_context"":false,""untied_amplitude_heads"":false,""use_tcn"":false}",21.0,504.0,21.0,69.68620769441972,75.85195459638324,6.165746901963516,8.128659221469173,44.18020854910598,65.28308868408203,,44.18020854910598,69.83893822822398,75.91524121861258,-8.004062020814386,,,3.3710524377814193,3.581163165141426,694.7622716994513,601.5240685599191,1518.6078186035156,1683.3674850463867,5.0,1.0,0.8867282746737332,765.7463684082031,24579.0,13.713,0.0343,5.0,18.0,6.771228072466329e-06,0.0
GANSU_DA::TimeMixer,GANSU_DA,TimeMixer,FULL,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":true}",21.0,504.0,21.0,73.98416684498994,75.85195459638324,1.8677877513932941,2.462412157118432,49.805999672096085,65.28308868408203,,49.805999672096085,74.12894628913901,75.91524121861258,-2.35301225524607,,,4.526486087134451,4.381395487048463,671.1096038818359,473.0742423647926,1693.4674011230468,1873.9269332885742,5.0,1.0,0.5437640494146405,765.7463684082031,47396.0,28.044,0.047749,5.0,20.0,2.2542151043580816e-05,0.0
GANSU_DA::TimeMixer,GANSU_DA,TimeMixer,NO_RARE_MASS,7|17|37,3,0,True,"{""rare_mass_sampling"":false,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":true}",21.0,504.0,21.0,74.53245446688396,75.85195459638324,1.319500129499275,1.739573009714098,36.5810926288299,65.28308868408203,,36.5810926288299,74.75970813058488,75.91524121861258,-1.5221358313281454,,,4.660765786922929,4.1587556206502265,687.8539377848307,487.75987497965497,1814.3815002441406,1827.0852584838867,5.0,1.0,0.8538626789217686,765.7463684082031,47396.0,25.723,0.041289,5.0,20.0,1.2789114180122851e-05,0.0
GANSU_DA::TimeMixer,GANSU_DA,TimeMixer,NO_SHAPE_CONTEXT,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":false,""untied_amplitude_heads"":true,""use_tcn"":true}",21.0,504.0,21.0,69.64447495108236,75.85195459638324,6.207479645300879,8.183677900367334,47.53312391916203,65.28308868408203,,47.53312391916203,69.82109887348557,75.91524121861258,-8.027561063235975,,,3.7594708290387033,3.534671165932629,729.5211726597378,517.0521825154623,1916.4188537597656,2057.7434616088867,5.0,1.0,0.820491225317214,765.7463684082031,47396.0,25.238,0.056124,5.0,19.0,7.230000278468651e-06,0.0
GANSU_DA::TimeMixer,GANSU_DA,TimeMixer,NO_TCN,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":false}",21.0,504.0,21.0,66.64158782905989,75.85195459638324,9.21036676732335,12.142556927283874,48.61810007433619,65.28308868408203,,48.61810007433619,66.66928143927039,75.91524121861258,-12.179319502807957,,,3.7653587715482706,3.556047993807829,639.0151708693732,474.06333887009396,996.5187316894531,1600.6602096557617,5.0,1.0,0.7745283141258529,765.7463684082031,24612.0,10.379,0.029927,5.0,21.0,1.9688505176418403e-05,0.0
GANSU_DA::TimeMixer,GANSU_DA,TimeMixer,TIED_AMPLITUDE,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":false,""use_tcn"":true}",21.0,504.0,21.0,80.68464546993147,75.85195459638324,-4.832690873548231,-6.37121468954033,23.72687292114675,65.28308868408203,,23.72687292114675,81.02570997621162,75.91524121861258,6.731808627048232,,,4.38799112566587,4.41917265030276,671.9649055117652,572.7245487031482,1646.657781982422,1813.3029708862305,5.0,1.0,0.7791302717890787,765.7463684082031,47363.0,27.497,0.053347,5.0,26.0,1.5062014000477575e-05,0.0
GANSU_DA::iTransformer,GANSU_DA,iTransformer,FROZEN_SMALLEST,7|17|37,3,0,True,"{""rare_mass_sampling"":false,""shape_semantic_context"":false,""untied_amplitude_heads"":false,""use_tcn"":false}",21.0,504.0,21.0,72.09127056293745,77.13809982178704,5.046829258849584,6.542589551089963,39.653872465835384,55.13475799560547,,39.653872465835384,72.30033468657238,77.26985635966835,-6.431384639780244,,,3.5718300898665185,3.9273402711508147,650.9185118902298,601.6703705560593,1426.9948516845702,2362.792304992676,5.0,1.0,1.2422737366200045,709.4296264648438,24579.0,12.002,0.028383,5.0,16.0,5.547501359615126e-06,0.0
GANSU_DA::iTransformer,GANSU_DA,iTransformer,FULL,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":true}",21.0,504.0,21.0,68.46436418553454,77.13809982178704,8.673735636252502,11.244424812500599,48.317395592792536,55.13475799560547,,48.317395592792536,68.73249838363593,77.26985635966835,-11.048756110395166,,,4.194737661465923,3.966185938010139,556.5477643694196,485.6704839070638,896.6277862548828,1938.7085037231445,5.0,1.0,0.6832131159643009,709.4296264648438,47396.0,28.302,0.049518,5.0,26.0,1.7885668171402358e-05,0.0
