component,on_config,off_config,claim,primary_metrics,secondary_metrics,diagnostic_metrics,n_cells,n_cells_primary_improved,n_cells_primary_worsened,n_cells_primary_tied,per_primary_cell_counts,median_delta_primary,per_primary_median_delta,median_delta_secondary,per_secondary_median_delta,median_delta_overall_mae,median_delta_normal_harm_pct,max_delta_normal_harm_pct,worst_normal_harm_cell,leave_one_cell_out_min_majority,n_seeds_with_majority_improvement,per_seed_majority,condition_1_majority_cells,condition_2_tail_or_relevant_improves,condition_3_overall_non_worse,condition_4_normal_harm_bounded,condition_5_not_one_cell_or_seed,decision,reason
shape_semantic_context,FULL,NO_SHAPE_CONTEXT,Shape semantic context improves the direct per-sign Shape Wasserstein distance against the realised signed-mass shape.,shape_w1_positive|shape_w1_negative,tail_mae,mass_positive_l1|mass_negative_l1|overall_mae,20,1,18,0,"{""shape_w1_negative"": 1, ""shape_w1_positive"": 2}",0.6527713493512111,"{""shape_w1_negative"": ""0.6527713493512111"", ""shape_w1_positive"": ""0.8755192911804337""}",6.048333997445201,"{""tail_mae"": ""6.048333997445201""}",3.8903237262188313,1.2269901841147728,42.63378081903019,GANSU_DA::LSTM,False,0,"{""shape_w1_negative"": {""17"": 3, ""37"": 1, ""7"": 3}, ""shape_w1_positive"": {""17"": 0, ""37"": 2, ""7"": 3}}",False,False,False,False,False,DELETED,primary mechanism does not improve in a majority of cells; median relevant tail/upper/lower metric does not improve; median Overall-MAE is worse; a cell gains more than 1.0% normal-region relative harm from this component alone; the effect does not survive leave-one-cell-out or is a single-seed artifact
use_tcn,FULL,NO_TCN,"The TCN is an executor, not a contribution: it is retained only if the temporal convolution improves the tail it exists to execute.",tail_mae,tail_mae,shape_w1_positive|shape_w1_negative|mass_positive_l1|mass_negative_l1|overall_mae,20,2,14,4,"{""tail_mae"": 2}",0.6372247874003278,"{""tail_mae"": ""0.6372247874003278""}",0.6372247874003278,"{""tail_mae"": ""0.6372247874003278""}",0.024637643369473494,0.008396547605121532,9.826307247561886,GANSU_DA::TimeMixer,False,0,"{""tail_mae"": {""17"": 4, ""37"": 7, ""7"": 6}}",False,False,False,False,False,DELETED,primary mechanism does not improve in a majority of cells; median relevant tail/upper/lower metric does not improve; median Overall-MAE is worse; a cell gains more than 1.0% normal-region relative harm from this component alone; the effect does not survive leave-one-cell-out or is a single-seed artifact
untied_amplitude_heads,FULL,TIED_AMPLITUDE,"Untied +/- Amplitude heads improve the direct per-sign mass error, and separately the upper and lower tails.",mass_positive_l1|mass_negative_l1,upper_tail_mae|lower_tail_mae,overall_mae|tail_mae,20,12,7,0,"{""mass_negative_l1"": 13, ""mass_positive_l1"": 12}",-4.539010733878968,"{""mass_negative_l1"": ""-4.539010733878968"", ""mass_positive_l1"": ""-0.0018481727290691197""}",0.7821864296054741,"{""lower_tail_mae"": ""0.0"", ""upper_tail_mae"": ""1.5643728592109483""}",-1.1137393002513818e-05,-1.7275659484377183e-05,8.85260376291033,GANSU_DA::LSTM,True,1,"{""mass_negative_l1"": {""17"": 10, ""37"": 18, ""7"": 14}, ""mass_positive_l1"": {""17"": 10, ""37"": 10, ""7"": 13}}",True,False,True,False,False,DELETED,median relevant tail/upper/lower metric does not improve; a cell gains more than 1.0% normal-region relative harm from this component alone; the effect does not survive leave-one-cell-out or is a single-seed artifact
rare_mass_sampling,FULL,NO_RARE_MASS,Rare-mass spread batching improves the direct mass error on the high-realised-mass subset without harming the normal region.,high_mass_positive_l1|high_mass_negative_l1,tail_mae,negative_price_mae|normal_relative_harm_pct|overall_mae,20,9,4,2,"{""high_mass_negative_l1"": 9, ""high_mass_positive_l1"": 9}",-0.08208521188726081,"{""high_mass_negative_l1"": ""0.03593599732994335"", ""high_mass_positive_l1"": ""-0.08208521188726081""}",-0.0002517679733955447,"{""tail_mae"": ""-0.0002517679733955447""}",-1.2527705649745258e-05,-4.293107407993195e-05,5.030350876097837,GANSU_DA::LSTM,False,1,"{""high_mass_negative_l1"": {""17"": 8, ""37"": 10, ""7"": 11}, ""high_mass_positive_l1"": {""17"": 6, ""37"": 6, ""7"": 11}}",False,True,True,False,False,DELETED,primary mechanism does not improve in a majority of cells; a cell gains more than 1.0% normal-region relative harm from this component alone; the effect does not survive leave-one-cell-out or is a single-seed artifact
