market,host,method,seed,Overall_MAE,Tail_MAE,Normal_MAE,MSE,RMSE,relative_gain_vs_host_pct,Normal_harm_vs_host_pct,Tail_harm_vs_host_pct,parameter_count,training_seconds,inference_seconds,inference_seconds_per_day,fidelity,source,backbone_parameter_count
LAGO_DE,PatchTST,Host,-1,4.7565226554870605,7.4154953956604,4.3458251953125,40.92784118652344,6.39748709936358,0.0,0.0,0.0,6582296.0,1945.278693299988,5.513055600022199,0.0505784917433229,FROZEN_HOST,frozen Host cache,
LAGO_DE,TimeMixer,Host,-1,4.70658016204834,7.1415534019470215,4.330480575561523,40.77216339111328,6.385308402192746,0.0,0.0,0.0,178463.0,17.76762990000134,0.7446431999997003,0.0068315889908229,FROZEN_HOST,frozen Host cache,
LAGO_PJM,PatchTST,Host,-1,3.019613027572632,10.558648109436035,2.7817885875701904,19.00141906738281,4.359061718693923,0.0,0.0,0.0,6582296.0,1000.8605346000112,4.4601663000066765,0.0409189568807952,FROZEN_HOST,frozen Host cache,
LAGO_PJM,TimeMixer,Host,-1,3.2211556434631348,9.623579978942873,3.019186496734619,20.96799087524414,4.579081881255689,0.0,0.0,0.0,178463.0,8.755758200015407,0.4026684999989811,0.003694206422009,FROZEN_HOST,frozen Host cache,
GANSU_DA,PatchTST,Host,-1,72.05342864990234,102.734130859375,68.82388305664062,8323.4677734375,91.23304101824895,0.0,0.0,0.0,6582296.0,210.46707479999168,0.8880989000026602,0.0422904238096504,FROZEN_HOST,frozen Host cache,
GANSU_DA,TimeMixer,Host,-1,75.8519515991211,157.5843505859375,67.24855041503906,8859.599609375,94.12544613108084,0.0,0.0,0.0,178463.0,1.5263875999953598,0.0760044999769888,0.0036192619036661,FROZEN_HOST,frozen Host cache,
LAGO_DE,PatchTST,S1_DailyPatch_GRU32,7,4.256537275988756,6.607942724671064,3.8933457900934303,34.55855783172736,5.878652722497508,10.511573595082703,-10.411816596984863,-10.8900728225708,14872.0,17.288245900010224,0.0020981000270694,1.924862410155458e-05,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),
LAGO_DE,PatchTST,MatchedDirectResidual,7,5.582400683521589,7.750545200091474,5.24751516684045,57.94257580094738,7.612002088869089,-17.363063057879206,20.748424530029297,4.518234729766846,15000.0,0.580071400036104,0.0001284999889321,1.178898981029014e-06,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,
LAGO_DE,PatchTST,delta_Adapter_AdaY,7,4.741259964733578,7.468308133467408,4.3200477586184665,40.69385935560567,6.379173877204294,0.3208791770575487,-0.5931496620178223,0.7121920585632324,289816.0,0.1509666999918408,0.0009789000032469,8.98073397474278e-06,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,
LAGO_DE,TimeMixer,S1_DailyPatch_GRU32,7,4.330099683287419,6.630413492558692,3.974799668616217,35.680270155004656,5.973296422830919,7.999024042906632,-8.213430404663086,-7.157266139984131,14872.0,18.5771121000289,0.0005501999985426,5.047706408648316e-06,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),
