Timestamp,Lithuania
2024-01-01 00:00:00,38.37
2024-01-01 01:00:00,28.46
2024-01-01 02:00:00,26.66
2024-01-01 03:00:00,24.48
2024-01-01 04:00:00,24.01
2024-01-01 05:00:00,21.23
2024-01-01 06:00:00,22.62
2024-01-01 07:00:00,25.04
2024-01-01 08:00:00,26.24
2024-01-01 09:00:00,32.21
2024-01-01 10:00:00,41.34
2024-01-01 11:00:00,43.51
2024-01-01 12:00:00,58.64
2024-01-01 13:00:00,61.14
2024-01-01 14:00:00,60.34
2024-01-01 15:00:00,77.56
2024-01-01 16:00:00,68.4
2024-01-01 17:00:00,74.16
2024-01-01 18:00:00,65.01
2024-01-01 19:00:00,55.91
2024-01-01 20:00:00,48.15
2024-01-01 21:00:00,64.94
2024-01-01 22:00:00,45.2
2024-01-01 23:00:00,38.0
2024-01-02 00:00:00,38.0
2024-01-02 01:00:00,33.56
2024-01-02 02:00:00,32.03
2024-01-02 03:00:00,53.5
2024-01-02 04:00:00,76.48
2024-01-02 05:00:00,180.05
2024-01-02 06:00:00,110.09
2024-01-02 07:00:00,483.08
2024-01-02 08:00:00,250.03
2024-01-02 09:00:00,120.0
2024-01-02 10:00:00,110.02
2024-01-02 11:00:00,98.1
2024-01-02 12:00:00,128.1
2024-01-02 13:00:00,100.1
2024-01-02 14:00:00,100.09
2024-01-02 15:00:00,97.14
2024-01-02 16:00:00,99.25
2024-01-02 17:00:00,94.89
2024-01-02 18:00:00,91.7
2024-01-02 19:00:00,88.52
2024-01-02 20:00:00,100.06
2024-01-02 21:00:00,100.02
2024-01-02 22:00:00,40.99
2024-01-02 23:00:00,38.35
2024-01-03 00:00:00,49.08
2024-01-03 01:00:00,49.06
2024-01-03 02:00:00,49.05
2024-01-03 03:00:00,49.05
2024-01-03 04:00:00,49.07
2024-01-03 05:00:00,86.7
2024-01-03 06:00:00,95.05
2024-01-03 07:00:00,131.51
2024-01-03 08:00:00,132.95
2024-01-03 09:00:00,128.81
2024-01-03 10:00:00,98.93
2024-01-03 11:00:00,129.91
2024-01-03 12:00:00,118.79
2024-01-03 13:00:00,97.05
2024-01-03 14:00:00,96.19
2024-01-03 15:00:00,119.02
2024-01-03 16:00:00,129.91
2024-01-03 17:00:00,147.62
2024-01-03 18:00:00,118.8
2024-01-03 19:00:00,95.1
2024-01-03 20:00:00,85.82
2024-01-03 21:00:00,76.38
2024-01-03 22:00:00,65.0
2024-01-03 23:00:00,58.12
2024-01-04 00:00:00,129.25
2024-01-04 01:00:00,106.34
2024-01-04 02:00:00,94.42
2024-01-04 03:00:00,97.79
2024-01-04 04:00:00,121.44
2024-01-04 05:00:00,180.21
2024-01-04 06:00:00,148.11
2024-01-04 07:00:00,379.25
2024-01-04 08:00:00,299.99
2024-01-04 09:00:00,300.0
