dataset,backbone,evidence_status,effective_rank,first_eval_ratio,top3_eval_ratio,max_offdiag_corr,acf_lag1,acf_lag2,acf_lag3,acf_lag4,acf_lag5,acf_lag6
LAGO_BE,Linear,COMPUTED,4.0,0.8422457888099245,0.9497037253798163,0.9551022944774198,0.6388116609044835,0.34686989514852984,0.13207477909991153,-0.01328219619050513,-0.1551327473080725,-0.2515411852578241
LAGO_BE,LSTM,COMPUTED,5.0,0.8227651052659244,0.9360924564269856,0.9071803182567866,0.5737476591052741,0.3113338058336877,0.12754433279425723,0.04348976151955942,-0.03765755380049788,-0.10148889925316507
LAGO_BE,MLP,COMPUTED,5.0,0.8490722578187416,0.9425140210016631,0.8973016211513335,0.5717282829574557,0.3020014719145064,0.10292017026123493,-0.003422698967974946,-0.08463641941017593,-0.1234670789537391
LAGO_BE,PatchTST,COMPUTED,5.0,0.8229787466395097,0.9341980602699387,0.8896958262603075,0.5575020644795757,0.28511487190625057,0.12024181782284363,0.038484776732193124,-0.04312818864829265,-0.10879244354835303
LAGO_BE,TCN,COMPUTED,4.0,0.8561529734973996,0.9478448547794419,0.9154382623337408,0.5711209106880176,0.31160620077483114,0.13142875544747895,0.035814215524585566,-0.03890419716902125,-0.10967052989364982
LAGO_DE,Linear,COMPUTED,3.0,0.9206511742366915,0.983082748624924,0.9652136213681779,0.7134001254351291,0.43002023420910157,0.19076549526367456,0.04508721213362385,-0.06462676229868093,-0.11619106611088167
LAGO_DE,LSTM,COMPUTED,3.0,0.9273721999362783,0.9806003735795765,0.9578967590154859,0.7114134606838219,0.4112623163965502,0.1732667206293185,0.03413370385370933,-0.06929883228285941,-0.15783339418377365
LAGO_DE,MLP,COMPUTED,3.0,0.8699334320346385,0.990286039262273,0.9823351887918027,0.7125110518912122,0.4166825688255076,0.19051707565878226,0.03532413743806422,-0.07753450800138044,-0.14440835762007675
LAGO_DE,PatchTST,COMPUTED,4.0,0.912915569121283,0.9784786629048435,0.9526971659941007,0.6879071343575016,0.39237975722499774,0.1582310958209261,0.013471980883529128,-0.11029892132177424,-0.2052016046637514
LAGO_DE,TCN,COMPUTED,4.0,0.9196345939346539,0.9743596963618656,0.9528729825884847,0.7054602530013542,0.4128382654824772,0.1796526765464903,0.032730343579950444,-0.06540666053435086,-0.15637666362402888
LAGO_FR,Linear,COMPUTED,4.0,0.9221268277782995,0.9834576177696956,0.9602372122844738,0.6881469846936974,0.4005932996623083,0.17429972145783898,-0.006166949647990437,-0.1405759662833585,-0.25630879774813603
LAGO_FR,LSTM,COMPUTED,3.0,0.9154369365457292,0.9846814208690641,0.9419660882828483,0.623977037677749,0.326266342907068,0.1419732958948993,0.039810148906381584,-0.04719554299763465,-0.09801191366815665
LAGO_FR,MLP,COMPUTED,3.0,0.9442108126115801,0.986969983927102,0.944552678917807,0.6306295483215935,0.3247543259495199,0.14233507547546795,0.039726817920504295,-0.04542553478442415,-0.10496638408199709
LAGO_FR,PatchTST,COMPUTED,3.0,0.8946095942086333,0.9795327419744073,0.9282611456419654,0.637594925072033,0.32439226434362833,0.13929247208367057,0.014633150766633156,-0.05243158371063857,-0.08820639570223322
LAGO_FR,TCN,COMPUTED,3.0,0.9123970362230082,0.9829552355038031,0.9421124505939361,0.6227284028205321,0.3379169062629251,0.15078995790072233,0.06715485812189873,-0.028306750989003482,-0.04883727994249887
LAGO_PJM,Linear,COMPUTED,2.0,0.9577160031304368,0.9964194775289158,0.9885776335082774,0.7803964326348359,0.5128164746360101,0.3150283051262725,0.14363635727660592,-0.008325653637086174,-0.11333370867594818
LAGO_PJM,LSTM,COMPUTED,3.0,0.8543829883771871,0.9855186483234535,0.9554373535224255,0.6850047449359247,0.3678412608126949,0.14309097293639733,0.007617032156459554,-0.12000345412471057,-0.19228216044090432
LAGO_PJM,MLP,COMPUTED,3.0,0.8757950847014565,0.9832113394767136,0.9456421426716266,0.7081929068273166,0.3842679401000477,0.1848484572673737,0.039354818905054066,-0.05179223724653367,-0.12312854951016217
