dataset,backbone,split,currency,neg_price_market,evidence_status,n,n_days,mean,median,std,mad,iqr,min,max,skewness,excess_kurtosis,pi_neg,pi_pos,M_neg,M_pos,m_neg,m_pos,top1_pct_contrib,top10_pct_contrib,q1,q5,q10,q25,q50,q100,q250,q500,q750,q900,q950,q975,q990,q995,q999
LAGO_BE,Linear,S2,EUR,True,COMPUTED,10444,436,1.0386905640029116,1.374495506286621,8.488759100641948,7.455444390678405,10.050104141235352,-158.89358139038086,27.60936450958252,-1.4738232956004567,16.973503312661,0.42253925698965916,0.5774607430103409,-2.6895487759589054,3.728239339961817,6.365204490395379,6.456264577443411,0.0009809814239471572,0.004288169442852599,-42.12626153564453,-26.009841537475587,-22.054061317443846,-16.70027904510498,-12.860818481445312,-9.03558578491211,-3.6073074340820312,1.374495506286621,6.44279670715332,11.027823829650886,13.644125032424927,16.345818328857415,18.98801807403564,20.61751952648163,23.809258537292685
LAGO_BE,Linear,S3,EUR,True,COMPUTED,5222,218,-0.6826408935752878,1.8884525299072266,23.02248674291504,9.184582122802734,12.830640316009521,-403.5265884399414,94.90499877929688,-8.061899877140515,108.84140147825195,0.42091152815013405,0.579088471849866,-5.624183795042122,4.941542901466835,13.361914366565042,8.533312510403375,0.0006896380359460611,0.003230228888442926,-316.26571601867676,-145.21737098693848,-55.14733310699463,-30.89045877456665,-23.39602565765381,-14.861475944519043,-5.4199042320251465,1.8884525299072266,7.410736083984375,13.309321403503448,17.576489162445068,23.26340775489804,37.12035999298091,46.95103368759154,77.56589924621504
LAGO_BE,LSTM,S2,EUR,True,COMPUTED,10444,436,-0.4275334270603952,-0.0034656524658203125,7.608607947027073,6.435833103561401,8.699693202972412,-161.53499221801758,28.010173797607422,-1.8228286418744388,25.360956332510916,0.5001914975105324,0.4998085024894676,-2.994107659819116,2.566574232758721,5.985922741031938,5.135115189067449,0.0011991530311066074,0.005239724133191469,-42.12632536125183,-24.87957130432129,-20.53089725494385,-15.918270874023438,-12.747187614440918,-9.572921752929688,-4.498783588409424,-0.0034656524658203125,4.200909614562988,8.21833229064942,10.724949169158936,13.099826765060405,16.094688892364502,17.70465503692627,21.719368970870992
LAGO_BE,LSTM,S3,EUR,True,COMPUTED,5222,218,-2.411976519967806,0.12430763244628906,21.9361404663188,8.541942461013793,11.606286525726318,-393.9143600463867,78.58264541625977,-8.921011866409561,122.44906179566333,0.4948295672156262,0.5051704327843738,-5.962259880111209,3.5502833601434034,12.0491180704105,7.02789223148933,0.0007391850967230412,0.0034619332119812793,-310.81882239532473,-144.30783838272094,-55.79873466491699,-30.265992832183837,-23.036096382141114,-14.867067337036133,-6.21322774887085,0.12430763244628906,5.393058776855469,11.062030410766605,14.668002510070794,18.065193676948493,22.810129089355467,29.87688652515408,65.6588711509701
LAGO_BE,MLP,S2,EUR,True,COMPUTED,10444,436,0.9325081750972404,1.0613651275634766,8.345285039706502,7.163774410629272,9.660725116729736,-163.0131607055664,34.0533332824707,-1.4617347318323435,19.299325499714506,0.43958253542703946,0.5604174645729606,-2.6385608781892445,3.571069053286485,6.0024242674381325,6.37215875491612,0.0010020026955168233,0.00459190074476333,-42.55217110252381,-25.81210172653198,-21.21780590057373,-15.986401557922363,-12.189947128295898,-8.570573043823241,-3.6592445373535156,1.0613651275634766,6.001480579376221,10.81881675720215,13.641517162323,16.42430243492126,19.261475067138665,21.278613872528062,26.37490921974223
LAGO_BE,MLP,S3,EUR,True,COMPUTED,5222,218,-2.199441348408338,0.7849292755126953,23.0832059075302,9.942376884841918,13.590167999267578,-390.12514877319336,42.13318634033203,-8.92009816354818,117.20020435317763,0.47050938337801607,0.5294906166219839,-6.31078667652785,4.111345328119513,13.412669118774291,7.764718012094066,0.0006829272169075738,0.0033076232493451712,-347.2419281311035,-141.09343654632568,-52.36369512557983,-32.040667819976804,-24.125955009460448,-16.51555938720703,-6.579282760620117,0.7849292755126953,7.010885238647461,12.481633758544925,16.019468975067138,18.587944126129123,22.624057121276856,25.461017003059265,32.228362627028844
LAGO_BE,PatchTST,S2,EUR,True,COMPUTED,10444,436,0.045079786902238635,0.47352027893066406,7.50607345949298,6.341140217971802,8.542339324951172,-163.06598281860352,28.247333526611328,-1.95524346717102,28.051542678455146,0.46869015702795863,0.5313098429720413,-2.713880149124683,2.7589599360269217,5.790350209899528,5.192751409599058,0.0012396746801607123,0.005360497054421764,-40.17082355117798,-24.623422183990478,-20.54941520690918,-15.343834447860718,-12.075311374664308,-8.609570693969726,-3.952263832092285,0.47352027893066406,4.590075492858887,8.549686050415044,10.96436653137207,13.112598299980162,16.128298339843738,18.1715486717224,22.97950575256352
LAGO_BE,PatchTST,S3,EUR,True,COMPUTED,5222,218,-1.6202831035462069,1.2531604766845703,22.0756725530574,8.544117066192626,11.605228424072266,-393.4920845031738,51.05532455444336,-9.301783497500333,126.90894343529186,0.4389122941401762,0.5610877058598238,-5.577077445560194,3.956794342013987,12.706587443593078,7.0520068443675905,0.0007416476323704534,0.0034639458035955937,-320.6590376434326,-142.91905780792237,-55.957828712463375,-30.75557622909546,-22.492840576171876,-14.32906036376953,-5.075610160827637,1.2531604766845703,6.529618263244629,11.43450622558594,14.910632133483878,18.317194461822492,22.416670722961424,25.658325996398876,40.18613475036601
LAGO_BE,TCN,S2,EUR,True,COMPUTED,10444,436,1.035571328698845,1.4998970031738281,7.7538579803595225,6.511358922958373,8.812819480895996,-161.53943634033203,38.66645431518555,-1.7346214247330438,24.389323064452245,0.4086556874760628,0.5913443125239372,-2.378846604298604,3.4144179329974484,5.821151343789742,5.773993020114209,0.0011268641728870842,0.0049202580867721436,-38.63183067703247,-23.654824247360228,-19.53660120010376,-14.517486572265625,-11.621775341033935,-8.302129745483398,-3.096904754638672,1.4998970031738281,5.715914726257324,9.826228904724122,12.545907402038576,14.970631337165823,18.206189556121824,19.881503934860223,24.93396848535558
LAGO_BE,TCN,S3,EUR,True,COMPUTED,5222,218,-1.44198551647328,1.1465339660644531,21.95350205455264,8.806885157775879,12.097835540771484,-392.89762115478516,49.9193115234375,-9.23790611494532,126.6186145541918,0.4486786671773267,0.5513213328226733,-5.532449192673893,4.090463676200613,12.330537637278304,7.419382187259326,0.0007481999181943592,0.0034595707219566172,-314.1824801864624,-141.3861604118347,-54.06957420349121,-29.10317583084106,-21.786602210998534,-13.92849006652832,-5.4259138107299805,1.1465339660644531,6.671921730041504,12.298366546630868,15.933247756958007,19.45560598373409,24.13417526245117,27.307518758773746,39.05726054000764
