bin,n,yhat_lo,yhat_hi,pi_neg,pi_pos,m_neg,m_pos,M_neg,M_pos,mean_ci_lo,mean_ci_hi,dataset,backbone,evidence_status
0,1045,8.42000675201416,28.15626754760742,0.6449760765550239,0.3550239234449761,6.4467618090462615,6.820896754036293,4.158007138083426,2.421581527031067,-2.730290265821858,-0.7825037496558188,LAGO_BE,Linear,COMPUTED
1,1044,28.15626754760742,32.33862457275391,0.5996168582375478,0.4003831417624521,5.750465770879874,5.3470224752380515,3.4480762189375485,2.1408576577102543,-1.8948190821415574,-0.648730095191364,LAGO_BE,Linear,COMPUTED
2,1044,32.33862457275391,35.63463516235352,0.5335249042145593,0.4664750957854406,6.158120653573658,4.915522244431889,3.2855107318395853,2.2929687098068294,-1.5446673730386749,-0.4033371817265926,LAGO_BE,Linear,COMPUTED
3,1045,35.63463516235352,39.25000228881836,0.5119617224880383,0.4880382775119617,6.775186364004545,5.3201877238703705,3.468636081093236,2.59645525279798,-1.4448849520163032,-0.2757422386728718,LAGO_BE,Linear,COMPUTED
4,1044,39.25000228881836,42.98920822143555,0.48084291187739464,0.5191570881226054,6.7535900936658635,5.331896187194599,3.2474159262646203,2.76809169871597,-1.1064276364828982,0.16401449347379915,LAGO_BE,Linear,COMPUTED
5,1044,42.98920822143555,46.3633659362793,0.3975095785440613,0.6024904214559387,6.751948115337326,5.13475926312809,2.6839640496791097,3.093643272516828,-0.09643158205667726,0.9164835014598902,LAGO_BE,Linear,COMPUTED
6,1045,46.3633659362793,49.70436668395996,0.3263157894736842,0.6736842105263158,5.694741022551864,6.2747488644990055,1.8582839126221873,4.227199235030909,1.8290023545984389,2.9238433270681616,LAGO_BE,Linear,COMPUTED
7,1044,49.70436668395996,53.29667282104492,0.31226053639846746,0.6877394636015326,7.022196880878846,6.157369927111442,2.1927549647188735,4.234666290867831,1.4442078392888535,2.686283729281444,LAGO_BE,Linear,COMPUTED
8,1044,53.29667282104492,58.39685173034668,0.2442528735632184,0.7557471264367817,6.254722640093635,7.623027438899864,1.5277339781837902,5.761081081697311,3.4912704980617884,4.9559445990659015,LAGO_BE,Linear,COMPUTED
9,1044,58.39685173034668,83.23140716552734,0.17337164750957854,0.8266283524904214,5.8269836678689355,9.376979995851308,1.0102337585098442,7.751277525306206,5.9353195082838806,7.514888636229807,LAGO_BE,Linear,COMPUTED
0,1045,1.3564032316207886,25.390623664855955,0.7511961722488039,0.24880382775119617,8.05983060788197,5.611006583602956,6.054513901614686,1.3960399155375776,-5.643652994879939,-3.7152034012550814,LAGO_BE,LSTM,COMPUTED
1,1044,25.390623664855955,30.461107635498045,0.7442528735632183,0.2557471264367816,5.6808149983370475,4.650574555557765,4.227962886693377,1.1893710788639111,-3.6367403953979216,-2.454947283082609,LAGO_BE,LSTM,COMPUTED
2,1044,30.461107635498045,34.64737243652344,0.6139846743295019,0.38601532567049807,5.661773955394251,3.774633149651085,3.476242438129995,1.4570662445492215,-2.480005951345877,-1.4993856091604625,LAGO_BE,LSTM,COMPUTED
3,1044,34.64737243652344,38.665435791015625,0.578544061302682,0.421455938697318,5.907423543614268,4.3725419304587625,3.41770480875768,1.8428337637948808,-2.110671552024058,-1.0575890676449344,LAGO_BE,LSTM,COMPUTED
4,1045,38.665435791015625,42.350847244262695,0.49473684210526314,0.5052631578947369,5.594224070211443,4.450133190010533,2.767668750525661,2.2484883486369007,-0.9885018543627546,-0.010647910728308951,LAGO_BE,LSTM,COMPUTED
5,1044,42.350847244262695,45.460424804687506,0.44061302681992337,0.5593869731800766,5.356383390011994,4.69002949048395,2.3600922982811467,2.6235414008071136,-0.1894786359834479,0.7035954927568978,LAGO_BE,LSTM,COMPUTED
