candidate,mean_gain,gain_ci_lo,gain_ci_hi,harm_rate,tail_gain,normal_gain,dataset,backbone,evidence_status
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_BE,Linear,INVALID_ORACLE_DIAGNOSTIC
mean_residual,-0.12722752585002892,-0.1649854495461903,-0.09255172235449435,0.5934507851397932,0.192806969941113,-0.14413257381319003,LAGO_BE,Linear,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.1491319918623376,0.05271073498562399,0.2518562696572459,0.4605515128303332,-0.5333797221875373,0.18518402191900438,LAGO_BE,Linear,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,1.2690971919583183,1.124091511468414,1.4114675775877352,0.10245116813481425,3.60634686094304,1.145637632830496,LAGO_BE,Linear,INVALID_ORACLE_DIAGNOSTIC
partial_moment_pos,1.8074450559918254,1.6742781482145943,1.9497224512545102,0.10168517809268479,1.772919972281994,1.8092687600103692,LAGO_BE,Linear,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_neg,0.5838230892325885,0.28729248652668604,0.8784042733850669,0.20298736116430485,8.56794509001117,0.1620811609656554,LAGO_BE,Linear,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_pos,1.7245572071797888,1.4955521283692117,1.9739885240107902,0.1882420528533129,3.0615701373202957,1.6539327338538186,LAGO_BE,Linear,INVALID_ORACLE_DIAGNOSTIC
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_BE,LSTM,INVALID_ORACLE_DIAGNOSTIC
mean_residual,-0.30065246844833154,-0.4222437329842266,-0.17646186341371917,0.5630026809651475,1.693907174328535,-0.4060102560304967,LAGO_BE,LSTM,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.000730899867770408,-0.005851686236720996,0.007291515178452835,0.4963615472998851,-0.0873000166798366,0.005380920056373842,LAGO_BE,LSTM,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,1.4107132526556716,1.2551544233051546,1.56239030949862,0.1344312523937189,5.074747913224426,1.2171694863111124,LAGO_BE,LSTM,INVALID_ORACLE_DIAGNOSTIC
partial_moment_pos,1.1683160176219711,1.0777474357948607,1.2622944702165801,0.08828035235541938,0.5284772940671477,1.202113950196843,LAGO_BE,LSTM,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_neg,0.6862211657658729,0.38957551813453284,0.9732520681676208,0.23726541554959785,10.255547059929544,0.1807446770015821,LAGO_BE,LSTM,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_pos,1.1936864377238638,1.0250229893289933,1.3737030269154142,0.1767522022213711,1.0461366298781831,1.2014803993479706,LAGO_BE,LSTM,INVALID_ORACLE_DIAGNOSTIC
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_BE,MLP,INVALID_ORACLE_DIAGNOSTIC
mean_residual,-0.3219014956316427,-0.4360970716988412,-0.2070842200231085,0.575450019149751,1.7461213758356269,-0.4311398005357607,LAGO_BE,MLP,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.023537042633138456,-0.01860597368695835,0.06492929393605697,0.48506319417847565,-0.6231499591856512,0.057696718938889044,LAGO_BE,MLP,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,1.5201054477508222,1.3635588780023855,1.6815434333220018,0.11853695901953275,5.6604384312368135,1.3014023748328123,LAGO_BE,MLP,INVALID_ORACLE_DIAGNOSTIC
partial_moment_pos,1.5186696818144356,1.407087743788357,1.6284411440880795,0.07736499425507469,0.42368825900468254,1.5765094263257573,LAGO_BE,MLP,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_neg,0.8298987725997585,0.4936985008111912,1.1582193285287743,0.223094599770203,12.030447492030374,0.23825688459757682,LAGO_BE,MLP,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_pos,1.717296167963895,1.5087926422818305,1.9179119935955993,0.15702795863653773,0.8001808638417547,1.7657405650767979,LAGO_BE,MLP,INVALID_ORACLE_DIAGNOSTIC
