dataset,backbone,evidence_status,S2_skew,S2_kurtosis,S2_pi_neg,S2_mean_ci_lo,S2_mean_ci_hi,S3_skew,S3_kurtosis,S3_pi_neg,S3_mean_ci_lo,S3_mean_ci_hi,skew_rm3,M_neg_rm3,M_pos_rm3,skew_rm5,M_neg_rm5,M_pos_rm5,skew_rm10,M_neg_rm10,M_pos_rm10
LAGO_BE,Linear,COMPUTED,-1.4738232956004567,16.973503312661,0.42253925698965916,0.6464330869632123,1.4446569400912794,-8.061899877140515,108.84140147825195,0.42091152815013405,-2.184153503345423,1.033711222727654,5.166912078857422,-6.293112297014855,6.456264577443411,5.166065216064453,-6.262809090735475,6.456264577443411,5.161434173583984,-6.209475920142408,6.456264577443411
LAGO_BE,LSTM,COMPUTED,-1.8228286418744388,25.360956332510916,0.5001914975105324,-0.7560602705249583,-0.08984048282901272,-8.921011866409561,122.44906179566333,0.4948295672156262,-3.8182783308393637,-0.7724659415512812,4.3368072509765625,-5.92541680567065,5.135115189067449,4.335746765136719,-5.900057565071821,5.135115189067449,4.327613830566406,-5.857911016550565,5.135115189067449
LAGO_BE,MLP,COMPUTED,-1.4617347318323435,19.299325499714506,0.43958253542703946,0.5719530733818181,1.3236842035418979,-8.92009816354818,117.20020435317763,0.47050938337801607,-3.6616263071400557,-0.5008127762543347,4.902036666870117,-5.932407164957566,6.37215875491612,4.9008331298828125,-5.902434348134016,6.37215875491612,4.897911071777344,-5.8544452031759215,6.37215875491612
LAGO_BE,PatchTST,COMPUTED,-1.95524346717102,28.051542678455146,0.46869015702795863,-0.2824388945531882,0.38984597003710064,-9.301783497500333,126.90894343529186,0.4389122941401762,-3.0078490686354664,0.028686740370597236,4.282360076904297,-5.725474330117638,5.192751409599058,4.281948089599609,-5.698499982829961,5.192751409599058,4.281459808349609,-5.652872076786163,5.192751409599058
LAGO_BE,TCN,COMPUTED,-1.7346214247330438,24.389323064452245,0.4086556874760628,0.6914522381903417,1.3914676928821053,-9.23790611494532,126.6186145541918,0.4486786671773267,-2.829348893973934,0.18807580338915264,4.566638946533203,-5.7476573153370545,5.773993020114209,4.565868377685547,-5.7169952760301985,5.773993020114209,4.563387870788574,-5.665682275371518,5.773993020114209
LAGO_DE,Linear,COMPUTED,0.23114851591234245,7.9405880598674425,0.5786097280735351,-1.4165763074654538,-0.8112907085737431,2.1870801601700713,48.76368148887088,0.5545767905017235,-1.1919867663450143,-0.3790943813786682,3.562091827392578,-4.866944211148325,3.998689072878744,3.561595916748047,-4.855240579402055,3.998689072878744,3.5609054565429688,-4.831678854076148,3.998689072878744
LAGO_DE,LSTM,COMPUTED,0.37997587167661845,8.088472644911086,0.5814821907315205,-1.2891974227415968,-0.7268152804924753,5.326476081567593,104.76734887804393,0.6026426656453466,-1.1483928867365458,-0.5221049352789424,3.2973899841308594,-4.4773779075209985,3.788236054620832,3.296642303466797,-4.471560750360022,3.781166168911208,3.2940425872802734,-4.455589208427458,3.7762543442878793
LAGO_DE,MLP,COMPUTED,-2.3804110580175792,18.223115103171935,0.5451934124856377,-1.364729018859312,-0.5708982276410639,0.4971967412898986,12.275334423233614,0.49712753734201454,-0.4540318475621266,0.34434324624521173,3.8088531494140625,-5.583226381779386,4.593738872442199,3.8083229064941406,-5.558083699289696,4.593738872442199,3.804311752319336,-5.4983214400948714,4.593738872442199
LAGO_DE,PatchTST,COMPUTED,0.7391528094978799,11.021948227886748,0.5851206434316354,-1.174830150792368,-0.6413145803300789,5.433924068031027,106.95860920522782,0.6317502872462658,-1.3792890507329447,-0.726636938721206,3.323711395263672,-4.323834836369006,3.895575025735324,3.3222732543945312,-4.317788006995123,3.887567311197478,3.3207626342773438,-4.305582591483929,3.8768612021119306
LAGO_DE,TCN,COMPUTED,0.514716392544417,9.563418256198215,0.5725775564917656,-1.1460582240899555,-0.6187170448196054,4.945889788643199,99.59648803134522,0.5861738797395634,-1.115650483272252,-0.47822548306804297,3.257455825805664,-4.349981088616751,3.738697812224224,3.2559032440185547,-4.3436896380247045,3.732021666019988,3.2539868354797363,-4.327268680343443,3.7267137744956274
LAGO_FR,Linear,COMPUTED,-0.16220250476915202,0.7714477909911359,0.4190923018000766,0.8800741494573568,1.6171022885928021,0.26906283066491266,1.0681312536942489,0.4768288012255841,0.20817692524508202,1.1812221084226702,4.433917999267578,-4.9403214812530845,5.7082360924451985,4.433771133422852,-4.92897568969269,5.7082360924451985,4.433070182800293,-4.901839595683002,5.7082360924451985
LAGO_FR,LSTM,COMPUTED,-0.0572036305804405,0.8640179099701384,0.427230945997702,0.6965486442626567,1.3055240571463953,0.4550115772543256,0.9396809260327315,0.5582152432018384,-0.8023048628236231,0.08043310869523644,3.8485794067382812,-4.281855793825632,4.965801575354702,3.84625244140625,-4.271911802294812,4.965801575354702,3.8437509536743164,-4.253351319881602,4.962553148619897
LAGO_FR,MLP,COMPUTED,-0.20649710888013142,1.0786027496185424,0.3480467253925699,1.896096268839092,2.526761222846286,0.268238465061738,1.2235012440028061,0.4040597472232861,1.0795774297111576,1.9882862929237732,4.210100173950195,-4.046808261761754,5.580482520009868,4.208427429199219,-4.033688805378542,5.580482520009868,4.205426216125488,-4.02213391769357,5.571587017888125
