cell,method,status,selected,n_hours,mae,smape_nofloor,rmse,rmae,neg_price_rate,neg_price_mae,high_tail_rate,high_tail_mae,host_mae,host_rmae,degradation,degradation_frac,delta_crps,a1_net,a2_net,note
shandong_DA:PatchTST,B6_HCH-Local,OK,C0,7968,95.542488,46.304591,123.275246,0.292042,0.1166,117.292973,0.0501,116.353841,121.817232,0.372355,-26.274743,-0.21569,-0.098296,0.058140387897779804,0.058140387897779804,
shandong_RT:Linear,B0_Identity,OK,,7968,173.986642,63.742917,253.765434,0.53146,0.1629,343.249917,0.0501,210.73082,173.986642,0.53146,0.0,0.0,,,,
shandong_RT:Linear,B1_ResidualL1,OK,,7968,121.419034,52.376465,166.220857,0.370887,0.1629,134.796396,0.0501,198.303297,173.986642,0.53146,-52.567608,-0.302136,,,,
shandong_RT:Linear,B2_QuantileResidual,OK,,7968,121.419034,52.376465,166.220857,0.370887,0.1629,134.796396,0.0501,198.303297,173.986642,0.53146,-52.567608,-0.302136,,,,
shandong_RT:Linear,B3_DeltaAdapter,OK,,7968,114.545257,53.581152,156.346561,0.34989,0.1629,128.240464,0.0501,220.564937,173.986642,0.53146,-59.441385,-0.341643,,,,
shandong_RT:Linear,B4_PIR,OK,,7968,111.860321,51.74743,152.56441,0.341689,0.1629,126.799089,0.0501,233.076365,173.986642,0.53146,-62.126321,-0.357075,,,,
shandong_RT:Linear,B5_HCH-Universal,OK,C3,7968,171.493611,64.32912,258.701248,0.523845,0.1629,273.051337,0.0501,211.607721,173.986643,0.53146,-2.493032,-0.014329,-0.060803,-0.02237171263642836,0.012660919629507703,
shandong_RT:Linear,B6_HCH-Local,OK,C0,7968,123.015079,55.521793,167.700478,0.375762,0.1629,121.431597,0.0501,205.100386,173.986643,0.53146,-50.971563,-0.292963,-0.130266,0.10397429805060042,0.10397429805060042,
shandong_RT:MLP,B0_Identity,OK,,7968,275.330217,79.926283,367.976714,0.841025,0.1629,434.90311,0.0501,273.369381,275.330217,0.841025,0.0,0.0,,,,
shandong_RT:MLP,B1_ResidualL1,OK,,7968,195.826765,73.65006,257.529794,0.598173,0.1629,200.155902,0.0501,278.889243,275.330217,0.841025,-79.503452,-0.288757,,,,
shandong_RT:MLP,B2_QuantileResidual,OK,,7968,195.826765,73.65006,257.529794,0.598173,0.1629,200.155902,0.0501,278.889243,275.330217,0.841025,-79.503452,-0.288757,,,,
shandong_RT:MLP,B3_DeltaAdapter,OK,,7968,193.551761,71.285616,249.113023,0.591224,0.1629,201.546522,0.0501,282.980216,275.330217,0.841025,-81.778456,-0.29702,,,,
shandong_RT:MLP,B4_PIR,OK,,7968,194.123186,73.37958,247.423873,0.592969,0.1629,205.110343,0.0501,333.720492,275.330217,0.841025,-81.207031,-0.294944,,,,
shandong_RT:MLP,B5_HCH-Universal,OK,C3,7968,276.797505,79.617574,370.571109,0.845507,0.1629,433.06373,0.0501,282.698016,275.330217,0.841025,1.467288,0.005329,-0.118461,0.006057844369134127,0.003121407227535781,
shandong_RT:MLP,B6_HCH-Local,OK,C0,7968,232.606402,72.566558,301.116544,0.71052,0.1629,241.449128,0.0501,253.491865,275.330217,0.841025,-42.723815,-0.155173,-0.172069,0.08926761313441396,0.08926761313441396,
shandong_RT:LSTM,B0_Identity,OK,,7968,141.844133,57.143155,194.373326,0.433278,0.1629,223.087006,0.0501,198.693067,141.844133,0.433278,0.0,0.0,,,,
shandong_RT:LSTM,B1_ResidualL1,OK,,7968,108.180635,49.318288,147.658467,0.330449,0.1629,96.437792,0.0501,218.454056,141.844133,0.433278,-33.663498,-0.237327,,,,
shandong_RT:LSTM,B2_QuantileResidual,OK,,7968,108.180635,49.318288,147.658467,0.330449,0.1629,96.437792,0.0501,218.454056,141.844133,0.433278,-33.663498,-0.237327,,,,
