market,host,cell,host_mae,median_paired_gain_pct,min_paired_gain_pct,max_paired_gain_pct,median_gain_pct,seeds_beating_host,median_selected_after_switch_count
GANSU_DA,PatchTST,GANSU_DA__PatchTST,77.10397338867188,1.733732614089687,0.6166825579457781,3.006113491834495,1.733732614089687,3,3
GANSU_DA,TimeMixer,GANSU_DA__TimeMixer,76.60704803466797,0.48889362943416514,0.000507915565311518,0.9284796125181866,0.48889362943416514,3,3
GANSU_DA,iTransformer,GANSU_DA__iTransformer,79.17371368408203,0.16319026906110043,-6.745390513302054e-05,0.45419605207711294,0.16319026906110043,2,2
GANSU_DA,LSTM,GANSU_DA__LSTM,80.66068267822266,1.4618310751330097,1.187417337496265,2.3498166019176234,1.4618310751330097,3,3
SHANDONG_DA,PatchTST,SHANDONG_DA__PatchTST,76.86666870117188,3.995059884459341,3.973134474129604,4.326005541600315,3.995059884459341,3,3
SHANDONG_DA,TimeMixer,SHANDONG_DA__TimeMixer,78.99223327636719,0.6331861069553115,0.5911720191970576,0.8295995526224035,0.6331861069553115,3,3
SHANDONG_DA,iTransformer,SHANDONG_DA__iTransformer,75.07028198242188,0.2938632133055653,0.24642231827840366,0.7303946537729333,0.2938632133055653,3,3
SHANDONG_DA,LSTM,SHANDONG_DA__LSTM,84.7114028930664,7.339966620713333,7.001274306640381,7.648820939877926,7.339966620713333,3,3
SHAANXI_DA,PatchTST,SHAANXI_DA__PatchTST,111.96537780761719,4.581675641472748,-0.00012946725044131298,5.113404453101034,4.581675641472748,2,2
SHAANXI_DA,TimeMixer,SHAANXI_DA__TimeMixer,103.59215545654297,0.11692416963844021,0.09538938304088421,0.13727321730227307,0.11692416963844021,3,0
SHAANXI_DA,iTransformer,SHAANXI_DA__iTransformer,112.50652313232422,0.08509163727824755,0.04211181602629242,0.31573011954398533,0.08509163727824755,3,2
SHAANXI_DA,LSTM,SHAANXI_DA__LSTM,109.45635986328125,0.1404507696005148,0.08753951441254915,0.44847359637055695,0.1404507696005148,3,0
NINGXIA_DA,PatchTST,NINGXIA_DA__PatchTST,65.07414245605469,4.611257441615457,0.0005158629014615099,5.377202470795711,4.611257441615457,3,2
NINGXIA_DA,TimeMixer,NINGXIA_DA__TimeMixer,78.34690856933594,7.45114998550017,7.2632364749891085,10.113665422609179,7.45114998550017,3,3
NINGXIA_DA,iTransformer,NINGXIA_DA__iTransformer,71.31417083740234,2.9042104284546184,2.3808930309327057,4.491493845650039,2.9042104284546184,3,3
NINGXIA_DA,LSTM,NINGXIA_DA__LSTM,70.22178649902344,3.809580719917515,1.8792256937389926,6.62248712803302,3.809580719917515,3,3
QINGHAI_DA,PatchTST,QINGHAI_DA__PatchTST,143.2564239501953,10.348659145441747,7.850132497867327,12.474339489157586,10.348659145441747,3,3
QINGHAI_DA,TimeMixer,QINGHAI_DA__TimeMixer,157.57135009765625,4.102561967176793,4.027367779275959,11.3275177996699,4.102561967176793,3,3
QINGHAI_DA,iTransformer,QINGHAI_DA__iTransformer,161.44671630859375,6.604529509368681,4.556209248422486,7.43889838848032,6.604529509368681,3,3
QINGHAI_DA,LSTM,QINGHAI_DA__LSTM,171.29478454589844,5.279372170346005,3.568269125844303,10.938096690933305,5.279372170346005,3,3
