market,host,cell,status,n_seeds,o1_median_mae,o1_min_mae,o1_max_mae,host_mae,gain_host_pct,strict_host_positive,seeds_beating_host,seeds_worse_than_host_by_gt_1pct,at_least_2_of_3_seeds_beat_host,gain_ge_minus_0p5pct,gain_ge_plus_2pct,median_selected_step,median_correction_ratio,median_paired_gain_pct
GANSU_DA,PatchTST,GANSU_DA__PatchTST,reused,3,75.76719665527344,74.78614044189453,76.62848663330078,77.10397338867188,1.733732614089687,true,3,0,true,true,false,1550.0,0.27162590622901917,1.733732614089687
GANSU_DA,TimeMixer,GANSU_DA__TimeMixer,new,3,76.2325210571289,75.89576721191406,76.60665893554688,76.60704803466797,0.48889362943416514,true,3,0,true,true,false,550.0,0.19318360090255737,0.48889362943416514
GANSU_DA,iTransformer,GANSU_DA__iTransformer,new,3,79.04450988769531,78.8141098022461,79.17376708984375,79.17371368408203,0.16319026906110043,true,2,0,true,true,false,700.0,0.07266150414943695,0.16319026906110043
GANSU_DA,LSTM,GANSU_DA__LSTM,reused,3,79.48155975341797,78.76530456542969,79.7029037475586,80.66068267822266,1.4618310751330097,true,3,0,true,true,false,500.0,0.13567064702510834,1.4618310751330097
SHANDONG_DA,PatchTST,SHANDONG_DA__PatchTST,reused,3,73.7957992553711,73.54141235351562,73.81265258789062,76.86666870117188,3.995059884459341,true,3,0,true,true,true,1500.0,0.27234259247779846,3.995059884459341
SHANDONG_DA,TimeMixer,SHANDONG_DA__TimeMixer,new,3,78.4920654296875,78.3369140625,78.52525329589844,78.99223327636719,0.6331861069553115,true,3,0,true,true,false,500.0,0.20343151688575745,0.6331861069553115
SHANDONG_DA,iTransformer,SHANDONG_DA__iTransformer,reused,3,74.84967803955078,74.52197265625,74.88529205322266,75.07028198242188,0.2938632133055653,true,3,0,true,true,false,550.0,0.17905928194522858,0.2938632133055653
SHANDONG_DA,LSTM,SHANDONG_DA__LSTM,new,3,78.49361419677734,78.23197937011719,78.78052520751953,84.7114028930664,7.339966620713333,true,3,0,true,true,true,2000.0,0.4233512580394745,7.339966620713333
SHAANXI_DA,PatchTST,SHAANXI_DA__PatchTST,reused,3,106.83548736572266,106.2401351928711,111.96552276611328,111.96537780761719,4.581675641472748,true,2,0,true,true,true,800.0,0.25953513383865356,4.581675641472748
SHAANXI_DA,TimeMixer,SHAANXI_DA__TimeMixer,reused,3,103.47103118896484,103.449951171875,103.49333953857422,103.59215545654297,0.11692416963844021,true,3,0,true,true,false,250.0,0.03252938762307167,0.11692416963844021
SHAANXI_DA,iTransformer,SHAANXI_DA__iTransformer,new,3,112.4107894897461,112.15130615234375,112.45914459228516,112.50652313232422,0.08509163727824755,true,3,0,true,true,false,550.0,0.17150859534740448,0.08509163727824755
SHAANXI_DA,LSTM,SHAANXI_DA__LSTM,new,3,109.30262756347656,108.9654769897461,109.36054229736328,109.45635986328125,0.1404507696005148,true,3,0,true,true,false,250.0,0.03174004703760147,0.1404507696005148
NINGXIA_DA,PatchTST,NINGXIA_DA__PatchTST,new,3,62.07340621948242,61.574974060058594,65.07380676269531,65.07414245605469,4.611257441615457,true,3,0,true,true,true,950.0,0.3200772702693939,4.611257441615457
NINGXIA_DA,TimeMixer,NINGXIA_DA__TimeMixer,new,3,72.50916290283203,70.42316436767578,72.65638732910156,78.34690856933594,7.45114998550017,true,3,0,true,true,true,600.0,0.529030978679657,7.45114998550017
NINGXIA_DA,iTransformer,NINGXIA_DA__iTransformer,reused,3,69.24305725097656,68.11109924316406,69.61625671386719,71.31417083740234,2.9042104284546184,true,3,0,true,true,true,500.0,0.3263123631477356,2.9042104284546184
NINGXIA_DA,LSTM,NINGXIA_DA__LSTM,new,3,67.546630859375,65.57135772705078,68.90216064453125,70.22178649902344,3.809580719917515,true,3,0,true,true,true,550.0,0.37311145663261414,3.809580719917515
QINGHAI_DA,PatchTST,QINGHAI_DA__PatchTST,new,3,128.43130493164062,125.3861312866211,132.01060485839844,143.2564239501953,10.348659145441747,true,3,0,true,true,true,2000.0,0.3332117199897766,10.348659145441747
QINGHAI_DA,TimeMixer,QINGHAI_DA__TimeMixer,reused,3,151.1068878173828,139.72242736816406,151.22537231445312,157.57135009765625,4.102561967176793,true,3,0,true,true,true,1650.0,0.3884199261665344,4.102561967176793
QINGHAI_DA,iTransformer,QINGHAI_DA__iTransformer,new,3,150.78392028808594,149.43685913085938,154.0908660888672,161.44671630859375,6.604529509368681,true,3,0,true,true,true,1000.0,0.31282535195350647,6.604529509368681
QINGHAI_DA,LSTM,QINGHAI_DA__LSTM,new,3,162.25149536132812,152.5583953857422,165.18252563476562,171.29478454589844,5.279372170346005,true,3,0,true,true,true,600.0,0.4630044996738434,5.279372170346005
