market,host,cell,seed,status,shared_parameter_count,shared_parameter_numel,head_parameter_numel,diag_subset_rows,L_rec,L_b,L_B,L_S,grad_norm_rec,grad_norm_b,grad_norm_B,grad_norm_S,cos_rec_b,cos_rec_B,cos_rec_S,cos_rec_auxsum,norm_ratio_b_over_rec,norm_ratio_B_over_rec,norm_ratio_S_over_rec,diag_reconstruction_mae_recomputed,diag_reconstruction_mae_recorded,diag_reconstruction_abs_deviation,optimizer_constructed,optimizer_steps,checkpoint_sha256_before,checkpoint_sha256_after,checkpoint_unchanged,probe_code_hash
GANSU_DA,PatchTST,GANSU_DA__PatchTST,7,reused,41,13696,1252,224,1.9627201557159424,0.7378183007240295,3.0585310459136963,3.0780513286590576,0.20615929058459814,0.09053763809085878,9.586457131141378,1.294378339837463,0.11008106292823237,0.055784647151445356,0.05240607519517561,0.06284722111209556,0.4391635120305498,46.500243107926025,6.278535088896761,62.92200469970703,62.92196273803711,4.1961669921875e-05,false,0,B33F2540E263425098E9341CCAA4AA8AA456D45245F94515055D3E29A0BFE379,B33F2540E263425098E9341CCAA4AA8AA456D45245F94515055D3E29A0BFE379,true,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA,PatchTST,GANSU_DA__PatchTST,17,reused,41,13696,1252,224,2.047947645187378,0.7790278196334839,2.1081759929656982,3.146817445755005,0.12662978677073633,0.012551307033289707,5.139100666358961,1.3400410920401495,0.13004818062606596,0.21456437877105358,0.475958125924187,0.32652469822103475,0.09911812499545539,40.58366358669876,10.58235290616337,65.6542739868164,65.65424346923828,3.0517578125e-05,false,0,36EBEC606BF2042822D9E430572E8CBD0608D429AC4069A679808548D326B23B,36EBEC606BF2042822D9E430572E8CBD0608D429AC4069A679808548D326B23B,true,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA,PatchTST,GANSU_DA__PatchTST,37,reused,41,13696,1252,224,1.992750644683838,0.7768454551696777,2.8989310264587402,3.0206241607666016,0.39013270326266,0.014428431012224475,8.060450343087066,1.7493310161193807,0.05118704563756747,0.10433887886308175,0.7673878331235,0.26480831167417446,0.03698339280855011,20.660791253022186,4.4839384175943575,63.88473892211914,63.8848762512207,0.0001373291015625,false,0,447581382E78F3E630DA54D407479565D3C88F36C7005C2DDEBA7DB0EE18A5EF,447581382E78F3E630DA54D407479565D3C88F36C7005C2DDEBA7DB0EE18A5EF,true,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA,TimeMixer,GANSU_DA__TimeMixer,7,new,41,13696,1252,224,2.482686758041382,0.7967528700828552,0.695317804813385,2.8245930671691895,0.17803620899815198,0.009829367881514934,0.40050037454454246,1.2525311493346405,0.22741068881009172,-0.415628430507052,0.36936910108891485,0.22485019951761515,0.05520993699442883,2.249544498831132,7.035260728044607,80.0882568359375,80.08824157714844,1.52587890625e-05,false,0,B3AB820535EB6F5A2AFCDBAC15E3588A297969ECD85DEABBBA1F2AD38A6432EF,B3AB820535EB6F5A2AFCDBAC15E3588A297969ECD85DEABBBA1F2AD38A6432EF,true,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA,TimeMixer,GANSU_DA__TimeMixer,17,new,41,13696,1252,224,2.4215545654296875,0.7968637347221375,0.7639098167419434,2.748481035232544,0.26227988835566524,0.004736159071062422,0.9949491100990504,1.670524117611422,0.35015124783371787,-0.7118378979310787,-0.01016719271014659,-0.3619363987771237,0.018057652459573807,3.793463221052799,6.369242140846515,78.1162109375,78.11620330810547,7.62939453125e-06,false,0,CFD4499207E14455ADF95CC35D1296C15FDBE078AB0CD9BC58B9301EAF2A13A8,CFD4499207E14455ADF95CC35D1296C15FDBE078AB0CD9BC58B9301EAF2A13A8,true,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA,TimeMixer,GANSU_DA__TimeMixer,37,new,41,13696,1252,224,2.4088172912597656,0.796813428401947,0.8817055821418762,2.9115073680877686,0.22729838869675606,0.006416619319631349,2.6743676604748057,1.1951726496859336,0.657603297280556,-0.7925803482073528,-0.23198426208837916,-0.779851756481218,0.02822993755662697,11.76588921641121,5.258165957702589,77.705322265625,77.70537567138672,5.340576171875e-05,false,0,95F238D9DD78297478C07516C2E6F04DDD008EB4A44C70F1164A79A04F9BB5B4,95F238D9DD78297478C07516C2E6F04DDD008EB4A44C70F1164A79A04F9BB5B4,true,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA,iTransformer,GANSU_DA__iTransformer,7,new,41,13696,1252,224,2.6687207221984863,0.7463406920433044,1.2032947540283203,3.5427258014678955,3.771539747038693e-05,0.0,0.0,0.04398357238975088,nan,nan,0.36876332942041506,0.3687633294204138,0.0,0.0,1166.1967085004353,78.2449722290039,78.2449722290039,0.0,false,0,BA453B0FEEC60F7B3F1F7D654E9AD272252B4F2FDB7537E8252DA896FF38AEA0,BA453B0FEEC60F7B3F1F7D654E9AD272252B4F2FDB7537E8252DA896FF38AEA0,true,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA,iTransformer,GANSU_DA__iTransformer,17,new,41,13696,1252,224,2.5055882930755615,0.7368504405021667,1.3671684265136719,3.1126580238342285,0.17185621164403972,0.03448072359518631,2.20353327241918,1.9356452350383853,0.22514325397625967,-0.018767700830167846,0.22547036087760983,0.13498418399195064,0.20063705155217276,12.821958841867689,11.26316713560302,73.46204376220703,73.46205139160156,7.62939453125e-06,false,0,1C74ABB449E6BBD87B54C6EC959DC6DBDBEAD46225539E2972EE24CBACA914E0,1C74ABB449E6BBD87B54C6EC959DC6DBDBEAD46225539E2972EE24CBACA914E0,true,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA,iTransformer,GANSU_DA__iTransformer,37,new,41,13696,1252,224,2.557931900024414,0.7442889213562012,1.0731710195541382,3.127549886703491,0.1619142143538471,0.008534903852533336,2.5729535788901496,1.4943026272889128,-0.06646392535215215,-0.233109292440905,0.26974788996099713,-0.0672660343184777,0.05271250511632764,15.890844353338988,9.228977414072281,74.99671936035156,74.99669647216797,2.288818359375e-05,false,0,22865D26AB58C7DA3813E9EC704B81F781343B9C974BA941167E6B58EB45AE53,22865D26AB58C7DA3813E9EC704B81F781343B9C974BA941167E6B58EB45AE53,true,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
GANSU_DA,LSTM,GANSU_DA__LSTM,7,reused,41,13696,1252,224,2.8148326873779297,0.8233972191810608,0.8198501467704773,2.9261715412139893,0.38500330012112,0.009120763568071687,2.330174886949979,2.292957338033768,0.048973898598029655,-0.8446847908884252,0.20276941375458393,-0.45924801377468166,0.023690091916620828,6.052350424572773,5.955682294963227,81.79566955566406,81.7957763671875,0.0001068115234375,false,0,43C00448206AF86557B5FF9A23200EFF054E1D13111F2D7CAC35F3DFB559EAA7,43C00448206AF86557B5FF9A23200EFF054E1D13111F2D7CAC35F3DFB559EAA7,true,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
