model,episode_recall,episode_precision,complete_miss_rate,boundary_l1_error,duration_abs_error,event_magnitude_mae,point_recall,point_precision,overall_mae,overall_mae_ci_low,overall_mae_ci_high,normal_hour_mae,normal_hour_harm,exact_fallback_count,exact_fallback_rate,dataset,backbone
B0_linear,0.16101694915254236,0.4523809523809524,0.8389830508474576,2.4210526315789473,2.4210526315789473,12.695297711610223,0.12926391382405744,0.5454545454545454,24.6044726058411,23.30341336719203,26.035285146983345,24.11237486793614,397757.7358214746,17053,1.0,LAGO_DE,linear
B1_linear,0.1440677966101695,0.5862068965517241,0.8559322033898306,2.7058823529411766,2.588235294117647,14.331696207149063,0.09515260323159784,0.6385542168674698,24.600964927540296,23.292002820243145,26.033878468339175,24.0975739200501,397513.57938514644,16921,0.992259426493872,LAGO_DE,linear
B2_linear,0.13559322033898305,0.5517241379310345,0.864406779661017,2.75,2.75,12.871386196494301,0.10412926391382406,0.6304347826086957,24.60323950708246,23.31322893695288,26.033517153076527,24.10613606991299,397654.8206092847,16921,0.992259426493872,LAGO_DE,linear
B3_linear,0.16101694915254236,0.4523809523809524,0.8389830508474576,2.4210526315789473,2.4210526315789473,12.695297711610223,0.12926391382405744,0.5454545454545454,24.6044726058411,23.30341336719203,26.035285146983345,24.11237486793614,397757.7358214746,17053,1.0,LAGO_DE,linear
B4_linear,0.13559322033898305,0.45714285714285713,0.864406779661017,2.6875,2.5625,14.736025040368009,0.09874326750448834,0.5789473684210527,24.601182397641,23.29484182549466,26.035842183429743,24.101513649346717,397578.56915962347,16924,0.9924353486190113,LAGO_DE,linear
E0_linear,0.16101694915254236,0.4523809523809524,0.8389830508474576,2.4210526315789473,2.4210526315789473,12.695297711610223,0.12926391382405744,0.5454545454545454,24.602561329638537,23.301549872894537,26.033326088875725,24.100389071041512,397246.71305797726,17040,1.0,LAGO_DE,linear
E0_NoInsert_linear,0.16101694915254236,0.4523809523809524,0.8389830508474576,2.4210526315789473,2.4210526315789473,12.695297711610223,0.12926391382405744,0.5454545454545454,24.602561329638537,23.301549872894537,26.033326088875725,24.100389071041512,397246.71305797726,17040,1.0,LAGO_DE,linear
E0_NoShift_linear,0.16101694915254236,0.4523809523809524,0.8389830508474576,2.4210526315789473,2.4210526315789473,12.695297711610223,0.12926391382405744,0.5454545454545454,24.602561329638537,23.301549872894537,26.033326088875725,24.100389071041512,397246.71305797726,17040,1.0,LAGO_DE,linear
E0_NoMatching_linear,0.16101694915254236,0.4523809523809524,0.8389830508474576,2.4210526315789473,2.4210526315789473,12.695297711610223,0.12926391382405744,0.5454545454545454,24.602561329638537,23.301549872894537,26.033326088875725,24.100389071041512,397246.71305797726,17040,1.0,LAGO_DE,linear
Oracle_linear,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,LAGO_DE,linear
