market,host,n_registered_test_days,n_scored_test_days,excluded_unscorable_day_ids,host_mae_abs_price,mdr_mae_abs_price,delta_adapter_mae_abs_price,pir_status,pir_mae_abs_price,best_strict_offline_external_posthoc_method,best_strict_offline_external_posthoc_mae_abs_price,cosa_mae_abs_price,cosa_setting,host_tail_mae_abs_price,host_normal_region_mae_abs_price,host_extreme_day_subset_status,host_negative_subset_status,delta_tail_mae_abs_price,delta_normal_region_mae_abs_price,delta_normal_harm_vs_host_abs_price,delta_normal_harm_vs_host_pct_of_host_normal_mae,cosa_tail_mae_abs_price,cosa_normal_region_mae_abs_price
GANSU_DA,PatchTST,83,83,,69.13326990556526,81.15835679874168,68.67710766910825,NUMERIC,66.17091486252934,PIR,66.17091486252934,67.96410210987172,ONLINE_TTA,43.70665376357611,71.67452751003795,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,45.7365909218994,70.9698926118166,-0.7046348982213431,-0.9831036529995397,41.351588760291676,70.6238839520992
GANSU_DA,TimeMixer,83,83,,74.74446397995852,82.98573142978321,74.35400675961291,NUMERIC,67.90478647569097,PIR,67.90478647569097,73.23635583948419,ONLINE_TTA,48.22437650986139,77.39500833782026,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,46.74629660337669,77.11325332961775,-0.2817550082025093,-0.3640480364995651,44.647020192436095,76.09371075506436
GANSU_DA,iTransformer,83,83,,73.42330695347614,84.28341215958513,73.65432928912492,,,delta-Adapter,73.65432928912492,73.35413291320265,ONLINE_TTA,43.066799796088624,76.45728144021669,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,44.44024168160739,76.57412490312859,0.11684346291190195,0.1528218904869956,43.43599750192126,76.34429443139256
GANSU_DA,LSTM,83,83,,81.12318460050835,83.2088437537442,81.44063382933896,,,delta-Adapter,81.44063382933896,77.21275465363958,ONLINE_TTA,81.59721288101449,81.07580794740421,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,81.49578817378091,81.43512144041351,0.3593134930092958,0.4431821305344141,62.91051575887269,78.6421888004937
SHANDONG_DA,PatchTST,330,329,2026-07-17,91.87423800835018,94.5720148395913,91.08350208823653,NUMERIC,92.2486940696477,delta-Adapter,91.08350208823653,90.83190194928967,ONLINE_TTA,251.20563315619987,86.384370731541,NOT_APPLICABLE_N0,OK,256.99729620367856,85.36683395613103,-1.0175367754099653,-1.1779176797758837,251.24947209956528,85.304609803407
SHANDONG_DA,TimeMixer,330,329,2026-07-17,94.19636183263208,97.17111147076774,94.38104382436816,NUMERIC,90.43082836024433,PIR,90.43082836024433,93.54255724348234,ONLINE_TTA,246.8659396153439,88.93603182387363,NOT_APPLICABLE_N0,OK,246.79464113916282,89.12953378980889,0.19350196593525482,0.21757431939223526,247.69151072991664,88.23125437869362
SHANDONG_DA,iTransformer,330,329,2026-07-17,93.68104593229519,95.61134912999049,92.58243348025762,,,delta-Adapter,92.58243348025762,92.8897339568512,ONLINE_TTA,242.4305450381435,88.55578479449379,NOT_APPLICABLE_N0,OK,245.88532423519817,87.30028225943364,-1.2555025350601454,-1.417753270408835,239.74471590546148,87.82974964498372
SHANDONG_DA,LSTM,330,329,2026-07-17,93.68979457321764,96.2569270288381,93.9562301614554,,,delta-Adapter,93.9562301614554,92.95464555709505,ONLINE_TTA,260.74403755565106,87.93383153058959,NOT_APPLICABLE_N0,OK,261.5899870839862,88.18029958754924,0.24646805695965668,0.2802880901122996,260.7047915557265,87.17470472155986
SHAANXI_DA,PatchTST,81,81,,123.56420377299281,172.04962083853115,123.42613419724069,NUMERIC,114.75983683725842,PIR,114.75983683725842,123.25699486282996,ONLINE_TTA,152.408964796043,107.65699717528517,OK,NOT_APPLICABLE_N0,152.12445370658867,107.59968664659468,-0.057310528690493356,-0.05323437416444134,152.32553227291092,107.22638085615321
SHAANXI_DA,TimeMixer,81,81,,121.61042579178365,150.94044964517556,121.65706910859073,NUMERIC,113.50602028660721,PIR,113.50602028660721,119.61858689200149,ONLINE_TTA,170.59245724178172,94.59798865535215,OK,NOT_APPLICABLE_N0,170.8082198014351,94.55136669138766,-0.04662196396449758,-0.04928430786658149,166.54787968668424,93.73818679533287
