market,track,host,seed,method,record_type,block,alpha,calibration_max_index,proposal_min_index,self_excluded,beta_train_max_index
LAGO_PJM,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,alpha,B4,1.1006599881342627,277.0,278,True,
LAGO_PJM,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,beta,B2,,,180,True,179.0
LAGO_PJM,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,beta,B3,,,229,True,228.0
LAGO_PJM,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,beta,B4,,,278,True,277.0
LAGO_PJM,A_DA,PatchTST,17,S1_DailyPatch_GRU32,alpha,B2,0.8927936186978784,179.0,180,True,
LAGO_PJM,A_DA,PatchTST,17,S1_DailyPatch_GRU32,alpha,B3,0.800272503414541,228.0,229,True,
LAGO_PJM,A_DA,PatchTST,17,S1_DailyPatch_GRU32,alpha,B4,0.8370495235001341,277.0,278,True,
LAGO_PJM,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,alpha,B3,0.5960510238412886,228.0,229,True,
LAGO_PJM,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,alpha,B4,0.7490663719817057,277.0,278,True,
LAGO_PJM,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,beta,B2,,,180,True,179.0
LAGO_PJM,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,beta,B3,,,229,True,228.0
LAGO_PJM,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,beta,B4,,,278,True,277.0
LAGO_PJM,A_DA,PatchTST,37,S1_DailyPatch_GRU32,alpha,B2,0.8540311854383899,179.0,180,True,
LAGO_PJM,A_DA,PatchTST,37,S1_DailyPatch_GRU32,alpha,B3,0.7043923339738608,228.0,229,True,
LAGO_PJM,A_DA,PatchTST,37,S1_DailyPatch_GRU32,alpha,B4,0.8904674597852089,277.0,278,True,
LAGO_PJM,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,alpha,B3,0.6459949409532321,228.0,229,True,
LAGO_PJM,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,alpha,B4,0.8868549068501168,277.0,278,True,
LAGO_PJM,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,beta,B2,,,180,True,179.0
LAGO_PJM,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,beta,B3,,,229,True,228.0
LAGO_PJM,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,beta,B4,,,278,True,277.0
LAGO_PJM,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B2,1.9001934117325452,179.0,180,True,
LAGO_PJM,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B3,2.1566125983096223,228.0,229,True,
LAGO_PJM,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B4,2.431056559764441,277.0,278,True,
LAGO_PJM,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,alpha,B3,2.4737174115402265,228.0,229,True,
LAGO_PJM,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,alpha,B4,2.8775364139622237,277.0,278,True,
LAGO_PJM,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,beta,B2,,,180,True,179.0
LAGO_PJM,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,beta,B3,,,229,True,228.0
LAGO_PJM,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,beta,B4,,,278,True,277.0
LAGO_PJM,A_DA,TimeMixer,17,S1_DailyPatch_GRU32,alpha,B2,2.166527656380571,179.0,180,True,
LAGO_PJM,A_DA,TimeMixer,17,S1_DailyPatch_GRU32,alpha,B3,2.001888036002025,228.0,229,True,
LAGO_PJM,A_DA,TimeMixer,17,S1_DailyPatch_GRU32,alpha,B4,2.1318855584075505,277.0,278,True,
LAGO_PJM,A_DA,TimeMixer,17,HSA_HorizonAlignedStateResidual,alpha,B3,1.8825729875904256,228.0,229,True,
LAGO_PJM,A_DA,TimeMixer,17,HSA_HorizonAlignedStateResidual,alpha,B4,2.197991352276578,277.0,278,True,
LAGO_PJM,A_DA,TimeMixer,17,HSA_HorizonAlignedStateResidual,beta,B2,,,180,True,179.0
LAGO_PJM,A_DA,TimeMixer,17,HSA_HorizonAlignedStateResidual,beta,B3,,,229,True,228.0
LAGO_PJM,A_DA,TimeMixer,17,HSA_HorizonAlignedStateResidual,beta,B4,,,278,True,277.0
LAGO_PJM,A_DA,TimeMixer,37,S1_DailyPatch_GRU32,alpha,B2,2.3080275017298297,179.0,180,True,
LAGO_PJM,A_DA,TimeMixer,37,S1_DailyPatch_GRU32,alpha,B3,2.0677453306642226,228.0,229,True,
LAGO_PJM,A_DA,TimeMixer,37,S1_DailyPatch_GRU32,alpha,B4,2.2770067082826326,277.0,278,True,
LAGO_PJM,A_DA,TimeMixer,37,HSA_HorizonAlignedStateResidual,alpha,B3,1.9303310957304471,228.0,229,True,
LAGO_PJM,A_DA,TimeMixer,37,HSA_HorizonAlignedStateResidual,alpha,B4,2.4359479163264344,277.0,278,True,
LAGO_PJM,A_DA,TimeMixer,37,HSA_HorizonAlignedStateResidual,beta,B2,,,180,True,179.0
LAGO_PJM,A_DA,TimeMixer,37,HSA_HorizonAlignedStateResidual,beta,B3,,,229,True,228.0
LAGO_PJM,A_DA,TimeMixer,37,HSA_HorizonAlignedStateResidual,beta,B4,,,278,True,277.0
GANSU_DA,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B2,0.9748706344841856,33.0,34,True,
GANSU_DA,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B3,1.5662769832753038,43.0,44,True,
GANSU_DA,A_DA,PatchTST,7,S1_DailyPatch_GRU32,alpha,B4,1.1410437318462183,52.0,53,True,
GANSU_DA,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,alpha,B3,1.6960828421144434,43.0,44,True,
GANSU_DA,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,alpha,B4,1.545728389119875,52.0,53,True,
GANSU_DA,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,beta,B2,,,34,True,33.0
GANSU_DA,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,beta,B3,,,44,True,43.0
GANSU_DA,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,beta,B4,,,53,True,52.0
GANSU_DA,A_DA,PatchTST,17,S1_DailyPatch_GRU32,alpha,B2,1.6640586185516926,33.0,34,True,
GANSU_DA,A_DA,PatchTST,17,S1_DailyPatch_GRU32,alpha,B3,1.7399571283562645,43.0,44,True,
GANSU_DA,A_DA,PatchTST,17,S1_DailyPatch_GRU32,alpha,B4,1.9387353532585536,52.0,53,True,
GANSU_DA,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,alpha,B3,2.1051733244087782,43.0,44,True,
GANSU_DA,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,alpha,B4,2.022555697753438,52.0,53,True,
GANSU_DA,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,beta,B2,,,34,True,33.0
GANSU_DA,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,beta,B3,,,44,True,43.0
GANSU_DA,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,beta,B4,,,53,True,52.0
GANSU_DA,A_DA,PatchTST,37,S1_DailyPatch_GRU32,alpha,B2,2.5126268213892766,33.0,34,True,
