market,host,method,seed,Overall_MAE,Tail_MAE,Normal_MAE,MSE,relative_gain_pct,shape_cosine,wrong_hemisphere_rate,alpha,oof_calibrated_utility,parameter_count,training_seconds,inference_seconds,inference_seconds_per_day,inference_overhead_seconds_per_day
GANSU_DA,PatchTST,HSA_HorizonAlignedStateResidual,17.0,69.49802922490716,85.82236041775549,67.77967857302839,7906.158786988234,3.5465341106965496,0.2938649654388428,0.23809523809523808,1.0949280470606593,0.023324552236621134,18717.0,1.5362996999174356,0.0004056000034324825,1.931428587773726e-05,4.873810602085931e-06
GANSU_DA,PatchTST,Host,17.0,72.05342864990234,102.734130859375,68.82388305664062,8323.4677734375,0.0,,,,,,,,,
GANSU_DA,PatchTST,S1_DailyPatch_GRU32,17.0,70.4341541722147,79.07448175643505,69.0473522967196,8005.2214164361085,2.2473246700798524,0.22724208235740662,0.2857142857142857,1.7094198107261478,0.03368276734922216,18712.0,13.054325900098775,0.00030559999868273735,1.455238088965416e-05,0.0
GANSU_DA,TimeMixer,HSA_HorizonAlignedStateResidual,17.0,67.48043793859061,116.10080459202003,63.17663952701972,7142.171234001445,11.036649003804252,0.4484201669692993,0.09523809523809523,2.295100472381836,0.08420017453855913,18717.0,1.579532600066159,0.0005062999553047121,2.4109521681176765e-05,5.338095693982073e-06
GANSU_DA,TimeMixer,Host,17.0,75.8519515991211,157.5843505859375,67.24855041503906,8859.599609375,0.0,,,,,,,,,
GANSU_DA,TimeMixer,S1_DailyPatch_GRU32,17.0,70.74957722012466,129.26719515101644,64.58982796424131,7730.546412053176,6.726754251443086,0.3314637839794159,0.19047619047619047,2.026945814895266,0.04544869275996987,18712.0,11.861122799979057,0.0003586999955587089,1.7080952169462328e-05,0.0
LAGO_DE,PatchTST,HSA_HorizonAlignedStateResidual,17.0,4.287158749240868,5.901025685305033,4.028122899064208,33.00507136765574,9.86779503099266,0.45595285296440125,0.13761467889908258,2.8447540665241813,0.11618115302980046,14877.0,1.7140116999507882,0.0007576999487355351,6.9513756764728e-06,1.2229357465862409e-06
LAGO_DE,PatchTST,Host,17.0,4.7565226554870605,7.4154953956604,4.3458251953125,40.92784118652344,0.0,,,,,,,,,
LAGO_DE,PatchTST,S1_DailyPatch_GRU32,17.0,4.245660116226809,6.581716850214815,3.8896108638617375,34.225960616837355,10.740252412567147,0.4506481885910034,0.10091743119266056,2.4004894299838386,0.08845413465084966,14872.0,18.309682399965823,0.000622799969278276,5.713761186039229e-06,0.0
LAGO_DE,TimeMixer,HSA_HorizonAlignedStateResidual,17.0,4.297257562506825,6.085310963554689,4.022520007189594,34.07252129410644,8.69681563786166,0.4384462535381317,0.1834862385321101,2.8008987099559164,0.11523158620690056,14877.0,1.7526787999668159,0.0007887000101618469,7.235779909741715e-06,1.2091744409173454e-06
LAGO_DE,TimeMixer,Host,17.0,4.70658016204834,7.1415534019470215,4.330480575561523,40.77216339111328,0.0,,,,,,,,,
LAGO_DE,TimeMixer,S1_DailyPatch_GRU32,17.0,4.3082407367489,6.558008405311133,3.960747937103365,35.0767234561306,8.463457788554477,0.4388386011123657,0.14678899082568808,2.2292709596930154,0.07949817036842358,14872.0,18.515929399931338,0.0006146000232547522,5.638532323438093e-06,0.0
LAGO_PJM,PatchTST,HSA_HorizonAlignedStateResidual,17.0,3.0392265910222247,10.30207232879656,2.810114738095589,18.64386131086123,-0.649538973057073,0.131433367729187,0.42201834862385323,1.1746767225120893,0.020817345178120075,14109.0,1.807316099992022,0.000777349981945008,7.131651210504661e-06,9.197248316822796e-07
LAGO_PJM,PatchTST,Host,17.0,3.019613027572632,10.558648109436035,2.7817885875701904,19.001419067382812,0.0,,,,,,,,,
LAGO_PJM,PatchTST,S1_DailyPatch_GRU32,17.0,3.045757513709513,10.661645669876595,2.8055086759755357,18.867664704885065,-0.8658224049953201,0.1238112598657608,0.43119266055045874,1.1385257750844227,0.02021257197648822,14104.0,24.054700599983335,0.0006820000126026571,6.256880849565661e-06,0.0
LAGO_PJM,TimeMixer,HSA_HorizonAlignedStateResidual,17.0,3.0678864331719886,8.16087017742945,2.9072244854036144,18.136776819648162,4.758205664547245,0.42031264305114746,0.1651376146788991,2.379021577566705,0.09050921740085456,14109.0,1.8486578000593,0.0008116499520838261,7.446329835631432e-06,1.1683487089846385e-06
LAGO_PJM,TimeMixer,Host,17.0,3.2211556434631348,9.623579978942871,3.019186496734619,20.96799087524414,0.0,,,,,,,,,
LAGO_PJM,TimeMixer,S1_DailyPatch_GRU32,17.0,3.061235350998428,8.174372969414806,2.899937634329142,18.006846171814047,4.9646869063667145,0.4221581518650055,0.1559633027522936,2.4309686171566685,0.09762303346199643,14104.0,25.94229889998678,0.0005936999805271626,5.446788812175803e-06,0.0
