market,track,host,seed,S1_pooled_OOF_alpha,HSA_pooled_OOF_alpha,HSA_OOF_utility,S1_OOF_utility,S1_alpha_refit_on_HSA_rowset,alpha_rowset_sensitivity_pct
LAGO_DE,A_DA,PatchTST,7,2.4004894299838386,2.9356646809427556,0.11220775430831587,0.08258462596917228,2.4010813358290073,0.024657715121563603
LAGO_DE,A_DA,PatchTST,17,2.4153807927298243,2.844716433724362,0.11618115302980046,0.08845413465084966,2.4821824067544207,2.7656762952519087
LAGO_DE,A_DA,PatchTST,37,2.3992451330087,2.8447540665241813,0.11829141056801298,0.09084345039798004,2.47747285487057,3.260513933554209
LAGO_DE,A_DA,TimeMixer,7,2.260619251975067,2.8411239961251686,0.10975170889590896,0.0712962409713433,2.3682369071607807,4.760538736971726
LAGO_DE,A_DA,TimeMixer,17,2.2292709596930154,2.8008987099559164,0.11523158620690056,0.08580262444345747,2.449161313955224,9.8637787078377
LAGO_DE,A_DA,TimeMixer,37,2.1910360099251998,2.752216731696599,0.11562949062749872,0.07949817036842358,2.3019912697988376,5.064054601157641
LAGO_PJM,A_DA,PatchTST,7,1.302846012362227,1.3667612912593972,0.031076806600911985,0.034351932787109546,1.646702547398303,26.392722683521136
LAGO_PJM,A_DA,PatchTST,17,1.0216443728868245,1.1746767225120893,0.01920460810914127,0.016011593877982115,1.0637622170695638,4.122554315424684
LAGO_PJM,A_DA,PatchTST,37,1.1385257750844227,1.1511950705740663,0.020817345178120075,0.02021257197648822,1.2179761047287072,6.9783514245334715
LAGO_PJM,A_DA,TimeMixer,7,2.7183292878009966,2.9266148678112924,0.13586865564452283,0.13303178487555378,3.0337643976585658,11.604006596005213
LAGO_PJM,A_DA,TimeMixer,17,2.3746229009693502,2.3503799381463346,0.09050921740085456,0.09762303346199643,2.428528328447468,2.270062646835959
LAGO_PJM,A_DA,TimeMixer,37,2.4309686171566685,2.379021577566705,0.08824011945500773,0.09040979677094253,2.5056935665396445,3.0738755266358186
GANSU_DA,A_DA,PatchTST,7,1.3974456891689175,1.0949280470606593,0.023324552236621134,0.03368276734922216,1.512338190482493,8.221607623399224
GANSU_DA,A_DA,PatchTST,17,1.8119296414135204,1.2754008808097643,0.02766207145132391,0.057195249142046135,1.944272836519983,7.303991947679559
GANSU_DA,A_DA,PatchTST,37,1.7094198107261478,0.9742435616678381,0.019576687098762764,0.02128553613900062,1.3004904778234925,-23.9221126569807
GANSU_DA,A_DA,TimeMixer,7,1.6546379500381447,2.170489738968116,0.07310045325488143,0.04544869275996987,1.6150983508212693,-2.3896224074858146
GANSU_DA,A_DA,TimeMixer,17,2.026945814895266,2.490725130574366,0.09415842836720494,0.050766437371425374,1.8624303820690866,-8.116419867626306
GANSU_DA,A_DA,TimeMixer,37,2.113629164219349,2.295100472381836,0.08420017453855913,0.03692721424674292,1.7150987918739984,-18.855264636384053
