market,track,host,seed,method,Overall_MAE,Tail_MAE,Normal_MAE,MSE,relative_gain_pct,shape_cosine,wrong_hemisphere_rate,alpha,oof_calibrated_utility,parameter_count,training_seconds,inference_seconds,inference_seconds_per_day,inference_overhead_seconds_per_day
LAGO_DE,A_DA,PatchTST,7,S1_DailyPatch_GRU32,4.256537275988756,6.607942724671064,3.8933457900934303,34.558557831727356,10.511573595082703,0.4506481885910034,0.10091743119266056,2.4004894299838386,0.08258462596917228,14872.0,20.969977800094057,0.0005693999701179564,5.223852936861985e-06,0.0
LAGO_DE,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,4.288699419884928,5.975746266112798,4.028122899064208,33.6172959646651,9.835404338134666,0.4572266638278961,0.13761467889908258,2.9356646809427556,0.11220775430831587,14877.0,1.7140116999507882,0.0007026999664958566,6.446788683448226e-06,1.2229357465862409e-06
LAGO_DE,A_DA,PatchTST,17,S1_DailyPatch_GRU32,4.195557335041293,6.581716850214815,3.8269978335802457,33.129463811469705,11.793601357046942,0.47160834074020386,0.12844036697247707,2.4153807927298243,0.08845413465084966,14872.0,18.309682399965823,0.000622799969278276,5.713761186039229e-06,0.0
LAGO_DE,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,4.257252084637895,5.89941263489479,4.003608575110131,33.00507136765574,10.496545628206219,0.45135462284088135,0.13761467889908258,2.844716433724362,0.11618115302980046,14877.0,1.7152721000020392,0.0007576999487355351,6.9513756764728e-06,1.2376144904335704e-06
LAGO_DE,A_DA,PatchTST,37,S1_DailyPatch_GRU32,4.245660116226809,6.5508247043961,3.8896108638617375,34.225960616837355,10.740252412567147,0.44800615310668945,0.10091743119266056,2.3992451330087,0.09084345039798004,14872.0,17.823951400001533,0.001150399970356375,1.055412816840711e-05,0.0
LAGO_DE,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,4.287158749240868,5.901025685305033,4.037885391949404,32.986564235622275,9.86779503099266,0.45595285296440125,0.12844036697247707,2.8447540665241813,0.11829141056801298,14877.0,1.5715728999930434,0.0012789499887730926,1.173348613553296e-05,1.17935796712585e-06
LAGO_DE,A_DA,PatchTST,7,Host,4.7565226554870605,7.4154953956604,4.3458251953125,40.92784118652344,0.0,,,,,,,,,
LAGO_DE,A_DA,PatchTST,17,Host,4.7565226554870605,7.4154953956604,4.3458251953125,40.92784118652344,0.0,,,,,,,,,
LAGO_DE,A_DA,PatchTST,37,Host,4.7565226554870605,7.4154953956604,4.3458251953125,40.92784118652344,0.0,,,,,,,,,
LAGO_DE,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,4.330099683287419,6.630413492558692,3.974799668616217,35.680270155004656,7.999024042906632,0.3820890784263611,0.2018348623853211,2.260619251975067,0.0712962409713433,14872.0,18.515929399931338,0.0007241000421345234,6.643119652610306e-06,0.0
LAGO_DE,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,4.297257562506825,6.075986992074958,4.022520007189594,34.07252129410644,8.69681563786166,0.4384462535381317,0.1926605504587156,2.8411239961251686,0.10975170889590896,14877.0,1.7526787999668159,0.0008468000451102853,7.76880775330537e-06,1.1256881006950633e-06
LAGO_DE,A_DA,TimeMixer,17,S1_DailyPatch_GRU32,4.3082407367489,6.558008405311133,3.960747937103365,35.0767234561306,8.463457788554477,0.4388386011123657,0.13761467889908258,2.2292709596930154,0.08580262444345747,14872.0,17.820326500048395,0.0006146000232547522,5.638532323438093e-06,0.0
LAGO_DE,A_DA,TimeMixer,17,HSA_HorizonAlignedStateResidual,4.316470454324309,6.1273893091261264,4.036761010731795,34.196864745706876,8.288602218436505,0.43699854612350464,0.1559633027522936,2.8008987099559164,0.11523158620690056,14877.0,1.6018380000023171,0.0007464000373147428,6.847706764355439e-06,1.2091744409173454e-06
LAGO_DE,A_DA,TimeMixer,37,S1_DailyPatch_GRU32,4.260820702493413,6.433949903732209,3.9251652654088676,33.66523230873246,9.47098411601109,0.4529183506965637,0.14678899082568808,2.1910360099251998,0.07949817036842358,14872.0,19.040681099984795,0.0005516000092029572,5.060550543146396e-06,0.0
LAGO_DE,A_DA,TimeMixer,37,HSA_HorizonAlignedStateResidual,4.258834473063652,6.085310963554689,3.9767220407283204,33.5984226423728,9.513185233624618,0.4528629779815674,0.1834862385321101,2.752216731696599,0.11562949062749872,14877.0,1.790644400054589,0.0007887000101618469,7.235779909741715e-06,2.1752293665953184e-06
LAGO_DE,A_DA,TimeMixer,7,Host,4.70658016204834,7.1415534019470215,4.330480575561523,40.77216339111328,0.0,,,,,,,,,
LAGO_DE,A_DA,TimeMixer,17,Host,4.70658016204834,7.1415534019470215,4.330480575561523,40.77216339111328,0.0,,,,,,,,,
LAGO_DE,A_DA,TimeMixer,37,Host,4.70658016204834,7.1415534019470215,4.330480575561523,40.77216339111328,0.0,,,,,,,,,
LAGO_PJM,A_DA,PatchTST,7,S1_DailyPatch_GRU32,3.0616532662791767,10.475163830478426,2.827788579711377,19.174824486506587,-1.392239281082305,0.07424937933683395,0.44954128440366975,1.302846012362227,0.034351932787109546,14104.0,20.058236300072167,0.0005319999763742089,4.880733728203751e-06,0.0
LAGO_PJM,A_DA,PatchTST,7,HSA_HorizonAlignedStateResidual,3.061745220545849,10.233559376909986,2.835505026338778,19.1215101333204,-1.3952845145553538,0.08186996728181839,0.44954128440366975,1.3667612912593972,0.031076806600911985,14109.0,1.807316099992022,0.0006322499830275774,5.800458559886031e-06,9.197248316822796e-07
LAGO_PJM,A_DA,PatchTST,17,S1_DailyPatch_GRU32,3.013094761807138,10.684002453773825,2.7711102920290087,18.579966016505246,0.21586427485821516,0.14918875694274902,0.3761467889908257,1.0216443728868245,0.016011593877982115,14104.0,24.054700599983335,0.0008002000395208597,7.341284766246419e-06,0.0
LAGO_PJM,A_DA,PatchTST,17,HSA_HorizonAlignedStateResidual,3.0194279425099775,10.356245406317854,2.787982596648531,18.479426635759516,0.006129429862843692,0.15943777561187744,0.3394495412844037,1.1746767225120893,0.01920460810914127,14109.0,1.6560743998852558,0.000903350010048598,8.287614771088056e-06,9.463300048416361e-07
LAGO_PJM,A_DA,PatchTST,37,S1_DailyPatch_GRU32,3.045757513709513,10.661645669876595,2.8055086759755357,18.867664704885065,-0.8658224049953201,0.1238112598657608,0.43119266055045874,1.1385257750844227,0.02021257197648822,14104.0,28.2836708999821,0.0006820000126026571,6.256880849565661e-06,0.0
LAGO_PJM,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,3.0392265910222247,10.30207232879656,2.810114738095589,18.64386131086123,-0.649538973057073,0.131433367729187,0.42201834862385323,1.1511950705740663,0.020817345178120075,14109.0,1.8240787000395358,0.000777349981945008,7.131651210504661e-06,8.747703609389997e-07
LAGO_PJM,A_DA,PatchTST,7,Host,3.019613027572632,10.558648109436035,2.7817885875701904,19.001419067382812,0.0,,,,,,,,,
LAGO_PJM,A_DA,PatchTST,17,Host,3.019613027572632,10.558648109436035,2.7817885875701904,19.001419067382812,0.0,,,,,,,,,
LAGO_PJM,A_DA,PatchTST,37,Host,3.019613027572632,10.558648109436035,2.7817885875701904,19.001419067382812,0.0,,,,,,,,,
LAGO_PJM,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,3.112615767119781,8.12538783564643,2.95448415612525,18.883762001117976,3.36959428097241,0.3933037519454956,0.22935779816513763,2.7183292878009966,0.13303178487555378,14104.0,28.229163600015454,0.0005936999805271626,5.446788812175803e-06,0.0
LAGO_PJM,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,3.135664852930965,7.911554303011812,2.9850058797422956,19.15587055030176,2.6540409714650286,0.39009329676628113,0.2018348623853211,2.9266148678112924,0.13586865564452283,14109.0,1.8486578000593,0.0006982999911997467,6.406421937612355e-06,9.59633125436552e-07
LAGO_PJM,A_DA,TimeMixer,17,S1_DailyPatch_GRU32,3.061235350998428,8.174372969414806,2.899937634329142,18.006846171814047,4.9646869063667145,0.4221581518650055,0.11926605504587157,2.3746229009693502,0.09762303346199643,14104.0,24.549945199978538,0.0005321999778971076,4.88256860456062e-06,0.0
LAGO_PJM,A_DA,TimeMixer,17,HSA_HorizonAlignedStateResidual,3.0678864331719886,8.16087017742945,2.9072244854036144,18.136776819648162,4.758205664547245,0.42031264305114746,0.1651376146788991,2.3503799381463346,0.09050921740085456,14109.0,1.784479999972973,0.0008116499520838261,7.446329835631432e-06,2.5637612310708115e-06
LAGO_PJM,A_DA,TimeMixer,37,S1_DailyPatch_GRU32,3.01652506447999,8.55340427623572,2.84186010511861,17.40097170252522,6.352706967091539,0.4319271743297577,0.1559633027522936,2.4309686171566685,0.09040979677094253,14104.0,25.94229889998678,0.0009429000201635063,8.650458900582626e-06,0.0
LAGO_PJM,A_DA,TimeMixer,37,HSA_HorizonAlignedStateResidual,3.014210829917195,8.376495087169422,2.845053597827219,17.37610290099657,6.424551820893978,0.4391174018383026,0.14678899082568808,2.379021577566705,0.08824011945500773,14109.0,2.18728390004253,0.0010702500294428319,9.818807609567265e-06,1.1683487089846385e-06
LAGO_PJM,A_DA,TimeMixer,7,Host,3.2211556434631348,9.623579978942871,3.019186496734619,20.96799087524414,0.0,,,,,,,,,
LAGO_PJM,A_DA,TimeMixer,17,Host,3.2211556434631348,9.623579978942871,3.019186496734619,20.96799087524414,0.0,,,,,,,,,
LAGO_PJM,A_DA,TimeMixer,37,Host,3.2211556434631348,9.623579978942871,3.019186496734619,20.96799087524414,0.0,,,,,,,,,
