market,track,host,seed,stage,block,beta_DEMAND_FC,beta_RENEWABLE_FC,beta_SUPPLY_MARGIN_FC,beta_INTERCHANGE_FC,beta_MUST_RUN_FC,objective,training_seconds,zero_init_replay_max_abs_diff,n_train_rows
LAGO_DE,A_DA,PatchTST,7,OOF,B2,0.09261661767959595,-0.22344045341014862,0.0,0.0,0.0,0.041954606771469116,0.3930728000123054,5.960464477539063e-08,50
LAGO_DE,A_DA,PatchTST,7,OOF,B3,0.10101141035556793,-0.3113637864589691,0.0,0.0,0.0,0.04427458718419075,0.41420399997150525,5.960464477539063e-08,99
LAGO_DE,A_DA,PatchTST,7,OOF,B4,0.09514942020177841,-0.3081584572792053,0.0,0.0,0.0,0.04129338636994362,0.45193250000011176,5.960464477539063e-08,148
LAGO_DE,A_DA,PatchTST,7,FINAL,,0.0850955992937088,-0.3470190465450287,0.0,0.0,0.0,0.04322880133986473,0.4548023999668658,5.960464477539063e-08,197
LAGO_DE,A_DA,PatchTST,17,OOF,B2,0.1531372219324112,-0.2878981828689575,0.0,0.0,0.0,0.04211897775530815,0.405399999988731,5.960464477539063e-08,50
LAGO_DE,A_DA,PatchTST,17,OOF,B3,0.1453399509191513,-0.3414858281612396,0.0,0.0,0.0,0.04464466869831085,0.434055499965325,5.960464477539063e-08,99
LAGO_DE,A_DA,PatchTST,17,OOF,B4,0.11769942194223404,-0.32755476236343384,0.0,0.0,0.0,0.04180600494146347,0.4411969000357203,5.960464477539063e-08,148
LAGO_DE,A_DA,PatchTST,17,FINAL,,0.10423660278320312,-0.36051690578460693,0.0,0.0,0.0,0.042713090777397156,0.4346197000122629,5.960464477539063e-08,197
LAGO_DE,A_DA,PatchTST,37,OOF,B2,0.1258990615606308,-0.2742727994918823,0.0,0.0,0.0,0.044404417276382446,0.372515499999281,5.960464477539063e-08,50
LAGO_DE,A_DA,PatchTST,37,OOF,B3,0.11950048804283142,-0.32756397128105164,0.0,0.0,0.0,0.045824360102415085,0.39261500001884997,5.960464477539063e-08,99
LAGO_DE,A_DA,PatchTST,37,OOF,B4,0.10600880533456802,-0.31375056505203247,0.0,0.0,0.0,0.04203818738460541,0.3876745000015944,5.960464477539063e-08,148
LAGO_DE,A_DA,PatchTST,37,FINAL,,0.09953571856021881,-0.3307386636734009,0.0,0.0,0.0,0.04272906482219696,0.418767899973318,5.960464477539063e-08,197
LAGO_DE,A_DA,TimeMixer,7,OOF,B2,0.18040986359119415,-0.3485346734523773,0.0,0.0,0.0,0.040914103388786316,0.39457050000783056,5.960464477539063e-08,50
LAGO_DE,A_DA,TimeMixer,7,OOF,B3,0.1588541567325592,-0.4097517132759094,0.0,0.0,0.0,0.0433201901614666,0.43016869999701157,5.960464477539063e-08,99
LAGO_DE,A_DA,TimeMixer,7,OOF,B4,0.11700465530157089,-0.36376670002937317,0.0,0.0,0.0,0.04030654579401016,0.424493899976369,5.960464477539063e-08,148
LAGO_DE,A_DA,TimeMixer,7,FINAL,,0.08047918230295181,-0.3653947412967682,0.0,0.0,0.0,0.04277520626783371,0.5034456999856047,5.960464477539063e-08,197
LAGO_DE,A_DA,TimeMixer,17,OOF,B2,0.21209006011486053,-0.4369005262851715,0.0,0.0,0.0,0.045084528625011444,0.383854599960614,5.960464477539063e-08,50
LAGO_DE,A_DA,TimeMixer,17,OOF,B3,0.15586957335472107,-0.4570373296737671,0.0,0.0,0.0,0.04492085799574852,0.39235629996983334,5.960464477539063e-08,99
LAGO_DE,A_DA,TimeMixer,17,OOF,B4,0.10387057065963745,-0.38852137327194214,0.0,0.0,0.0,0.0408899188041687,0.3913087000255473,5.960464477539063e-08,148
LAGO_DE,A_DA,TimeMixer,17,FINAL,,0.07513101398944855,-0.4037959575653076,0.0,0.0,0.0,0.04346168041229248,0.4343184000463225,8.940696716308594e-08,197
LAGO_DE,A_DA,TimeMixer,37,OOF,B2,0.19522492587566376,-0.3841927647590637,0.0,0.0,0.0,0.04269416630268097,0.39883120002923533,5.960464477539063e-08,50
LAGO_DE,A_DA,TimeMixer,37,OOF,B3,0.1740489900112152,-0.42009949684143066,0.0,0.0,0.0,0.043007925152778625,0.42999760003294796,5.960464477539063e-08,99
LAGO_DE,A_DA,TimeMixer,37,OOF,B4,0.11900383234024048,-0.3680610656738281,0.0,0.0,0.0,0.03945957124233246,0.46075670002028346,5.960464477539063e-08,148
LAGO_DE,A_DA,TimeMixer,37,FINAL,,0.09118084609508514,-0.39910343289375305,0.0,0.0,0.0,0.042106371372938156,0.5010588999721222,5.960464477539063e-08,197
LAGO_PJM,A_DA,PatchTST,7,OOF,B2,0.1011955663561821,0.0,0.0,0.0,0.0,0.07137876003980637,0.42994679999537766,5.960464477539063e-08,50
LAGO_PJM,A_DA,PatchTST,7,OOF,B3,0.12415940314531326,0.0,0.0,0.0,0.0,0.0686362087726593,0.4839489000150934,5.960464477539063e-08,99
LAGO_PJM,A_DA,PatchTST,7,OOF,B4,0.07790190726518631,0.0,0.0,0.0,0.0,0.06604092568159103,0.38552870001876727,5.960464477539063e-08,148
LAGO_PJM,A_DA,PatchTST,7,FINAL,,0.07226978987455368,0.0,0.0,0.0,0.0,0.06233902648091316,0.5078916999627836,5.960464477539063e-08,197
LAGO_PJM,A_DA,PatchTST,17,OOF,B2,-0.002528896788135171,0.0,0.0,0.0,0.0,0.0676267147064209,0.41392479999922216,5.960464477539063e-08,50
LAGO_PJM,A_DA,PatchTST,17,OOF,B3,0.09116461127996445,0.0,0.0,0.0,0.0,0.06839558482170105,0.3540608999901451,5.960464477539063e-08,99
LAGO_PJM,A_DA,PatchTST,17,OOF,B4,0.07414872944355011,0.0,0.0,0.0,0.0,0.06832785904407501,0.40641189995221794,5.960464477539063e-08,148
LAGO_PJM,A_DA,PatchTST,17,FINAL,,0.1141560971736908,0.0,0.0,0.0,0.0,0.06442911922931671,0.48167679994367063,5.960464477539063e-08,197
LAGO_PJM,A_DA,PatchTST,37,OOF,B2,0.046042587608098984,0.0,0.0,0.0,0.0,0.06956622749567032,0.44780769996577874,5.960464477539063e-08,50
LAGO_PJM,A_DA,PatchTST,37,OOF,B3,0.11813853681087494,0.0,0.0,0.0,0.0,0.07018230110406876,0.3927467000321485,5.960464477539063e-08,99
LAGO_PJM,A_DA,PatchTST,37,OOF,B4,0.07485507428646088,0.0,0.0,0.0,0.0,0.06831628829240799,0.5159395000082441,5.960464477539063e-08,148
LAGO_PJM,A_DA,PatchTST,37,FINAL,,0.08513602614402771,0.0,0.0,0.0,0.0,0.06517292559146881,0.46758480003336444,5.960464477539063e-08,197
LAGO_PJM,A_DA,TimeMixer,7,OOF,B2,0.03564384952187538,0.0,0.0,0.0,0.0,0.058247242122888565,0.41077370004495606,5.960464477539063e-08,50
LAGO_PJM,A_DA,TimeMixer,7,OOF,B3,0.06448699533939362,0.0,0.0,0.0,0.0,0.05144404247403145,0.45526780001819134,5.960464477539063e-08,99
LAGO_PJM,A_DA,TimeMixer,7,OOF,B4,0.08101481199264526,0.0,0.0,0.0,0.0,0.048241835087537766,0.5088036999804899,5.960464477539063e-08,148
LAGO_PJM,A_DA,TimeMixer,7,FINAL,,0.06243176385760307,0.0,0.0,0.0,0.0,0.043601009994745255,0.4738126000156626,1.1920928955078125e-07,197
LAGO_PJM,A_DA,TimeMixer,17,OOF,B2,-0.009243813343346119,0.0,0.0,0.0,0.0,0.050143446773290634,0.4367474999744445,5.960464477539063e-08,50
LAGO_PJM,A_DA,TimeMixer,17,OOF,B3,0.03309524059295654,0.0,0.0,0.0,0.0,0.051280438899993896,0.4500642000348307,5.960464477539063e-08,99
LAGO_PJM,A_DA,TimeMixer,17,OOF,B4,0.05244480073451996,0.0,0.0,0.0,0.0,0.04943718761205673,0.41162239998811856,5.960464477539063e-08,148
LAGO_PJM,A_DA,TimeMixer,17,FINAL,,0.03615151718258858,0.0,0.0,0.0,0.0,0.04659843072295189,0.48604589997557923,5.960464477539063e-08,197
LAGO_PJM,A_DA,TimeMixer,37,OOF,B2,0.06299284100532532,0.0,0.0,0.0,0.0,0.05526969954371452,0.6605224999948405,5.960464477539063e-08,50
LAGO_PJM,A_DA,TimeMixer,37,OOF,B3,0.07373026758432388,0.0,0.0,0.0,0.0,0.05435344949364662,0.7204955000197515,5.960464477539063e-08,99
LAGO_PJM,A_DA,TimeMixer,37,OOF,B4,0.07726000994443893,0.0,0.0,0.0,0.0,0.050906889140605927,0.4464143000077456,5.960464477539063e-08,148
LAGO_PJM,A_DA,TimeMixer,37,FINAL,,0.0574217289686203,0.0,0.0,0.0,0.0,0.048692137002944946,0.35985160002019256,5.960464477539063e-08,197
