cell,seed,variant,check,step,val_mae_ema,val_mae_raw,train_mae_ema,lr,L_rec,L_b,L_B,L_S,L_total_frozen,aux_mean,used_full_loss_at_this_step,loss_schedule,selected
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,0,0,77.10411071777344,77.10411071777344,74.71075439453125,0.001,2.3304455280303955,0.7834678888320923,1.2672338485717773,3.4361071586608887,4.159381866455078,1.8289362986882527,,L_rec_only,true
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,1,50,77.10648345947266,77.14239501953125,74.71013641357422,0.001,2.3304262161254883,0.7834575772285461,1.2655342817306519,3.4123313426971436,4.150867462158203,1.8204410672187805,true,L_rec_plus_aux,false
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,2,100,77.12049102783203,77.06808471679688,74.70761108398438,0.001,2.3303472995758057,0.7834387421607971,1.2550084590911865,3.3635075092315674,4.130998611450195,1.8006515701611836,true,L_rec_plus_aux,false
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,3,150,77.14281463623047,77.1399154663086,74.69849395751953,0.001,2.3300631046295166,0.7834131121635437,1.2229934930801392,3.298712968826294,4.09843635559082,1.768373191356659,true,L_rec_plus_aux,false
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,4,200,77.1666488647461,77.18001556396484,74.67498016357422,0.001,2.3293297290802,0.7833799719810486,1.1655867099761963,3.2342495918273926,4.057068347930908,1.7277387579282124,true,L_rec_plus_aux,false
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,5,250,77.18962860107422,77.26289367675781,74.62610626220703,0.001,2.3278050422668457,0.7833482027053833,1.0796887874603271,3.1719911098480225,4.006147861480713,1.6783427000045776,true,L_rec_plus_aux,false
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,6,300,77.20783233642578,77.23980712890625,74.54256439208984,0.001,2.3251991271972656,0.7833237648010254,0.984448254108429,3.1143460273742676,3.9525718688964844,1.627372682094574,true,L_rec_plus_aux,false
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,7,350,77.22770690917969,77.3528823852539,74.42453002929688,0.001,2.3215172290802,0.7832909822463989,0.8976486325263977,3.063366413116455,3.9029526710510254,1.5814353426297505,true,L_rec_plus_aux,false
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,8,400,77.26168823242188,77.5384292602539,74.27792358398438,0.001,2.3169445991516113,0.7832480669021606,0.8248146772384644,3.017961025238037,3.858952522277832,1.5420079231262207,true,L_rec_plus_aux,false
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,9,450,77.2916488647461,77.29923248291016,74.07032775878906,0.001,2.3104686737060547,0.783194899559021,0.7688664197921753,2.981069326400757,3.821512222290039,1.5110435485839844,false,L_rec_only,false
