group_type,group,view,metric,n_days,rho_perday_median,rho_perday_positive_frac,rho_pooled_7xN,n_pairs_pooled,frac_headroom_recovered_median,frac_defined_frac,err_summary_uniform_median,err_summary_massweighted_median,err_legal_median,err_oracle_median
ALL,ALL,abs,b_dist,7108,0.0,0.4898705683736635,0.11592050550916767,49756,-0.2439641072573216,0.8873100731570062,0.8197425813207199,0.9215069285316033,1.0744994011352473,0.21000368592470783
ALL,ALL,abs,logB_dist,7108,0.0,0.4953573438379291,0.07273774256199396,49756,-0.14928937475073317,0.8905458638154192,0.37843880480251135,0.40216496959284453,0.4555016469868938,0.08545880891064378
ALL,ALL,abs,shape_dist,7108,0.03571428571428571,0.5014068655036579,0.06580654445493711,49756,-0.4530324855209266,0.8714124929656725,4.048710434632179,4.17937820205848,5.042214316185816,2.334532925397176
ALL,ALL,rel,b_dist,7108,0.0,0.4994372537985369,0.14638411014989847,49756,-0.2180631040994512,0.8873100731570062,0.8197425813207199,0.9215069285316033,1.054328886266644,0.21000368592470783
ALL,ALL,rel,logB_dist,7108,0.0,0.4998593134496342,0.0710108015038867,49756,-0.13144254589809723,0.8905458638154192,0.37843880480251135,0.40216496959284453,0.44761948101322147,0.08545880891064378
ALL,ALL,rel,shape_dist,7108,0.03571428571428571,0.5168823860438942,0.06658323908599742,49756,-0.4110813188460243,0.8714124929656725,4.048710434632179,4.17937820205848,4.938534125931933,2.334532925397176
MARKET,GANSU_DA,abs,b_dist,1064,-0.03571428571428571,0.4483082706766917,-0.029103286983626662,7448,-0.2533774907192524,0.9116541353383458,0.8984752084175275,0.9943970930009649,1.1431166066987575,0.21608845079808262
MARKET,GANSU_DA,abs,logB_dist,1064,-0.03571428571428571,0.45300751879699247,0.04281227215093326,7448,-0.15246538107292712,0.9154135338345865,0.40011590755108106,0.3953728603492098,0.46766978703831263,0.0835611589139193
MARKET,GANSU_DA,abs,shape_dist,1064,-0.03571428571428571,0.45394736842105265,-0.01215699901390391,7448,-0.5701008027309129,0.8609022556390977,3.8497507235548323,3.9343838320558366,4.995059830634534,2.518987214388999
MARKET,GANSU_DA,rel,b_dist,1064,0.0,0.47368421052631576,-0.06438171698000103,7448,-0.25020723577877235,0.9116541353383458,0.8984752084175275,0.9943970930009649,1.140724782298847,0.21608845079808262
MARKET,GANSU_DA,rel,logB_dist,1064,0.0,0.4906015037593985,-0.016191967728012728,7448,-0.13780777661196375,0.9154135338345865,0.40011590755108106,0.3953728603492098,0.4726741394066386,0.0835611589139193
MARKET,GANSU_DA,rel,shape_dist,1064,0.0,0.48026315789473684,0.012388995967823795,7448,-0.44634554267259063,0.8609022556390977,3.8497507235548323,3.9343838320558366,4.80263558335152,2.518987214388999
MARKET,NINGXIA_DA,abs,b_dist,352,0.017857142857142856,0.5,-0.007582748638651869,2464,-0.08347153955966839,0.8920454545454546,1.1035103571774996,1.2103802519362243,1.3789717504105132,0.2333823320744642
MARKET,NINGXIA_DA,abs,logB_dist,352,0.03571428571428571,0.5056818181818182,0.06309275303072535,2464,-0.16981200620984185,0.875,0.38126050437911513,0.39693062145701674,0.49145692330550195,0.08829088036564864
MARKET,NINGXIA_DA,abs,shape_dist,352,0.05357142857142857,0.5369318181818182,0.06701290503257382,2464,-0.3519537570020822,0.8579545454545454,3.78991436884713,3.77104605682562,4.721541807098699,2.2065084014642435
MARKET,NINGXIA_DA,rel,b_dist,352,0.0,0.4971590909090909,0.07562314258614224,2464,-0.18118084753381797,0.8920454545454546,1.1035103571774996,1.2103802519362243,1.457529991739384,0.2333823320744642
MARKET,NINGXIA_DA,rel,logB_dist,352,0.07142857142857142,0.5340909090909091,0.03635104609124167,2464,-0.14498024035938262,0.875,0.38126050437911513,0.39693062145701674,0.5044026642288786,0.08829088036564864
MARKET,NINGXIA_DA,rel,shape_dist,352,0.05357142857142857,0.5255681818181818,0.11933721739739236,2464,-0.44986776492034763,0.8579545454545454,3.78991436884713,3.77104605682562,4.91308291932103,2.2065084014642435
MARKET,QINGHAI_DA,abs,b_dist,324,0.07142857142857142,0.5432098765432098,0.23272699113780737,2268,-0.27060579723774375,0.8858024691358025,0.8199711424305172,0.9210949579085586,1.1263334784207095,0.2174354779520989
MARKET,QINGHAI_DA,abs,logB_dist,324,-0.07142857142857142,0.4444444444444444,0.17769275017054165,2268,-0.27441242017456685,0.9012345679012346,0.37451873675311165,0.38534678424286495,0.475662233988558,0.10416177866872128
MARKET,QINGHAI_DA,abs,shape_dist,324,0.07142857142857142,0.5370370370370371,0.13677281639165242,2268,-0.25176820366058533,0.8672839506172839,3.9788643578345946,3.986040861062918,4.565355995083099,2.209677234386218
MARKET,QINGHAI_DA,rel,b_dist,324,0.03571428571428571,0.5462962962962963,0.23844098797630442,2268,-0.31663006785570036,0.8858024691358025,0.8199711424305172,0.9210949579085586,1.1860657322136192,0.2174354779520989
MARKET,QINGHAI_DA,rel,logB_dist,324,-0.017857142857142856,0.46296296296296297,0.163068984726047,2268,-0.21040552876468144,0.9012345679012346,0.37451873675311165,0.38534678424286495,0.4532353349770347,0.10416177866872128
MARKET,QINGHAI_DA,rel,shape_dist,324,0.03571428571428571,0.5339506172839507,0.11514504898841801,2268,-0.3503711489858462,0.8672839506172839,3.9788643578345946,3.986040861062918,4.738527701571858,2.209677234386218
MARKET,SHAANXI_DA,abs,b_dist,1040,-0.03571428571428571,0.4625,0.06276327798978512,7280,-0.26463595138443247,0.8894230769230769,0.9254194254037879,0.9528573582655444,1.2059346946396423,0.2305635198034345
MARKET,SHAANXI_DA,abs,logB_dist,1040,0.0,0.46826923076923077,0.046733149248414464,7280,-0.249040864013304,0.8673076923076923,0.39766887107872967,0.4168014354161984,0.5093848483781358,0.09544638583268694
MARKET,SHAANXI_DA,abs,shape_dist,1040,0.03571428571428571,0.5067307692307692,0.08149890698885717,7280,-0.32477703422453114,0.8605769230769231,4.149331105231756,4.171843417863522,4.7689093504653695,2.5990580902722
MARKET,SHAANXI_DA,rel,b_dist,1040,0.0,0.4625,0.11588590483793526,7280,-0.18134998716388856,0.8894230769230769,0.9254194254037879,0.9528573582655444,1.141094734043356,0.2305635198034345
MARKET,SHAANXI_DA,rel,logB_dist,1040,0.0,0.475,0.04254689700656861,7280,-0.2061767534260361,0.8673076923076923,0.39766887107872967,0.4168014354161984,0.4893049247889102,0.09544638583268694
MARKET,SHAANXI_DA,rel,shape_dist,1040,0.05357142857142857,0.5346153846153846,0.07538390123490665,7280,-0.25567202836190633,0.8605769230769231,4.149331105231756,4.171843417863522,4.698624079721183,2.5990580902722
MARKET,SHANDONG_DA,abs,b_dist,4328,0.03571428571428571,0.5018484288354899,0.19695292811236292,30296,-0.24093485520621766,0.8805452865064695,0.7604405092730082,0.8768966028539064,1.0055469968423274,0.1986129636878689
MARKET,SHANDONG_DA,abs,logB_dist,4328,0.03571428571428571,0.5152495378927912,0.114516849629697,30296,-0.11037060465379514,0.8904805914972274,0.3669723795915575,0.40186585593016866,0.43640551591644894,0.0827998494553302
MARKET,SHANDONG_DA,abs,shape_dist,4328,0.03571428571428571,0.5062384473197782,0.08064976949533656,30296,-0.4870927545647117,0.878003696857671,4.075638923926719,4.260554933104766,5.15016377876854,2.2498528849631008
MARKET,SHANDONG_DA,rel,b_dist,4328,0.03571428571428571,0.5113216266173752,0.20140889909390036,30296,-0.2084923644788238,0.8805452865064695,0.7604405092730082,0.8768966028539064,0.9877215267570516,0.1986129636878689
MARKET,SHANDONG_DA,rel,logB_dist,4328,0.03571428571428571,0.508086876155268,0.09901097432514123,30296,-0.10307671893687666,0.8904805914972274,0.3669723795915575,0.40186585593016866,0.4261664288212785,0.0827998494553302
MARKET,SHANDONG_DA,rel,shape_dist,4328,0.03571428571428571,0.5196395563770795,0.07391497163381658,30296,-0.43809848839185184,0.878003696857671,4.075638923926719,4.260554933104766,5.045657855892064,2.2498528849631008
HOST_FAMILY,LSTM,abs,b_dist,1777,0.03571428571428571,0.5137872819358469,0.07981610758136574,12439,-0.21701761877131023,0.8868880135059088,0.8039424899093655,0.9179735328894366,1.0551119024589657,0.20707079275087414
HOST_FAMILY,LSTM,abs,logB_dist,1777,0.07142857142857142,0.5284186831738886,0.08311560292205256,12439,-0.1849877874251692,0.8790095666854248,0.3694574230304335,0.3967574011773707,0.4536396263596665,0.0817079160115976
HOST_FAMILY,LSTM,abs,shape_dist,1777,0.03571428571428571,0.5205402363534046,0.07518683601487879,12439,-0.37546139124428113,0.8790095666854248,3.9394599895059965,4.069219207141062,4.774319363786537,2.2088209246465254
HOST_FAMILY,LSTM,rel,b_dist,1777,0.03571428571428571,0.5211029825548678,0.12701623255568137,12439,-0.22294576389306925,0.8868880135059088,0.8039424899093655,0.9179735328894366,1.032727238420489,0.20707079275087414
HOST_FAMILY,LSTM,rel,logB_dist,1777,0.03571428571428571,0.5143500281373101,0.08646062921786296,12439,-0.16747845636871675,0.8790095666854248,0.3694574230304335,0.3967574011773707,0.464951971567681,0.0817079160115976
HOST_FAMILY,LSTM,rel,shape_dist,1777,0.07142857142857142,0.5346088913899831,0.08828142483031359,12439,-0.369883417797217,0.8790095666854248,3.9394599895059965,4.069219207141062,4.722618933709048,2.2088209246465254
HOST_FAMILY,PatchTST,abs,b_dist,1777,0.0,0.48958919527293193,0.14652128087756155,12439,-0.2875851510378198,0.8745075970737197,0.7952421427214653,0.8984126061650887,1.114309072182323,0.21007584404953428
HOST_FAMILY,PatchTST,abs,logB_dist,1777,0.0,0.49634214969048956,0.07524954473444308,12439,-0.08173632935845299,0.8970174451322454,0.3912926406402396,0.41349656696843384,0.4622485168166873,0.08562971109447426
