target,family,held_out_market,n_train_rows,n_test_rows,n_train_cells,n_test_cells,spearman_rho,probe_mae,const_median_mae,r2_descriptive,quartile_top_minus_bottom,quartile_diff_sign,probe_beats_const,n_folds_probe_beats_const
log1p_alpha_star,distance,GANSU_DA,5096,896,16,4,0.1270693201954929,0.4705185564544162,0.4536774122384997,-0.06609203564468502,0.21196364864433304,1,false,
log1p_alpha_star,distance,SHANDONG_DA,2328,3664,16,4,0.006636932685680794,0.6051097287068002,0.5410052784965204,-0.2985723062240684,0.03885986084553772,1,false,
log1p_alpha_star,distance,SHAANXI_DA,5116,876,16,4,0.014243322796422465,0.8475464944423018,0.8433702752364164,-0.28337472910895833,0.015304396108344998,1,false,
log1p_alpha_star,distance,NINGXIA_DA,5704,288,16,4,-0.022000787248648943,0.28723981909513735,0.24375341013579638,-0.3174081579636814,0.016275836628767193,1,false,
log1p_alpha_star,distance,QINGHAI_DA,5724,268,16,4,-0.1788421279689334,0.25209902750246654,0.14060560165870134,-2.353211590941868,-0.0700880457508597,-1,false,
log1p_alpha_star,distance,ALL_FOLDS,,,,,0.006636932685680794,0.4705185564544162,0.4536774122384997,-0.2985723062240684,0.016275836628767193,1,false,0
ray_headroom_pct,distance,GANSU_DA,5096,896,16,4,0.10181951276801897,7.270581582887524,5.19053251039527,-0.39326838144497,1.5948188547456628,1,false,
ray_headroom_pct,distance,SHANDONG_DA,2328,3664,16,4,0.08654097594683927,7.88089741132728,8.155425206059881,-0.07591365643524783,1.7241879316772764,1,true,
ray_headroom_pct,distance,SHAANXI_DA,5116,876,16,4,0.10925197312488982,8.682819246371354,8.68125371646017,-0.09676207381251034,2.651664158909975,1,false,
ray_headroom_pct,distance,NINGXIA_DA,5704,288,16,4,-0.012307146675025821,6.055212149197178,5.663459896240813,-0.12359415290687736,1.3373716110985692,1,false,
ray_headroom_pct,distance,QINGHAI_DA,5724,268,16,4,-0.12794512878986714,4.983456838465313,3.279429477414684,-2.129952592540557,-1.7013152156980675,-1,false,
ray_headroom_pct,distance,ALL_FOLDS,,,,,0.08654097594683927,7.270581582887524,5.663459896240813,-0.12359415290687736,1.5948188547456628,1,false,1
B_headroom_pct,balanced_mass,GANSU_DA,5096,896,16,4,0.1155743773472095,5.016954447327213,3.600746581690793,-0.3375359312883115,0.78927163276566,1,false,
B_headroom_pct,balanced_mass,SHANDONG_DA,2328,3664,16,4,-0.034496512882877466,7.589835027185105,6.047335545703583,-0.22605631649814462,-0.38743965749654674,-1,false,
B_headroom_pct,balanced_mass,SHAANXI_DA,5116,876,16,4,0.17321860907246953,6.568549037018132,3.4949747763455035,-1.2112137436213053,0.3997546300203455,1,false,
B_headroom_pct,balanced_mass,NINGXIA_DA,5704,288,16,4,-0.026691020741151553,5.841577556051514,5.785326002189901,-0.19684457747776762,-1.3993045320347335,-1,false,
B_headroom_pct,balanced_mass,QINGHAI_DA,5724,268,16,4,-0.22277215069134507,9.356330951797245,10.111921645128568,-1.006292013635858,-6.932041725590313,-1,true,
B_headroom_pct,balanced_mass,ALL_FOLDS,,,,,-0.026691020741151553,6.568549037018132,5.785326002189901,-0.3375359312883115,-0.38743965749654674,-1,false,1
shape_headroom_pct,shape,GANSU_DA,5096,896,16,4,0.01048038219977739,25.762284980342315,17.744683319047546,-0.7302702960409351,-0.9907012311205712,-1,false,
shape_headroom_pct,shape,SHANDONG_DA,2328,3664,16,4,-0.04761198200584107,35.18530765030971,28.818206365886784,-0.42459416393579796,-1.8523361520942316,-1,false,
shape_headroom_pct,shape,SHAANXI_DA,5116,876,16,4,-0.020832003784472506,22.249929730303666,14.083321050475021,-2.5665001180736033,1.475046862815768,1,false,
shape_headroom_pct,shape,NINGXIA_DA,5704,288,16,4,0.10404384135289697,21.09827345009132,20.23956352161345,-0.2274529036608932,3.1709729915679183,1,false,
shape_headroom_pct,shape,QINGHAI_DA,5724,268,16,4,0.09030969790785433,52.49799638061445,55.6182869058506,-0.6593055104126742,30.47207042388127,1,true,
shape_headroom_pct,shape,ALL_FOLDS,,,,,0.01048038219977739,25.762284980342315,20.23956352161345,-0.6593055104126742,1.475046862815768,1,false,1
