Timestamp,NO1,NO2,NO3,NO4,NO5
2024-01-01 00:00:00,53.79,53.79,29.56,29.56,55.41
2024-01-01 01:00:00,48.98,48.98,28.46,28.46,53.41
2024-01-01 02:00:00,27.45,27.45,26.66,26.66,52.03
2024-01-01 03:00:00,24.48,24.48,24.48,24.48,50.74
2024-01-01 04:00:00,24.01,24.01,24.01,24.01,49.84
2024-01-01 05:00:00,21.23,21.23,21.23,21.23,53.77
2024-01-01 06:00:00,22.62,22.62,22.62,22.62,57.07
2024-01-01 07:00:00,25.04,25.04,25.04,25.04,57.22
2024-01-01 08:00:00,26.24,26.24,26.24,26.24,46.76
2024-01-01 09:00:00,32.21,32.21,32.21,30.93,46.89
2024-01-01 10:00:00,47.71,47.71,41.34,32.99,47.71
2024-01-01 11:00:00,52.51,52.51,43.51,35.56,52.51
2024-01-01 12:00:00,56.57,56.57,43.02,35.56,56.57
2024-01-01 13:00:00,59.82,59.82,44.29,38.14,59.82
2024-01-01 14:00:00,62.06,62.06,46.24,38.14,62.06
2024-01-01 15:00:00,62.52,62.52,50.61,38.14,62.52
2024-01-01 16:00:00,63.19,63.19,59.47,39.55,63.19
2024-01-01 17:00:00,64.99,64.99,64.99,40.25,64.99
2024-01-01 18:00:00,63.58,63.58,61.74,38.14,63.58
2024-01-01 19:00:00,63.1,63.1,55.07,38.14,63.1
2024-01-01 20:00:00,62.15,62.15,48.01,35.56,62.15
2024-01-01 21:00:00,58.27,58.27,44.01,35.56,58.27
2024-01-01 22:00:00,52.58,52.58,45.2,35.56,52.58
2024-01-01 23:00:00,44.03,44.03,38.0,35.01,50.93
2024-01-02 00:00:00,38.0,38.0,38.0,32.65,60.28
2024-01-02 01:00:00,33.56,33.56,33.56,32.74,58.45
2024-01-02 02:00:00,32.03,32.03,32.03,32.03,58.14
2024-01-02 03:00:00,32.29,32.29,32.29,32.29,57.55
2024-01-02 04:00:00,36.7,36.7,36.7,33.22,58.1
2024-01-02 05:00:00,41.72,41.72,41.72,38.18,59.3
2024-01-02 06:00:00,49.18,49.18,49.18,41.83,58.55
2024-01-02 07:00:00,62.04,62.04,58.75,44.42,62.04
2024-01-02 08:00:00,65.67,65.67,65.67,44.44,65.67
2024-01-02 09:00:00,66.8,66.8,66.11,44.44,66.8
2024-01-02 10:00:00,71.08,71.08,68.98,44.41,71.08
2024-01-02 11:00:00,73.54,73.54,73.54,44.41,73.54
2024-01-02 12:00:00,78.16,78.16,78.16,44.87,78.16
