Timestamp,NO1,NO2,NO3,NO4,NO5
2020-01-01 00:00:00,31.82,31.82,28.78,28.78,31.82
2020-01-01 01:00:00,31.77,31.77,28.45,28.45,31.77
2020-01-01 02:00:00,31.57,31.57,27.9,27.9,31.57
2020-01-01 03:00:00,31.28,31.28,27.52,27.52,31.28
2020-01-01 04:00:00,30.72,30.72,27.54,27.54,30.72
2020-01-01 05:00:00,30.27,30.27,26.55,26.55,30.27
2020-01-01 06:00:00,30.17,30.17,25.83,25.83,30.17
2020-01-01 07:00:00,30.14,30.14,25.07,25.07,30.14
2020-01-01 08:00:00,30.49,30.49,25.65,25.65,30.49
2020-01-01 09:00:00,30.59,30.59,26.15,26.15,30.59
2020-01-01 10:00:00,30.27,30.27,26.77,26.77,30.27
2020-01-01 11:00:00,30.34,30.34,27.4,27.4,30.34
2020-01-01 12:00:00,30.59,30.59,28.08,28.08,30.59
2020-01-01 13:00:00,30.38,30.38,28.69,28.69,30.38
2020-01-01 14:00:00,30.6,30.6,29.37,29.37,30.6
2020-01-01 15:00:00,31.09,31.09,29.97,29.97,31.09
2020-01-01 16:00:00,31.53,31.53,30.46,30.46,31.53
2020-01-01 17:00:00,31.78,31.78,30.39,30.39,31.78
2020-01-01 18:00:00,31.64,31.64,30.06,30.06,31.64
2020-01-01 19:00:00,31.44,31.44,29.38,29.38,31.44
2020-01-01 20:00:00,31.35,31.35,27.65,27.65,31.35
2020-01-01 21:00:00,31.07,31.07,27.33,27.33,31.07
2020-01-01 22:00:00,30.96,30.96,25.88,25.88,30.96
2020-01-01 23:00:00,30.61,30.61,24.81,24.81,30.61
2020-01-02 00:00:00,30.78,30.78,12.07,12.07,30.78
2020-01-02 01:00:00,30.64,30.64,13.13,13.13,30.64
2020-01-02 02:00:00,30.43,30.43,19.07,19.07,30.43
2020-01-02 03:00:00,29.84,29.84,21.12,21.12,29.84
2020-01-02 04:00:00,29.9,29.9,24.29,24.29,29.9
2020-01-02 05:00:00,30.44,30.44,26.27,26.27,30.44
2020-01-02 06:00:00,31.68,31.68,27.74,27.74,31.68
2020-01-02 07:00:00,31.79,31.79,28.39,28.39,31.79
2020-01-02 08:00:00,31.83,31.83,29.37,29.37,31.83
2020-01-02 09:00:00,31.74,31.74,29.95,29.95,31.74
2020-01-02 10:00:00,31.63,31.63,29.91,29.91,31.63
2020-01-02 11:00:00,31.32,31.32,29.96,29.96,31.32
2020-01-02 12:00:00,31.07,31.07,29.94,29.94,31.07
