Timestamp,NO1,NO2,NO3,NO4,NO5
2016-01-01 00:00:00,16.39,16.39,16.39,16.39,16.39
2016-01-01 01:00:00,16.04,16.04,16.04,16.04,16.04
2016-01-01 02:00:00,15.74,15.74,15.74,15.74,15.74
2016-01-01 03:00:00,15.57,15.57,15.57,15.57,15.57
2016-01-01 04:00:00,15.47,15.47,15.47,15.47,15.47
2016-01-01 05:00:00,15.75,15.75,15.75,15.75,15.75
2016-01-01 06:00:00,15.36,15.36,15.36,15.36,15.36
2016-01-01 07:00:00,15.37,15.37,15.37,15.37,15.37
2016-01-01 08:00:00,15.19,15.19,15.19,15.19,15.19
2016-01-01 09:00:00,15.39,15.39,15.39,15.39,15.39
2016-01-01 10:00:00,15.78,15.78,15.78,15.78,15.78
2016-01-01 11:00:00,16.15,16.15,16.15,16.15,16.15
2016-01-01 12:00:00,16.5,16.5,16.5,16.5,16.5
2016-01-01 13:00:00,16.72,16.72,16.72,16.72,16.72
2016-01-01 14:00:00,17.17,17.17,17.17,17.17,17.17
2016-01-01 15:00:00,18.0,18.0,18.0,18.0,18.0
2016-01-01 16:00:00,18.53,18.53,18.46,18.46,18.53
2016-01-01 17:00:00,19.11,19.11,18.51,18.51,19.11
2016-01-01 18:00:00,18.68,18.68,18.62,18.62,18.68
2016-01-01 19:00:00,17.93,17.93,17.93,17.93,17.93
2016-01-01 20:00:00,17.69,17.69,17.69,17.69,17.69
2016-01-01 21:00:00,17.33,17.33,17.33,17.33,17.33
2016-01-01 22:00:00,16.75,16.75,16.75,16.75,16.75
2016-01-01 23:00:00,16.25,16.25,16.25,16.25,16.25
2016-01-02 00:00:00,16.47,16.47,16.47,16.47,16.47
2016-01-02 01:00:00,15.89,15.89,15.89,15.89,15.89
2016-01-02 02:00:00,15.03,15.03,15.03,15.03,15.03
2016-01-02 03:00:00,13.19,13.19,13.19,13.19,13.19
2016-01-02 04:00:00,12.69,12.69,12.69,12.69,12.69
2016-01-02 05:00:00,12.94,12.94,12.94,12.94,12.94
2016-01-02 06:00:00,13.59,13.59,13.59,13.59,13.59
2016-01-02 07:00:00,14.25,14.25,14.25,14.25,14.25
2016-01-02 08:00:00,15.7,15.7,15.7,15.7,15.7
2016-01-02 09:00:00,15.72,15.72,15.72,15.72,15.72
2016-01-02 10:00:00,15.97,15.97,15.97,15.97,15.97
2016-01-02 11:00:00,16.14,15.98,16.14,16.14,16.14
2016-01-02 12:00:00,15.87,15.87,16.06,16.06,15.87
2016-01-02 13:00:00,15.98,15.98,16.08,16.08,15.98
2016-01-02 14:00:00,16.12,15.99,16.13,16.13,16.12
2016-01-02 15:00:00,16.57,15.99,16.57,16.57,16.57
2016-01-02 16:00:00,17.29,16.22,17.29,17.29,17.29
2016-01-02 17:00:00,17.52,16.51,17.52,17.52,17.52
2016-01-02 18:00:00,17.37,16.37,17.37,17.37,17.37
2016-01-02 19:00:00,16.95,16.08,16.95,16.95,16.95
2016-01-02 20:00:00,16.56,16.15,16.56,16.56,16.56
2016-01-02 21:00:00,15.83,15.83,15.83,15.83,15.83
2016-01-02 22:00:00,15.82,15.82,15.82,15.82,15.82
2016-01-02 23:00:00,15.31,15.31,15.31,15.31,15.31
2016-01-03 00:00:00,15.99,15.99,15.99,15.99,15.99
2016-01-03 01:00:00,15.87,15.87,15.87,15.87,15.87
2016-01-03 02:00:00,15.76,15.76,15.76,15.76,15.76
2016-01-03 03:00:00,15.59,15.59,15.59,15.59,15.59
2016-01-03 04:00:00,15.69,14.43,15.69,15.69,15.69
2016-01-03 05:00:00,15.83,14.96,15.83,15.83,15.83
2016-01-03 06:00:00,14.98,14.98,15.89,15.89,14.98
2016-01-03 07:00:00,15.53,15.53,15.84,15.84,15.53
2016-01-03 08:00:00,15.79,15.79,16.06,16.06,15.79
2016-01-03 09:00:00,16.36,16.17,16.36,16.36,16.36
2016-01-03 10:00:00,17.15,16.44,17.15,17.15,17.15
2016-01-03 11:00:00,17.94,16.49,17.94,17.94,17.94
2016-01-03 12:00:00,17.94,16.37,17.94,17.94,17.94
2016-01-03 13:00:00,17.66,16.35,17.66,17.66,17.66
2016-01-03 14:00:00,17.66,16.35,17.66,17.66,17.66
2016-01-03 15:00:00,17.6,16.3,17.6,17.6,17.6
2016-01-03 16:00:00,18.61,16.45,18.61,18.61,18.61
2016-01-03 17:00:00,19.11,17.22,19.11,19.11,19.11
2016-01-03 18:00:00,18.86,16.83,18.86,18.86,18.86
2016-01-03 19:00:00,18.51,16.48,18.51,18.51,18.51
2016-01-03 20:00:00,18.08,16.43,18.08,18.08,18.08
2016-01-03 21:00:00,17.72,16.43,17.72,17.72,17.72
2016-01-03 22:00:00,17.03,16.26,17.03,17.03,17.03
2016-01-03 23:00:00,15.74,15.74,15.88,15.88,15.74
2016-01-04 00:00:00,15.96,15.86,15.96,15.96,15.96
2016-01-04 01:00:00,15.81,15.59,15.81,15.81,15.81
2016-01-04 02:00:00,15.56,15.43,15.56,15.56,15.56
2016-01-04 03:00:00,15.57,15.56,15.57,15.57,15.57
2016-01-04 04:00:00,15.92,15.86,15.92,15.92,15.92
2016-01-04 05:00:00,16.76,15.9,16.76,16.76,16.76
2016-01-04 06:00:00,18.01,16.4,18.01,18.01,18.01
2016-01-04 07:00:00,19.54,19.34,19.54,19.54,19.54
2016-01-04 08:00:00,20.49,20.49,20.49,20.49,20.49
2016-01-04 09:00:00,20.49,20.49,20.49,20.49,20.49
2016-01-04 10:00:00,20.47,20.47,20.47,20.47,20.47
2016-01-04 11:00:00,20.14,20.14,20.14,20.14,20.14
2016-01-04 12:00:00,19.85,19.85,19.85,19.85,19.85
2016-01-04 13:00:00,19.83,19.83,19.83,19.83,19.83
2016-01-04 14:00:00,19.88,19.88,19.88,19.88,19.88
2016-01-04 15:00:00,20.09,20.09,20.09,20.09,20.09
2016-01-04 16:00:00,22.06,20.79,20.88,20.88,20.79
2016-01-04 17:00:00,28.48,21.07,20.76,20.76,21.07
2016-01-04 18:00:00,20.54,20.54,20.54,20.54,20.54
2016-01-04 19:00:00,19.77,19.77,19.77,19.77,19.77
2016-01-04 20:00:00,19.05,19.05,19.05,19.05,19.05
2016-01-04 21:00:00,18.5,18.5,18.5,18.5,18.5
2016-01-04 22:00:00,17.71,17.71,17.71,17.71,17.71
2016-01-04 23:00:00,17.03,17.03,17.03,17.03,17.03
2016-01-05 00:00:00,17.68,17.68,17.68,17.68,17.68
2016-01-05 01:00:00,17.33,17.33,17.33,17.33,17.33
2016-01-05 02:00:00,17.24,17.24,17.24,17.24,17.24
2016-01-05 03:00:00,17.32,17.32,17.32,17.32,17.32
2016-01-05 04:00:00,17.66,17.66,17.66,17.66,17.66
2016-01-05 05:00:00,17.92,17.92,17.92,17.92,17.92
2016-01-05 06:00:00,18.8,18.8,18.8,18.8,18.8
2016-01-05 07:00:00,20.51,20.51,20.51,20.51,20.51
2016-01-05 08:00:00,22.58,22.58,22.58,19.76,22.58
2016-01-05 09:00:00,23.13,21.73,23.13,19.95,21.73
2016-01-05 10:00:00,23.21,21.78,23.21,20.02,21.78
2016-01-05 11:00:00,21.91,21.64,21.91,20.09,21.64
2016-01-05 12:00:00,21.29,20.91,21.29,19.96,20.91
2016-01-05 13:00:00,20.98,20.61,20.98,19.81,20.61
2016-01-05 14:00:00,21.03,20.63,21.03,19.85,20.63
2016-01-05 15:00:00,23.17,20.71,23.17,19.93,20.71
2016-01-05 16:00:00,30.98,20.96,30.98,30.98,20.96
2016-01-05 17:00:00,34.63,21.23,34.63,34.63,21.23
2016-01-05 18:00:00,24.18,20.68,24.18,24.18,20.68
2016-01-05 19:00:00,20.83,20.48,20.83,20.83,20.48
2016-01-05 20:00:00,19.89,19.89,19.89,19.89,19.89
2016-01-05 21:00:00,19.39,19.39,19.39,19.39,19.39
2016-01-05 22:00:00,18.73,18.73,18.73,18.73,18.73
2016-01-05 23:00:00,17.97,17.97,17.97,17.97,17.97
2016-01-06 00:00:00,20.02,20.02,20.02,20.02,20.02
2016-01-06 01:00:00,19.63,19.63,19.63,19.63,19.63
2016-01-06 02:00:00,19.33,19.33,19.33,19.33,19.33
2016-01-06 03:00:00,19.35,19.35,19.35,19.35,19.35
2016-01-06 04:00:00,19.51,19.51,19.51,19.51,19.51
2016-01-06 05:00:00,19.81,19.81,19.81,19.81,19.81
2016-01-06 06:00:00,20.5,20.5,20.5,20.5,20.5
2016-01-06 07:00:00,22.06,22.06,22.06,22.06,22.06
2016-01-06 08:00:00,25.19,25.19,25.19,25.19,25.19
2016-01-06 09:00:00,28.24,28.24,28.24,28.24,28.24
2016-01-06 10:00:00,34.97,34.97,34.97,34.97,34.97
2016-01-06 11:00:00,37.95,37.95,37.95,37.95,37.95
2016-01-06 12:00:00,37.37,37.37,37.37,37.37,37.37
2016-01-06 13:00:00,36.61,36.61,36.61,36.61,36.61
2016-01-06 14:00:00,29.75,29.75,29.75,29.75,29.75
2016-01-06 15:00:00,36.04,28.17,36.04,36.04,28.17
2016-01-06 16:00:00,41.28,28.23,41.28,41.28,28.23
2016-01-06 17:00:00,44.95,29.6,44.95,44.95,29.6
2016-01-06 18:00:00,46.46,28.19,46.46,46.46,28.19
2016-01-06 19:00:00,42.89,26.87,42.89,42.89,26.87
2016-01-06 20:00:00,24.87,24.87,24.87,24.87,24.87
2016-01-06 21:00:00,22.06,22.06,22.06,22.06,22.06
2016-01-06 22:00:00,20.47,20.47,20.47,20.47,20.47
2016-01-06 23:00:00,19.37,19.37,19.37,19.37,19.37
2016-01-07 00:00:00,22.61,21.94,22.61,22.61,21.94
2016-01-07 01:00:00,21.75,21.75,21.75,21.75,21.75
2016-01-07 02:00:00,21.5,21.5,21.5,21.5,21.5
2016-01-07 03:00:00,21.52,21.52,21.52,21.52,21.52
2016-01-07 04:00:00,21.83,21.6,21.83,21.83,21.6
2016-01-07 05:00:00,24.2,21.62,24.2,24.2,21.62
2016-01-07 06:00:00,27.07,22.16,27.07,27.07,22.16
2016-01-07 07:00:00,72.26,27.8,72.26,72.26,27.8
2016-01-07 08:00:00,99.93,30.48,99.93,99.93,30.48
2016-01-07 09:00:00,79.6,29.34,79.6,79.6,29.34
2016-01-07 10:00:00,74.91,29.27,74.91,74.91,29.27
2016-01-07 11:00:00,61.37,27.04,61.37,61.37,27.04
2016-01-07 12:00:00,59.91,28.44,59.91,59.91,28.44
2016-01-07 13:00:00,61.85,26.08,61.85,61.85,26.08
2016-01-07 14:00:00,59.69,24.85,59.69,59.69,24.85
2016-01-07 15:00:00,65.42,23.6,65.42,65.42,23.6
2016-01-07 16:00:00,99.94,23.0,99.94,99.94,23.0
2016-01-07 17:00:00,97.59,24.82,97.59,97.59,24.82
2016-01-07 18:00:00,26.13,22.9,69.93,69.93,22.9
2016-01-07 19:00:00,37.19,21.71,37.19,37.19,21.71
2016-01-07 20:00:00,31.94,21.25,31.94,31.94,21.25
2016-01-07 21:00:00,25.87,21.47,25.87,25.87,21.47
2016-01-07 22:00:00,21.55,21.22,21.55,21.55,21.22
2016-01-07 23:00:00,20.26,20.26,20.26,20.26,20.26
2016-01-08 00:00:00,21.06,21.06,21.06,21.06,21.06
2016-01-08 01:00:00,20.16,20.16,20.16,20.16,20.16
2016-01-08 02:00:00,19.78,19.78,19.78,19.78,19.78
2016-01-08 03:00:00,19.86,19.38,19.86,19.86,19.86
