Timestamp,System Price,Hokkaido,Tohoku,Tokyo,Chubu,Hokuriko,Kansai,Chugoku,Shikoku,Kyushu
2019-01-01 00:00:00,8.81,12.31,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76
2019-01-01 00:30:00,8.67,12.25,8.67,8.67,8.21,8.21,8.21,8.21,8.21,8.21
2019-01-01 01:00:00,8.66,12.3,8.66,8.66,8.39,8.39,8.39,8.39,8.39,8.39
2019-01-01 01:30:00,8.66,12.39,8.66,8.66,7.84,7.84,7.84,7.84,7.84,7.84
2019-01-01 02:00:00,8.58,12.25,8.44,8.44,7.84,7.84,7.84,7.84,7.84,7.84
2019-01-01 02:30:00,8.44,12.25,8.44,8.44,7.84,7.84,7.84,7.84,7.84,7.84
2019-01-01 03:00:00,8.95,12.5,9.02,9.02,7.8,7.8,7.8,7.8,7.8,7.8
2019-01-01 03:30:00,8.76,12.5,9.02,9.02,7.79,7.79,7.79,7.79,7.79,7.31
2019-01-01 04:00:00,8.19,12.46,8.3,8.3,7.68,7.68,7.68,7.68,7.68,7.29
2019-01-01 04:30:00,8.19,12.46,8.3,8.3,7.62,7.62,7.62,7.62,7.62,6.4
2019-01-01 05:00:00,8.2,12.3,8.3,8.3,7.65,7.65,7.65,7.65,7.65,6.4
2019-01-01 05:30:00,8.2,12.75,8.3,8.3,7.54,7.54,7.54,7.54,7.54,6.01
2019-01-01 06:00:00,8.4,14.23,8.64,8.64,7.62,7.62,7.62,7.62,7.62,6.78
2019-01-01 06:30:00,8.49,14.23,8.72,8.72,7.62,7.62,7.62,7.62,7.62,6.78
2019-01-01 07:00:00,8.63,14.19,10.89,10.89,7.49,7.49,7.49,7.49,7.49,6.78
2019-01-01 07:30:00,8.76,14.08,10.89,10.89,7.62,7.62,7.62,7.62,7.62,6.78
2019-01-01 08:00:00,8.44,11.57,8.82,8.82,6.78,6.78,6.78,6.78,6.78,6.78
2019-01-01 08:30:00,8.1,13.3,8.82,8.82,6.01,6.01,6.01,6.01,6.01,6.01
2019-01-01 09:00:00,7.33,12.96,8.77,8.77,5.0,5.0,5.0,5.0,5.0,3.72
2019-01-01 09:30:00,6.01,12.89,8.55,8.55,4.0,4.0,4.0,4.0,4.0,3.0
2019-01-01 10:00:00,5.82,12.89,8.23,8.23,3.0,3.0,3.0,3.0,3.0,1.0
2019-01-01 10:30:00,5.82,12.89,8.14,8.14,3.0,3.0,3.0,3.0,3.0,1.0
2019-01-01 11:00:00,5.63,12.89,7.88,7.88,2.79,2.79,2.79,2.79,2.79,1.0
2019-01-01 11:30:00,5.55,12.89,7.88,7.88,2.79,2.79,2.79,2.79,2.79,1.0
2019-01-01 12:00:00,5.54,12.89,7.87,7.87,1.28,1.28,1.28,1.28,1.28,1.0
2019-01-01 12:30:00,5.54,12.9,7.87,7.87,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-01 13:00:00,5.54,12.89,7.87,7.87,1.85,1.85,1.85,1.85,1.85,1.0
2019-01-01 13:30:00,5.64,13.43,7.87,7.87,3.0,3.0,3.0,3.0,3.0,1.0
2019-01-01 14:00:00,5.88,12.89,8.15,8.15,3.0,3.0,3.0,3.0,3.0,1.0
2019-01-01 14:30:00,6.01,12.96,8.24,8.24,4.0,4.0,4.0,4.0,4.0,1.0
2019-01-01 15:00:00,6.01,12.9,8.21,8.21,5.05,5.05,5.05,5.05,5.05,1.0
2019-01-01 15:30:00,6.78,13.43,8.35,8.35,5.47,5.47,5.47,5.47,5.47,1.0
2019-01-01 16:00:00,7.8,13.5,8.41,8.41,5.88,5.88,5.88,5.88,5.88,5.63
2019-01-01 16:30:00,8.21,15.0,8.41,8.41,7.62,7.62,7.62,7.62,7.62,6.4
2019-01-01 17:00:00,8.76,15.0,10.07,10.07,8.21,8.21,8.21,8.21,8.21,6.78
2019-01-01 17:30:00,9.36,15.0,10.07,10.07,8.76,8.76,8.76,8.76,8.76,8.76
2019-01-01 18:00:00,9.74,15.0,10.85,10.85,9.15,9.15,9.15,9.15,9.15,9.15
2019-01-01 18:30:00,9.74,15.0,10.85,10.85,9.15,9.15,9.15,9.15,9.15,9.15
2019-01-01 19:00:00,9.74,14.02,10.89,10.89,9.07,9.07,9.07,9.07,9.07,9.07
2019-01-01 19:30:00,9.74,14.02,10.89,10.89,8.76,8.76,8.76,8.76,8.76,8.76
2019-01-01 20:00:00,9.74,14.07,10.89,10.89,8.76,8.76,8.76,8.76,8.76,8.76
2019-01-01 20:30:00,9.66,14.08,10.89,10.89,8.76,8.76,8.76,8.76,8.76,8.76
2019-01-01 21:00:00,9.74,17.45,10.63,10.63,9.25,9.25,9.25,9.25,9.25,9.25
2019-01-01 21:30:00,9.74,15.0,10.63,10.63,9.25,9.25,9.25,9.25,9.25,9.25
2019-01-01 22:00:00,9.15,14.18,8.91,8.91,8.91,8.91,8.91,8.91,8.91,8.91
2019-01-01 22:30:00,8.91,14.19,8.91,8.91,8.76,8.76,8.76,8.76,8.76,8.76
2019-01-01 23:00:00,8.68,12.97,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68
2019-01-01 23:30:00,8.65,13.03,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65
2019-01-02 00:00:00,8.35,12.17,8.35,8.35,8.35,8.35,8.35,8.35,8.35,6.78
